"GeographyCode","QS403EW0001","QS403EW0002","QS403EW0003","QS403EW0004","QS403EW0005","QS403EW0006","QS403EW0007","QS403EW0008","QS403EW0009","QS403EW0010","QS403EW0011","QS403EW0012","QS403EW0013","QS403EW0014"
"E01004197",2285,349,114,235,104,1123,704,419,692,653,8,24,7,17
"E01004198",1522,217,81,136,14,962,554,408,320,297,8,12,3,9
"E01004199",1637,193,52,141,9,1188,597,591,234,224,0,8,2,13
"E01004200",1394,229,53,176,26,398,209,189,730,700,2,18,10,11
"E01004201",1533,298,89,209,13,826,522,304,360,345,2,7,6,36
"E01004202",1705,402,125,277,33,664,235,429,599,552,0,33,14,7
"E01004203",1779,433,151,282,4,662,378,284,662,631,4,25,2,18
"E01004204",1538,349,112,237,1,912,396,516,259,222,4,15,18,17
"E01004205",2106,267,76,191,40,1290,681,609,481,454,0,14,13,28
"E01004206",1491,263,83,180,12,788,615,173,403,383,0,7,13,25
"E01004207",1342,264,72,192,13,735,326,409,318,298,0,7,13,12
"E01004208",1842,533,153,380,19,350,320,30,917,846,0,60,11,23
"E01004209",1366,196,57,139,6,917,723,194,238,225,0,7,6,9
"E01004211",1461,384,99,285,10,428,74,354,625,610,0,12,3,14
"E01004212",1604,318,114,204,32,702,556,146,538,514,1,2,21,14
"E01004214",1669,166,38,128,17,1243,313,930,227,206,0,6,15,16
"E01004215",2756,635,226,409,36,1045,245,800,1000,963,3,21,13,40
"E01004216",1619,500,122,378,8,374,93,281,727,698,2,17,10,10
"E01004217",1745,586,195,391,9,657,156,501,463,431,0,25,7,30
"E01004218",1750,695,242,453,24,322,115,207,674,662,0,11,1,35
"E01004219",2294,295,80,215,111,1316,942,374,557,534,0,11,12,15
"E01004221",1881,443,102,341,62,648,204,444,701,676,5,11,9,27
"E01004222",2479,461,166,295,19,1539,353,1186,428,403,0,21,4,32
"E01004223",2079,294,105,189,9,1422,227,1195,349,329,0,14,6,5
"E01004224",2000,290,75,215,55,977,196,781,660,648,0,9,3,18
"E01004225",2178,755,164,591,102,297,52,245,998,956,6,34,2,26
"E01004226",1738,321,112,209,53,920,747,173,432,423,0,5,4,12
"E01004228",1849,629,188,441,74,613,197,416,501,470,4,24,3,32
"E01004229",1484,436,119,317,47,588,492,96,403,381,0,13,9,10
"E01004230",2091,522,195,327,17,891,174,717,642,620,0,19,3,19
"E01004231",1793,285,77,208,20,961,628,333,491,473,4,11,3,36
"E01004232",1631,623,280,343,14,321,135,186,664,631,0,30,3,9
"E01004233",1821,381,149,232,0,1094,178,916,335,326,2,7,0,11
"E01004234",2218,904,288,616,13,571,131,440,692,662,0,27,3,38
"E01004235",1372,169,22,147,0,918,332,586,260,246,0,8,6,25
"E01004236",1679,263,45,218,29,1014,309,705,351,326,0,7,18,22
"E01004237",1158,172,61,111,72,640,112,528,260,231,0,25,4,14
"E01004238",2733,426,123,303,59,1323,421,902,862,826,5,6,25,63
"E01004239",1649,252,72,180,32,1099,348,751,245,232,0,11,2,21
"E01004240",1815,304,91,213,13,1142,589,553,341,319,3,14,5,15
"E01004241",1621,172,51,121,35,1040,529,511,366,335,0,16,15,8
"E01004242",2433,307,72,235,66,1293,565,728,710,664,0,33,13,57
"E01004243",1789,281,81,200,20,1079,448,631,393,355,8,12,18,16
"E01004244",1788,302,113,189,11,1063,336,727,395,377,2,12,4,17
"E01004245",1539,205,43,162,7,1094,384,710,218,206,0,3,9,15
"E01004246",1977,694,250,444,124,616,284,332,521,495,6,17,3,22
"E01004247",1934,323,92,231,15,1036,398,638,550,546,0,1,3,10
"E01004248",1344,112,33,79,0,1010,411,599,210,185,0,0,25,12
"E01004249",2049,246,75,171,55,1335,452,883,390,362,0,9,19,23
"E01004250",2342,251,71,180,75,1614,547,1067,383,352,0,9,22,19
"E01004251",2082,516,129,387,3,1088,950,138,467,459,0,7,1,8
"E01004252",2707,435,128,307,116,1348,540,808,792,746,0,30,16,16
"E01004253",2266,466,176,290,7,1346,678,668,415,389,5,10,11,32
"E01004254",2120,771,235,536,24,226,119,107,1085,1032,8,34,11,14
"E01004255",1618,314,62,252,60,806,560,246,420,409,0,7,4,18
"E01004256",1729,352,98,254,9,913,688,225,442,416,0,8,18,13
"E01004257",1883,298,74,224,9,1015,742,273,535,509,0,19,7,26
"E01004258",1506,609,244,365,4,389,332,57,459,440,7,11,1,45
"E01004259",1694,450,132,318,30,573,435,138,634,604,0,26,4,7
"E01004260",1790,390,135,255,40,953,813,140,386,372,3,11,0,21
"E01004261",1655,223,83,140,7,775,659,116,633,336,0,6,291,17
"E01004262",1366,271,99,172,12,621,427,194,434,323,2,4,105,28
"E01004263",1401,198,60,138,16,890,447,443,263,258,0,2,3,34
"E01004264",1537,364,126,238,1,791,773,18,366,339,0,18,9,15
"E01004266",1545,396,153,243,14,752,232,520,366,341,0,24,1,17
"E01004267",1754,288,65,223,4,844,82,762,573,548,4,21,0,45
"E01004268",1756,212,59,153,0,1099,332,767,430,416,0,9,5,15
"E01004269",1920,343,136,207,2,953,339,614,608,578,0,20,10,14
"E01004270",2236,567,135,432,19,607,175,432,1034,982,0,46,6,9
"E01004271",1589,208,55,153,2,1013,331,682,326,296,0,16,14,40
"E01004272",2099,282,49,233,17,1385,644,741,398,388,0,0,10,17
"E01004273",1904,271,71,200,1,1354,480,874,261,245,0,9,7,17
"E01004274",1973,367,104,263,6,1013,214,799,566,543,0,21,2,21
"E01004275",1879,592,175,417,61,537,124,413,663,642,6,10,5,26
"E01004276",2024,816,237,579,8,25,12,13,1148,1122,0,20,6,27
"E01004277",1630,562,214,348,1,43,5,38,993,919,50,16,8,31
"E01004280",1879,432,172,260,31,821,183,638,568,547,0,9,12,27
"E01004281",1770,562,145,417,4,182,30,152,1011,987,2,20,2,11
"E01004283",2143,386,103,283,16,1210,488,722,475,461,0,12,2,56
"E01004284",2302,180,31,149,314,1537,160,1377,242,231,0,6,5,29
"E01004285",2318,376,90,286,20,1499,723,776,372,343,0,16,13,51
"E01004286",2353,411,124,287,112,1507,495,1012,294,270,0,10,14,29
"E01004287",2171,499,144,355,52,1087,350,737,514,466,7,41,0,19
"E01004288",1590,176,43,133,34,1144,751,393,213,197,0,4,12,23
"E01004289",1844,470,177,293,18,830,472,358,504,466,0,22,16,22
"E01004290",1259,351,138,213,9,338,194,144,548,503,0,15,30,13
"E01004291",1844,783,275,508,45,290,270,20,693,667,4,13,9,33
"E01004292",1738,736,245,491,13,169,115,54,795,763,9,22,1,25
"E01004293",2125,890,417,473,7,330,120,210,872,790,44,26,12,26
"E01004294",1690,541,221,320,74,463,167,296,600,560,1,27,12,12
"E01004295",1516,268,88,180,4,928,255,673,281,260,0,4,17,35
"E01004296",1605,389,111,278,16,757,601,156,427,401,0,26,0,16
"E01004297",1826,853,291,562,14,213,140,73,727,693,0,32,2,19
"E01004298",1629,253,105,148,55,925,282,643,378,348,0,12,18,18
"E01004300",1349,243,94,149,3,854,227,627,235,215,0,8,12,14
"E01004301",1324,371,105,266,1,612,470,142,309,291,0,11,7,31
"E01004302",1987,394,84,310,117,1038,601,437,410,394,0,12,4,28
"E01004303",2362,510,154,356,91,1110,353,757,607,572,2,20,13,44
"E01004304",1955,307,75,232,126,1053,462,591,444,425,0,15,4,25
"E01004305",1940,365,76,289,20,1061,459,602,461,444,0,6,11,33
"E01004306",1799,468,195,273,13,617,174,443,668,628,0,21,19,33
"E01004307",1857,508,184,324,12,322,85,237,995,949,1,28,17,20
"E01004308",1469,530,135,395,4,541,320,221,381,369,0,11,1,13
"E01004309",2433,503,144,359,37,1178,696,482,691,658,0,17,16,24
"E01004310",1893,382,120,262,10,820,223,597,665,596,3,14,52,16
"E01004311",1518,317,109,208,9,834,650,184,341,319,0,10,12,17
"E01004312",1614,236,70,166,6,943,860,83,401,391,0,5,5,28
"E01004313",2043,384,135,249,27,1006,868,138,599,575,3,12,9,27
"E01004314",1100,548,217,331,0,186,99,87,355,317,0,27,11,11
"E01004315",1628,421,130,291,12,712,587,125,474,453,2,16,3,9
"E01004316",1134,241,76,165,3,582,494,88,295,289,0,6,0,13
"E01004317",2689,572,172,400,39,851,210,641,1206,1140,1,56,9,21
"E01004318",1433,183,52,131,20,911,497,414,304,275,3,17,9,15
"E01004319",1886,444,205,239,7,773,559,214,648,633,1,12,2,14
"E01004321",1769,264,99,165,37,1055,260,795,406,352,15,19,20,7
"E01004322",1160,206,64,142,11,601,453,148,331,292,7,8,24,11
"E01004323",1466,379,118,261,7,595,301,294,454,438,0,11,5,31
"E01004324",1570,485,124,361,5,729,630,99,329,315,0,8,6,22
"E01004325",2475,345,142,203,24,601,95,506,1468,1434,8,16,10,37
"E01004326",1438,273,76,197,33,571,507,64,549,524,0,14,11,12
"E01032764",1302,186,41,145,32,538,88,450,527,517,0,10,0,19
"E01032765",1488,192,58,134,87,758,78,680,424,402,0,22,0,27
"E01032766",1307,180,30,150,76,420,98,322,609,591,1,11,6,22
"E01032767",1584,275,89,186,3,150,60,90,1133,1109,0,11,13,23
"E01032768",1307,456,112,344,20,132,11,121,687,658,0,18,11,12
"E01032769",1230,368,110,258,4,302,70,232,534,518,2,12,2,22
"E01032770",1191,232,48,184,25,329,62,267,541,513,19,3,6,64
"E01032771",1104,183,83,100,56,362,52,310,495,470,7,4,14,8
"E01032772",1135,202,63,139,22,440,89,351,462,442,0,20,0,9
"E01032773",1561,332,88,244,66,548,72,476,588,572,3,6,7,27
"E01032774",1297,193,61,132,9,672,104,568,411,393,1,10,7,12
"E01032775",1108,351,73,278,6,117,64,53,619,603,1,11,4,15
"E01032776",1076,179,45,134,27,144,48,96,704,681,4,18,1,22
"E01032777",1141,215,40,175,100,452,40,412,370,361,0,7,2,4
"E01032778",1108,238,69,169,24,180,38,142,652,632,3,13,4,14
"E01032779",1089,154,44,110,34,265,18,247,623,606,0,13,4,13
"E01032780",1333,489,188,301,3,38,8,30,786,767,0,9,10,17
"E01032781",1535,452,141,311,25,253,48,205,792,777,2,10,3,13
"E01032782",1614,187,56,131,73,696,88,608,634,625,0,3,6,24
"E01032783",1383,306,77,229,25,381,8,373,647,628,0,9,10,24
"E01032784",1516,350,83,267,12,474,250,224,676,652,0,14,10,4
"E01032785",1348,378,61,317,93,485,205,280,388,347,0,23,18,4
"E01032786",1561,328,103,225,21,900,818,82,305,286,0,17,2,7
"E01032787",2567,577,163,414,8,1356,1084,272,585,561,0,14,10,41
