"GeographyCode","QS405EW0001","QS405EW0002","QS405EW0003","QS405EW0004","QS405EW0005","QS405EW0006","QS405EW0007","QS405EW0008","QS405EW0009","QS405EW0010","QS405EW0011","QS405EW0012","QS405EW0013","QS405EW0014"
"E00021141",117,4,3,1,4,96,14,82,13,10,1,0,2,0
"E00021143",138,27,6,21,0,88,83,5,22,22,0,0,0,1
"E00021145",104,19,6,13,0,64,8,56,20,19,1,0,0,1
"E00021146",143,40,13,27,1,16,2,14,85,82,0,1,2,1
"E00021147",83,17,11,6,0,44,4,40,20,19,0,0,1,2
"E00021148",119,22,8,14,2,61,40,21,31,27,2,2,0,3
"E00021149",126,25,9,16,1,81,22,59,18,15,0,2,1,1
"E00021150",116,27,10,17,0,72,69,3,17,17,0,0,0,0
"E00021151",113,4,1,3,0,89,19,70,20,20,0,0,0,0
"E00021152",138,27,6,21,0,95,57,38,15,15,0,0,0,1
"E00021153",149,21,3,18,0,7,3,4,119,117,1,1,0,2
"E00021154",121,12,5,7,7,84,62,22,16,16,0,0,0,2
"E00021155",172,55,15,40,1,8,0,8,108,102,0,4,2,0
"E00021156",133,14,7,7,1,88,51,37,29,27,0,2,0,1
"E00021157",106,12,5,7,2,71,35,36,21,20,0,1,0,0
"E00021158",107,9,2,7,0,88,41,47,9,9,0,0,0,1
"E00021159",246,65,18,47,0,121,49,72,56,47,2,5,2,4
"E00021160",112,23,12,11,0,59,53,6,29,28,0,1,0,1
"E00021161",154,49,23,26,0,70,25,45,31,29,0,2,0,4
"E00021162",121,23,9,14,1,61,57,4,35,34,0,1,0,1
"E00021163",119,27,14,13,1,67,22,45,23,19,0,2,2,1
"E00021164",128,20,12,8,0,99,31,68,7,6,0,0,1,2
"E00021165",122,19,5,14,1,79,65,14,21,21,0,0,0,2
"E00021166",126,23,9,14,0,57,30,27,46,45,0,1,0,0
"E00021167",128,48,22,26,0,36,17,19,43,38,0,5,0,1
"E00021168",169,55,12,43,1,4,2,2,107,101,1,4,1,2
"E00021169",189,55,19,36,13,63,23,40,56,50,0,2,4,2
"E00021170",162,21,6,15,0,107,103,4,34,27,2,4,1,0
"E00021171",241,34,7,27,0,130,82,48,74,72,0,2,0,3
"E00021172",125,16,9,7,3,84,8,76,21,19,0,0,2,1
"E00021173",146,44,12,32,0,71,63,8,30,27,0,2,1,1
"E00021174",128,76,35,41,0,1,1,0,50,49,0,1,0,1
"E00021175",127,39,16,23,4,37,35,2,42,38,2,2,0,5
"E00021176",151,36,11,25,10,72,52,20,32,31,0,1,0,1
"E00021177",134,22,8,14,0,91,39,52,21,20,0,1,0,0
"E00021179",140,47,15,32,1,10,7,3,80,75,0,4,1,2
"E00021180",168,26,11,15,1,87,50,37,51,48,0,3,0,3
"E00021181",107,25,6,19,0,36,14,22,44,42,0,2,0,2
"E00021182",169,44,19,25,0,18,6,12,105,105,0,0,0,2
"E00021183",135,66,18,48,4,12,1,11,52,51,0,1,0,1
"E00021184",69,12,3,9,11,21,19,2,25,25,0,0,0,0
