"GeographyCode","QS406EW0001","QS406EW0002","QS406EW0003","QS406EW0004","QS406EW0005","QS406EW0006","QS406EW0007","QS406EW0008","QS406EW0009"
"E01004197",964,338,307,139,82,50,27,9,12
"E01004198",606,243,150,70,53,40,22,13,15
"E01004199",574,187,128,70,79,41,42,17,10
"E01004200",585,177,215,86,55,26,15,5,6
"E01004201",619,216,166,96,72,29,24,10,6
"E01004202",713,230,271,70,68,34,19,11,10
"E01004203",689,194,220,105,85,48,22,10,5
"E01004204",631,249,152,91,56,35,31,12,5
"E01004205",688,201,144,87,102,60,47,29,18
"E01004206",554,222,91,74,70,37,38,14,8
"E01004207",515,189,125,60,62,38,18,15,8
"E01004208",788,280,264,110,57,34,16,11,16
"E01004209",466,154,77,68,59,63,25,10,10
"E01004211",720,315,240,87,36,13,16,6,7
"E01004212",720,318,188,76,65,29,35,6,3
"E01004214",665,252,145,103,82,35,32,11,5
"E01004215",1168,408,371,163,102,59,48,12,5
"E01004216",737,235,272,132,65,19,10,3,1
"E01004217",779,303,212,126,86,28,17,3,4
"E01004218",731,215,253,111,96,35,17,1,3
"E01004219",851,258,253,113,88,62,46,15,16
"E01004221",802,250,308,88,92,29,19,8,8
"E01004222",1048,402,293,146,90,52,30,30,5
"E01004223",938,355,295,140,83,31,20,9,5
"E01004224",806,250,275,110,77,46,28,5,15
"E01004225",1147,436,511,119,56,19,3,1,2
"E01004226",676,203,207,89,99,41,19,11,7
"E01004228",769,246,241,113,113,36,13,3,4
"E01004229",551,163,160,81,65,42,16,15,9
"E01004230",803,230,240,129,99,58,30,11,6
"E01004231",629,172,172,85,86,54,38,8,14
"E01004232",603,159,188,80,95,44,24,6,7
"E01004233",751,306,186,98,56,41,41,13,10
"E01004234",903,251,313,130,136,50,18,1,4
"E01004235",513,172,133,63,51,44,38,7,5
"E01004236",497,116,99,64,72,59,46,24,17
"E01004237",506,200,145,66,51,16,19,5,4
"E01004238",1058,345,323,155,91,49,46,18,31
"E01004239",533,139,126,81,65,46,40,19,17
"E01004240",574,136,128,83,87,60,55,16,9
"E01004241",570,185,124,71,75,56,34,16,9
"E01004242",898,264,261,133,107,55,46,11,21
"E01004243",614,168,154,94,69,59,47,12,11
"E01004244",686,257,163,82,74,51,27,20,12
"E01004245",433,92,70,68,62,48,57,21,15
"E01004246",747,236,216,83,108,39,36,18,11
"E01004247",714,230,172,91,104,63,35,9,10
"E01004248",441,134,81,61,61,45,34,15,10
"E01004249",758,261,170,106,86,58,55,14,8
"E01004250",866,269,230,118,104,72,42,20,11
"E01004251",779,262,191,116,82,60,39,14,15
"E01004252",1107,389,333,147,104,65,37,17,15
"E01004253",829,244,216,128,117,61,41,9,13
"E01004254",1046,357,475,124,50,14,17,4,5
"E01004255",647,250,156,89,64,35,31,10,12
"E01004256",611,170,152,95,88,58,29,9,10
"E01004257",618,145,145,101,99,63,40,15,10
"E01004258",713,273,252,90,59,22,12,1,4
"E01004259",812,334,271,101,54,30,13,6,3
"E01004260",636,168,176,99,93,41,40,8,11
"E01004261",550,175,95,67,99,30,62,12,10
"E01004262",495,170,100,73,69,30,33,13,7
"E01004263",529,165,143,75,74,34,25,5,8
"E01004264",457,96,96,71,75,51,34,17,17
"E01004266",583,176,145,110,76,32,27,13,4
"E01004267",707,246,222,80,67,36,34,10,12
"E01004268",688,248,183,81,75,41,39,12,9
"E01004269",726,249,170,93,107,46,39,16,6
"E01004270",745,155,204,113,132,86,35,9,11
"E01004271",548,158,113,86,88,48,39,11,5
"E01004272",639,166,121,81,83,71,80,21,16
"E01004273",594,150,125,94,76,57,51,23,18
"E01004274",654,159,184,99,82,49,44,11,26
"E01004275",768,218,265,120,101,33,22,7,2
"E01004276",996,342,419,132,79,13,10,1,0
"E01004277",898,363,383,112,35,5,0,0,0
"E01004280",769,252,255,106,74,38,23,7,14
"E01004281",831,307,290,111,92,16,8,4,3
"E01004283",756,258,170,89,85,61,56,17,20
"E01004284",884,316,242,115,93,34,41,17,26
"E01004285",658,162,111,73,91,91,73,31,26
"E01004286",817,259,214,85,86,77,48,17,31
"E01004287",854,306,215,108,104,62,38,14,7
"E01004288",525,149,107,80,70,51,42,14,12
"E01004289",670,236,146,77,77,71,32,20,11
"E01004290",575,230,173,77,52,21,17,4,1
"E01004291",1051,533,373,70,47,13,8,5,2
