"GeographyCode","QS406EW0001","QS406EW0002","QS406EW0003","QS406EW0004","QS406EW0005","QS406EW0006","QS406EW0007","QS406EW0008","QS406EW0009"
"E02000864",3468,1210,1070,485,349,170,97,55,32
"E02000865",2763,984,751,375,286,160,115,49,43
"E02000866",3829,1192,1168,550,499,229,126,34,31
"E02000867",4307,1443,1642,536,335,171,103,41,36
"E02000868",2618,850,858,352,264,143,87,38,26
"E02000869",2485,944,745,340,224,124,67,27,14
"E02000870",2560,843,735,385,297,137,105,32,26
"E02000871",3107,972,826,429,330,214,189,73,74
"E02000872",3088,1049,990,424,278,152,122,39,34
"E02000873",2792,891,748,396,335,162,162,57,41
"E02000874",2494,869,526,333,309,213,141,57,46
"E02000875",3437,1079,918,448,411,248,208,65,60
"E02000876",2750,1018,739,358,265,144,117,60,49
"E02000877",3252,878,733,467,486,308,244,80,56
"E02000878",3900,1467,1178,415,350,193,170,67,60
"E02000879",2855,1030,704,351,318,215,143,55,39
"E02000880",2090,722,502,283,232,161,101,48,41
"E02000881",2379,723,537,318,317,190,182,68,44
"E02000882",2884,886,674,353,340,253,204,79,95
"E02000883",2880,924,719,385,351,245,151,61,44
"E02000884",3707,1273,1199,500,319,177,121,59,59
"E02000885",2509,858,636,288,266,186,162,51,62
"E02000886",3185,1142,1074,419,255,131,99,29,36
"E02000887",3165,948,846,471,408,247,147,50,48
"E02000888",3306,1140,1018,414,313,186,129,55,51
"E02000889",2879,1112,872,384,260,107,89,28,27
"E02000890",3093,1419,1101,312,155,57,29,11,9
"E02000891",5742,2030,2107,740,456,199,137,38,35
"E02000893",2912,1005,882,472,329,117,76,18,13
"E02000894",4510,1546,1622,603,442,140,99,25,33
"E02006853",3320,1363,1138,340,222,131,76,21,29
"E02006854",2991,1237,1182,297,123,65,53,23,11
