"GeographyCode","QS406EW0001","QS406EW0002","QS406EW0003","QS406EW0004","QS406EW0005","QS406EW0006","QS406EW0007","QS406EW0008","QS406EW0009"
"E00021141",117,58,13,9,10,6,8,5,8
"E00021143",138,37,32,24,23,11,5,5,1
"E00021145",104,41,30,16,7,5,4,0,1
"E00021146",143,47,58,30,3,3,1,1,0
"E00021147",83,24,30,10,12,2,3,1,1
"E00021148",119,42,34,23,12,2,4,1,1
"E00021149",126,39,28,20,16,8,12,2,1
"E00021150",116,28,46,14,11,13,2,1,1
"E00021151",113,51,27,9,10,6,4,3,3
"E00021152",138,51,33,13,14,9,11,3,4
"E00021153",149,41,61,19,24,1,1,2,0
"E00021154",121,32,21,18,15,17,10,2,6
"E00021155",172,57,75,19,13,5,3,0,0
"E00021156",133,78,33,10,6,2,1,1,2
"E00021157",106,26,24,13,17,14,7,4,1
"E00021158",107,31,21,14,14,7,12,5,3
"E00021159",246,96,67,39,17,13,8,5,1
"E00021160",112,32,27,18,13,11,5,4,2
"E00021161",154,40,47,28,29,4,5,1,0
"E00021162",121,37,24,14,14,17,7,5,3
"E00021163",119,44,25,18,13,7,10,2,0
"E00021164",128,58,27,21,12,6,2,2,0
"E00021165",122,40,28,14,22,6,7,3,2
"E00021166",126,30,27,24,19,15,7,1,3
"E00021167",128,48,39,12,13,8,5,3,0
"E00021168",169,44,80,23,11,10,0,1,0
"E00021169",189,55,74,23,15,9,5,5,3
"E00021170",162,43,37,31,21,18,8,1,3
"E00021171",241,75,71,31,22,16,13,7,6
"E00021172",125,57,29,16,13,5,3,1,1
"E00021173",146,52,36,24,12,10,8,2,2
"E00021174",128,48,63,14,3,0,0,0,0
"E00021175",127,46,39,22,12,1,5,1,1
"E00021176",151,65,55,15,7,6,2,0,1
"E00021177",134,37,28,15,21,16,8,4,5
"E00021179",140,47,53,17,10,5,3,2,3
"E00021180",168,54,39,29,20,14,9,3,0
"E00021181",107,44,31,17,7,3,5,0,0
"E00021182",169,63,62,24,18,1,0,1,0
"E00021183",135,60,59,14,0,1,1,0,0
"E00021184",69,26,20,9,5,2,5,1,1
"E00021185",131,52,39,16,11,6,2,5,0
"E00021186",156,57,29,20,22,6,13,6,3
"E00021187",97,17,24,13,22,14,5,1,1
"E00021188",120,57,18,10,20,4,4,3,4
"E00021189",122,30,21,21,20,10,13,4,3
"E00021190",161,44,45,31,13,13,5,3,7
"E00021191",124,25,36,20,13,12,7,5,6
"E00021192",113,36,19,17,17,14,6,3,1
"E00021193",182,79,75,21,6,0,0,1,0
"E00021194",176,40,43,27,28,12,11,9,6
"E00021195",108,17,14,25,13,24,8,5,2
"E00021196",114,29,18,14,17,16,14,6,0
"E00021197",215,102,67,19,19,4,3,0,1
"E00021198",92,19,16,20,16,10,3,3,5
"E00021199",111,77,18,10,1,1,0,2,2
"E00021200",107,28,24,16,17,7,11,3,1
"E00021201",107,33,17,22,15,6,8,3,3
"E00021202",92,27,18,13,11,8,8,5,2
"E00021203",104,40,29,13,8,8,5,1,0
"E00021204",145,59,27,20,10,7,10,5,7
"E00021205",100,26,17,16,14,9,13,0,5
"E00021206",78,25,11,11,9,13,7,0,2
"E00021207",164,89,61,12,1,1,0,0,0
"E00021208",108,36,23,15,12,13,5,3,1
"E00021209",72,18,10,9,14,11,5,2,3
"E00021210",78,19,10,11,12,10,6,4,6
"E00021211",135,41,33,22,17,11,6,2,3
"E00021212",75,14,7,11,21,13,5,3,1
"E00021213",132,38,24,14,23,15,8,8,2
"E00021214",156,44,45,19,19,15,7,4,3
"E00021215",181,85,55,21,15,4,1,0,0
"E00021216",163,99,22,16,11,7,6,1,1
"E00021217",225,122,48,19,16,8,11,1,0
"E00021218",201,44,86,26,31,11,3,0,0
"E00021219",107,31,38,20,12,2,3,1,0
"E00021220",181,73,67,24,16,1,0,0,0
"E00021223",195,70,84,19,18,3,1,0,0
"E00021224",168,54,50,27,19,11,6,1,0
"E00021225",152,62,59,17,11,1,2,0,0
"E00021227",118,40,36,21,13,6,2,0,0
"E00021228",135,43,26,30,20,7,6,1,2
"E00021229",116,42,23,16,16,11,5,1,2
"E00021230",128,53,53,9,10,0,2,0,1
"E00021231",122,74,22,15,9,1,1,0,0
"E00021235",105,20,20,16,13,15,15,5,1
"E00021236",132,44,43,13,17,8,3,3,1
"E00021238",181,46,85,25,20,3,2,0,0
"E00021239",147,48,70,18,11,0,0,0,0
"E00021240",162,64,73,10,12,2,1,0,0
"E00021241",116,30,47,18,14,3,3,1,0
"E00021243",147,37,48,20,23,8,7,1,3
"E00021244",148,96,30,6,5,6,5,0,0
"E00021245",113,45,31,20,10,3,4,0,0
"E00021246",182,49,56,21,25,13,7,6,5
"E00021247",115,22,18,23,18,14,11,7,2
"E00021248",136,29,32,31,35,3,4,1,1
"E00021249",122,27,34,34,13,6,6,2,0
"E00021251",114,42,24,17,16,6,6,3,0
"E00021252",126,40,52,21,8,3,1,1,0
"E00021253",144,78,31,9,11,6,6,1,2
"E00021254",109,33,42,19,12,3,0,0,0
"E00021255",109,37,40,24,8,0,0,0,0
"E00021256",107,24,49,23,7,1,3,0,0
"E00021257",102,28,37,17,13,5,2,0,0
"E00021258",134,39,30,28,19,11,4,2,1
"E00021259",134,35,22,28,23,15,9,1,1
"E00021260",143,62,41,14,11,6,3,6,0
"E00021261",128,46,44,20,10,4,4,0,0
"E00021262",119,36,37,13,17,10,5,0,1
"E00021263",175,50,66,30,21,7,0,0,1
"E00021266",119,36,42,20,12,4,4,0,1
"E00021267",145,47,49,29,11,3,4,2,0
"E00021268",106,30,38,16,14,5,3,0,0
"E00021271",189,86,60,20,10,4,3,3,3
"E00021272",89,33,21,18,7,3,4,1,2
"E00021273",125,55,26,21,12,4,3,3,1
"E00021274",192,55,47,30,20,23,6,9,2
"E00021275",116,52,27,17,9,4,3,4,0
"E00021277",101,37,27,14,10,5,7,0,1
"E00021278",82,28,28,10,6,5,1,2,2
"E00021279",153,42,32,29,24,11,10,3,2
"E00021280",151,66,53,19,9,2,2,0,0
"E00021281",204,58,63,31,31,9,6,3,3
"E00021282",181,68,65,21,14,4,4,0,5
"E00021285",77,40,31,4,1,1,0,0,0
"E00021286",106,37,42,10,12,3,1,0,1
"E00021287",160,63,82,10,4,1,0,0,0
"E00021288",133,52,58,21,2,0,0,0,0
"E00021289",127,42,28,19,24,8,3,3,0
"E00021290",120,30,37,16,15,11,4,5,2
"E00021291",239,109,127,1,2,0,0,0,0
"E00021292",113,35,27,20,10,7,11,2,1
"E00021294",201,77,36,20,19,18,19,9,3
"E00021295",145,39,48,21,16,16,3,0,2
"E00021296",160,52,64,20,20,3,1,0,0
"E00021297",156,42,52,19,31,6,4,1,1
"E00021298",173,54,49,37,21,6,4,0,2
"E00021299",165,40,54,28,23,11,4,5,0
"E00021300",181,45,54,25,35,15,5,1,1
"E00021301",175,37,50,25,32,15,10,2,4
"E00021302",185,63,55,25,15,14,9,1,3
"E00021303",126,47,28,16,12,8,7,3,5
"E00021304",119,27,29,19,20,16,7,1,0
"E00021305",100,31,29,15,16,6,0,1,2
"E00021306",126,50,45,14,10,5,1,0,1
"E00021307",183,59,54,23,26,13,7,0,1
"E00021308",139,24,51,17,18,10,12,4,3
"E00021309",105,40,49,14,1,1,0,0,0
"E00021310",112,34,39,21,9,6,3,0,0
"E00021311",119,37,22,25,14,8,9,3,1
"E00021312",123,36,31,17,31,5,3,0,0
"E00021313",204,57,80,32,17,11,6,0,1
"E00021314",148,44,41,25,27,6,4,1,0
"E00021315",112,92,16,2,2,0,0,0,0
"E00021316",102,26,24,16,11,8,10,1,6
"E00021317",123,23,49,15,25,9,1,0,1
"E00021318",142,57,45,14,17,8,1,0,0
"E00021319",138,43,46,21,15,8,4,0,1
"E00021320",120,32,33,19,24,8,2,2,0
"E00021321",114,28,42,18,10,8,4,2,2
"E00021322",116,36,32,16,11,9,7,4,1
"E00021323",138,55,27,18,15,9,7,3,4
"E00021324",166,50,59,27,21,7,2,0,0
"E00021325",150,46,32,28,22,10,6,4,2
"E00021326",134,26,33,23,20,18,4,7,3
"E00021327",178,61,62,24,20,8,2,0,1
"E00021328",131,17,40,17,24,16,12,2,3
"E00021329",187,97,42,14,12,13,4,3,2
"E00021330",122,43,30,18,9,5,9,5,3
"E00021331",90,37,28,8,8,3,6,0,0
"E00021332",134,29,24,14,19,14,23,7,4
"E00021333",126,40,33,10,15,16,9,3,0
"E00021334",155,55,43,24,14,11,5,2,1
"E00021335",180,43,40,30,29,13,15,4,6
"E00021336",88,13,21,12,20,10,8,2,2
"E00021337",88,10,22,14,10,8,12,7,5
"E00021338",134,29,24,24,23,14,11,0,9
"E00021339",125,31,35,28,18,6,5,2,0
"E00021340",211,103,67,27,7,5,2,0,0
"E00021342",101,23,15,19,15,14,10,2,3
"E00021344",152,34,26,17,20,24,21,9,1
"E00021345",115,23,28,22,24,10,4,1,3
"E00021346",116,31,28,18,19,9,5,3,3
"E00021347",149,45,37,23,19,14,6,3,2
"E00021349",136,33,37,23,14,11,15,2,1
"E00021350",110,29,27,10,15,8,11,7,3
"E00021351",134,48,24,15,20,14,8,2,3
"E00021352",116,33,47,11,9,9,6,1,0
"E00021353",127,58,25,14,8,10,9,2,1
"E00021354",142,31,34,20,19,19,9,5,5
"E00021355",161,76,55,19,8,1,0,1,1
"E00021357",118,29,20,15,15,14,14,5,6
"E00021359",110,31,21,13,12,14,8,6,5
"E00021360",127,27,18,19,23,18,12,7,3
"E00021361",131,35,32,21,23,8,9,1,2
"E00021363",141,38,36,21,24,15,5,1,1
"E00021364",161,31,31,24,28,15,15,10,7
"E00021365",139,69,37,12,8,8,4,1,0
"E00021366",141,50,33,9,28,13,6,1,1
"E00021367",133,47,34,20,21,8,2,1,0
"E00021368",140,43,34,16,16,14,13,4,0
"E00021369",60,7,8,11,13,8,10,1,2
"E00021370",172,37,29,23,27,23,17,5,11
"E00021371",46,5,8,5,5,4,11,7,1
"E00021372",148,46,40,17,28,8,8,0,1
"E00021374",126,30,31,13,16,13,11,4,8
"E00021375",135,49,31,13,13,11,7,7,4
"E00021376",129,39,23,23,13,15,12,2,2
"E00021377",219,56,66,42,24,17,11,2,1
"E00021378",177,73,37,29,17,10,7,2,2
"E00021379",130,62,32,15,6,7,4,3,1
"E00021380",117,64,32,5,5,4,1,5,1
"E00021381",141,42,30,18,23,13,10,3,2
"E00021382",124,26,25,20,19,17,9,6,2
"E00021383",176,66,26,23,19,15,15,6,6
"E00021384",122,50,56,8,7,0,1,0,0
"E00021385",155,44,47,15,24,8,8,7,2
"E00021386",120,33,27,16,15,16,8,3,2
"E00021387",225,61,66,26,23,19,12,11,7
"E00021388",141,64,29,16,16,4,9,2,1
"E00021391",155,43,25,29,17,13,19,8,1
"E00021392",161,65,42,19,21,8,4,1,1
"E00021393",147,45,27,27,18,12,15,3,0
"E00021394",137,47,33,18,17,13,6,2,1
"E00021395",119,37,30,12,14,13,10,2,1
"E00021396",147,55,38,24,14,9,5,1,1
"E00021397",171,35,34,29,29,21,13,4,6
"E00021398",175,48,57,21,21,14,9,3,2
"E00021399",175,66,67,18,15,4,2,0,3
"E00021400",137,34,34,24,19,17,5,3,1
"E00021402",119,39,43,12,13,9,3,0,0
"E00021404",143,62,60,12,7,2,0,0,0
"E00021405",132,29,27,23,22,15,8,6,2
"E00021406",146,54,31,20,24,7,7,2,1
"E00021407",193,57,50,33,25,11,8,1,8
"E00021408",171,71,55,29,13,1,0,1,1
"E00021409",142,50,63,22,4,2,1,0,0
"E00021410",112,36,19,18,23,8,3,2,3
"E00021411",153,55,35,25,14,15,7,1,1
"E00021412",136,20,32,30,25,14,13,0,2
"E00021413",141,42,35,17,14,19,6,3,5
"E00021414",107,10,22,20,17,23,9,1,5
"E00021415",125,32,30,23,13,10,11,3,3
"E00021416",123,29,29,18,26,10,6,3,2
"E00021417",119,44,30,22,15,4,3,1,0
"E00021418",118,49,49,15,4,1,0,0,0
"E00021419",135,27,33,15,25,15,15,2,3
"E00021420",128,43,44,19,16,3,3,0,0
"E00021421",195,99,35,18,22,5,8,4,4
"E00021422",87,39,14,14,9,7,2,1,1
"E00021423",140,38,31,25,15,10,17,2,2
"E00021424",105,35,49,12,6,2,0,0,1
"E00021425",133,60,53,14,6,0,0,0,0
"E00021426",109,16,29,21,19,13,6,5,0
"E00021427",124,49,53,14,8,0,0,0,0
"E00021428",140,33,39,32,18,8,5,1,4
"E00021429",60,15,26,7,8,3,1,0,0
"E00021430",125,45,30,13,16,12,5,2,2
"E00021431",125,49,29,13,16,3,12,2,1
"E00021432",159,66,34,24,13,9,9,3,1
"E00021433",243,66,77,47,25,16,6,1,5
"E00021434",127,36,21,19,12,20,7,6,6
"E00021437",118,44,24,17,12,8,7,4,2
"E00021438",103,45,33,10,8,5,2,0,0
"E00021439",90,36,16,12,17,1,3,3,2
"E00021440",128,27,27,21,15,13,10,7,8
"E00021441",129,29,39,26,17,8,6,3,1
"E00021442",130,41,33,19,23,7,5,2,0
"E00021443",116,48,38,12,7,7,4,0,0
"E00021444",117,39,27,12,19,8,6,4,2
"E00021445",116,20,20,17,24,9,16,6,4
"E00021446",117,15,22,18,20,19,14,4,5
"E00021447",123,40,48,19,9,5,2,0,0
"E00021448",139,47,43,20,12,11,3,1,2
"E00021449",138,60,26,19,16,9,2,5,1
"E00021450",71,17,23,12,10,6,3,0,0
"E00021451",147,53,31,18,18,9,13,4,1
"E00021452",117,63,30,16,3,1,4,0,0
"E00021453",129,43,34,24,19,3,6,0,0
"E00021454",116,27,23,29,14,6,10,5,2
"E00021455",148,66,29,24,9,11,5,3,1
"E00021458",148,80,41,15,8,4,0,0,0
"E00021459",139,58,59,13,6,2,0,1,0
"E00021460",166,52,62,25,14,4,5,4,0
"E00021461",120,50,38,20,4,3,3,1,1
"E00021462",137,56,31,22,20,3,3,1,1
"E00021463",130,48,32,16,16,5,8,1,4
"E00021464",128,47,45,18,11,3,3,0,1
"E00021465",128,23,29,19,25,19,9,3,1
"E00021466",139,48,23,22,24,7,14,1,0
"E00021467",121,36,20,18,24,3,14,3,3
"E00021468",111,47,26,10,11,14,2,0,1
