"GeographyCode","QS407EW0001","QS407EW0002","QS407EW0003","QS407EW0004","QS407EW0005","QS407EW0006","QS407EW0007","QS407EW0008","QS407EW0009","QS407EW0010"
"E02000864",3468,51,240,1003,1073,715,252,72,40,22
"E02000865",2763,52,252,668,867,596,204,77,34,13
"E02000866",3829,49,280,755,870,1011,506,188,102,68
"E02000867",4307,143,663,1390,1157,542,249,88,38,37
"E02000868",2618,58,273,758,777,523,138,47,20,24
"E02000869",2485,61,224,660,807,468,185,44,14,22
"E02000870",2560,37,186,633,804,683,143,45,17,12
"E02000871",3107,67,316,886,945,587,219,42,20,25
"E02000872",3088,82,453,818,977,511,167,42,22,16
"E02000873",2792,87,235,694,985,471,176,79,30,35
"E02000874",2494,182,183,583,781,552,135,37,22,19
"E02000875",3437,106,348,905,1111,631,207,63,38,28
"E02000876",2750,106,400,828,703,458,149,46,44,16
"E02000877",3252,48,237,705,1023,823,267,87,34,28
"E02000878",3900,144,569,1194,972,529,271,101,65,55
"E02000879",2855,71,267,691,822,652,242,42,43,25
"E02000880",2090,63,205,547,745,302,112,67,26,23
"E02000881",2379,55,191,502,693,586,242,65,30,15
"E02000882",2884,45,265,727,908,491,277,108,37,26
"E02000883",2880,59,174,655,953,745,193,60,22,19
"E02000884",3707,186,536,1223,1008,419,181,97,35,22
"E02000885",2509,60,271,686,731,497,150,59,28,27
"E02000886",3185,47,333,960,1062,476,179,77,34,17
"E02000887",3165,68,280,773,1030,725,197,45,20,27
"E02000888",3306,49,479,1000,1050,463,156,51,31,27
"E02000889",2879,84,313,754,965,492,183,53,23,12
"E02000890",3093,87,370,959,1072,396,115,54,19,21
"E02000891",5742,233,773,1650,1998,680,269,76,39,24
"E02000893",2912,38,192,712,1068,569,213,77,30,13
"E02000894",4510,59,431,1293,1493,735,306,130,25,38
"E02006853",3320,195,663,1145,670,415,149,37,27,19
"E02006854",2991,89,701,851,906,281,114,24,13,12
