"GeographyCode","QS407EW0001","QS407EW0002","QS407EW0003","QS407EW0004","QS407EW0005","QS407EW0006","QS407EW0007","QS407EW0008","QS407EW0009","QS407EW0010"
"E00021141",117,1,4,47,13,23,18,3,4,4
"E00021143",138,0,5,18,68,32,14,0,0,1
"E00021145",104,0,10,24,32,25,5,4,2,2
"E00021146",143,2,18,62,41,13,2,2,3,0
"E00021147",83,0,3,19,15,28,10,6,0,2
"E00021148",119,0,1,43,19,48,6,2,0,0
"E00021149",126,3,9,28,73,9,1,2,1,0
"E00021150",116,2,11,19,55,21,7,1,0,0
"E00021151",113,2,11,36,26,25,11,2,0,0
"E00021152",138,6,11,32,32,34,12,9,1,1
"E00021153",149,1,15,56,24,39,9,4,1,0
"E00021154",121,3,9,21,32,24,17,9,0,6
"E00021155",172,7,48,47,50,16,4,0,0,0
"E00021156",133,18,45,32,31,3,3,0,1,0
"E00021157",106,0,8,22,37,32,5,2,0,0
"E00021158",107,3,5,26,36,25,10,2,0,0
"E00021159",246,5,12,68,71,70,13,3,1,3
"E00021160",112,3,13,16,48,21,8,1,1,1
"E00021161",154,2,13,22,55,45,11,1,2,3
"E00021162",121,3,4,28,32,18,23,11,2,0
"E00021163",119,4,9,27,17,53,8,0,1,0
"E00021164",128,5,5,40,70,6,1,0,1,0
"E00021165",122,5,20,19,25,37,13,3,0,0
"E00021166",126,1,7,15,44,43,15,1,0,0
"E00021167",128,3,18,32,35,34,3,0,1,2
"E00021168",169,15,12,55,52,25,5,4,1,0
"E00021169",189,0,14,70,63,25,9,4,1,3
"E00021170",162,1,10,34,83,19,10,2,2,1
"E00021171",241,3,27,76,56,47,14,6,12,0
"E00021172",125,1,10,31,38,25,12,5,2,1
"E00021173",146,3,8,32,46,29,23,2,2,1
"E00021174",128,0,2,80,27,16,1,0,1,1
"E00021175",127,2,11,22,46,38,2,4,2,0
"E00021176",151,1,8,34,51,41,6,6,4,0
"E00021177",134,1,10,26,51,32,10,3,0,1
"E00021179",140,3,13,56,32,19,11,3,3,0
"E00021180",168,3,15,46,65,31,4,3,1,0
"E00021181",107,4,20,20,34,23,5,0,0,1
"E00021182",169,10,44,39,36,32,7,1,0,0
"E00021183",135,4,21,52,37,18,2,1,0,0
"E00021184",69,7,0,26,16,14,3,1,2,0
"E00021185",131,6,5,35,27,34,17,7,0,0
"E00021186",156,11,23,38,26,41,6,6,2,3
"E00021187",97,0,7,9,62,18,0,1,0,0
"E00021188",120,18,20,16,22,23,10,7,3,1
"E00021189",122,5,10,19,16,51,13,2,4,2
"E00021190",161,2,26,48,38,28,16,2,1,0
"E00021191",124,1,7,36,45,25,10,0,0,0
"E00021192",113,2,20,17,40,31,2,0,1,0
"E00021193",182,11,24,79,41,21,4,0,1,1
"E00021194",176,1,13,49,61,29,12,6,3,2
"E00021195",108,0,3,5,42,51,6,1,0,0
"E00021196",114,0,6,23,41,42,1,1,0,0
"E00021197",215,19,24,78,54,26,9,1,2,2
"E00021198",92,1,2,14,31,37,4,1,1,1
"E00021199",111,11,17,53,19,9,1,1,0,0
"E00021200",107,3,5,26,32,33,5,1,2,0
"E00021201",107,4,5,35,30,18,10,1,4,0
"E00021202",92,1,6,19,41,22,0,0,1,2
"E00021203",104,1,11,33,20,31,4,1,0,3
"E00021204",145,11,20,42,27,19,6,8,10,2
"E00021205",100,3,4,20,33,31,5,1,2,1
"E00021206",78,1,2,22,25,27,1,0,0,0
"E00021207",164,7,77,51,17,8,0,1,0,3
"E00021208",108,5,7,28,26,37,2,2,1,0
"E00021209",72,0,6,22,19,17,7,1,0,0
"E00021210",78,1,0,18,19,18,20,2,0,0
"E00021211",135,3,16,39,40,22,13,0,2,0
"E00021212",75,0,13,7,31,18,5,0,1,0
"E00021213",132,5,5,46,38,18,11,0,9,0
"E00021214",156,9,12,20,77,19,8,6,0,5
"E00021215",181,14,33,53,46,16,18,0,1,0
"E00021216",163,5,20,71,42,19,5,0,1,0
"E00021217",225,89,12,35,74,5,4,1,1,4
"E00021218",201,1,7,44,61,31,42,11,4,0
"E00021219",107,0,1,6,55,37,4,2,1,1
"E00021220",181,1,35,52,67,15,6,1,3,1
"E00021223",195,1,31,60,65,20,9,3,3,3
"E00021224",168,1,22,18,25,84,13,5,0,0
"E00021225",152,1,11,54,72,13,0,0,1,0
"E00021227",118,0,2,37,36,30,9,2,1,1
"E00021228",135,1,2,20,36,55,16,2,1,2
"E00021229",116,1,9,30,51,11,13,0,0,1
"E00021230",128,1,10,37,37,30,9,3,1,0
"E00021231",122,2,8,54,34,14,3,4,3,0
"E00021235",105,2,8,21,51,6,16,0,0,1
"E00021236",132,7,24,35,54,7,2,0,1,2
"E00021238",181,2,17,30,72,36,8,13,2,1
"E00021239",147,0,13,37,89,3,4,0,0,1
"E00021240",162,0,10,53,66,18,9,2,2,2
"E00021241",116,0,1,13,53,16,23,6,3,1
"E00021243",147,1,20,40,59,21,4,1,1,0
"E00021244",148,11,13,88,17,13,5,1,0,0
"E00021245",113,0,8,18,55,19,11,0,2,0
"E00021246",182,1,9,32,84,45,8,2,1,0
"E00021247",115,0,2,9,41,48,9,4,2,0
"E00021248",136,2,8,19,93,5,7,2,0,0
"E00021249",122,0,1,10,59,22,28,1,1,0
"E00021251",114,2,3,35,36,23,8,6,1,0
"E00021252",126,3,23,27,41,21,10,0,0,1
"E00021253",144,8,23,65,14,19,13,1,1,0
"E00021254",109,0,3,16,69,13,3,5,0,0
"E00021255",109,0,3,25,67,13,0,1,0,0
"E00021256",107,0,6,21,54,13,4,5,2,2
"E00021257",102,0,0,18,52,16,5,11,0,0
"E00021258",134,3,10,18,26,71,0,2,4,0
"E00021259",134,2,5,20,25,66,12,1,2,1
"E00021260",143,0,18,47,29,39,7,1,2,0
"E00021261",128,3,16,68,21,9,9,1,1,0
"E00021262",119,1,18,15,73,9,3,0,0,0
"E00021263",175,1,13,26,51,38,34,11,1,0
"E00021266",119,1,8,30,33,18,13,5,7,4
"E00021267",145,1,7,24,63,24,18,4,1,3
"E00021268",106,0,5,20,59,11,10,1,0,0
"E00021271",189,2,3,55,98,19,10,1,0,1
"E00021272",89,1,7,18,14,37,6,4,1,1
"E00021273",125,1,20,23,49,25,7,0,0,0
"E00021274",192,1,5,36,52,68,22,7,1,0
"E00021275",116,1,1,38,21,42,9,2,0,2
"E00021277",101,0,0,15,44,10,18,7,4,3
"E00021278",82,0,4,28,29,11,5,4,1,0
"E00021279",153,5,6,32,28,61,13,5,2,1
"E00021280",151,6,27,50,31,29,6,1,0,1
"E00021281",204,3,14,65,34,48,31,6,2,1
"E00021282",181,2,19,75,51,21,6,4,3,0
"E00021285",77,1,26,24,21,3,1,1,0,0
"E00021286",106,0,17,20,35,14,12,6,2,0
"E00021287",160,18,46,52,34,9,0,0,0,1
"E00021288",133,2,27,54,43,7,0,0,0,0
"E00021289",127,2,4,38,73,7,3,0,0,0
"E00021290",120,0,4,24,30,51,6,3,1,1
"E00021291",239,53,61,61,57,5,2,0,0,0
"E00021292",113,1,5,12,63,24,3,3,1,1
"E00021294",201,1,8,65,62,60,3,2,0,0
"E00021295",145,3,9,27,35,28,21,14,3,5
"E00021296",160,1,26,34,55,28,9,6,1,0
