"GeographyCode","QS408EW0001","QS408EW0002","QS408EW0003","QS408EW0004","QS408EW0005","QS408EW0006"
"E02000864",3468,385,750,1415,661,257
"E02000865",2763,330,527,1043,599,264
"E02000866",3829,938,795,1214,599,283
"E02000867",4307,373,758,1447,1282,447
"E02000868",2618,241,453,1023,637,264
"E02000869",2485,309,539,920,487,230
"E02000870",2560,341,470,961,540,248
"E02000871",3107,227,514,1185,765,416
"E02000872",3088,246,498,1073,874,397
"E02000873",2792,264,502,988,649,389
"E02000874",2494,209,381,884,530,490
"E02000875",3437,283,528,1298,850,478
"E02000876",2750,225,386,1008,725,406
"E02000877",3252,365,518,1127,776,466
"E02000878",3900,375,589,1378,1052,506
"E02000879",2855,373,550,958,632,342
"E02000880",2090,156,369,756,515,294
"E02000881",2379,297,426,824,529,303
"E02000882",2884,259,541,993,737,354
"E02000883",2880,347,592,990,625,326
"E02000884",3707,210,498,1335,1109,555
"E02000885",2509,208,423,896,662,320
"E02000886",3185,358,684,1176,687,280
"E02000887",3165,334,567,1106,778,380
"E02000888",3306,259,620,1177,874,376
"E02000889",2879,306,634,1057,617,265
"E02000890",3093,344,849,1147,570,183
"E02000891",5742,431,1262,2058,1358,633
"E02000893",2912,424,706,1123,461,198
"E02000894",4510,571,1108,1668,877,286
"E02006853",3320,244,483,1184,986,423
"E02006854",2991,210,629,1019,890,243
