"GeographyCode","QS410EW0001","QS410EW0002","QS410EW0003","QS410EW0004","QS410EW0005"
"E02000864",8296,2655,4149,1155,337
"E02000865",6977,2017,3275,1292,393
"E02000866",9610,3357,4938,889,426
"E02000867",9761,2986,5032,1109,634
"E02000868",6416,1773,3417,954,272
"E02000869",5679,2031,2633,716,299
"E02000870",6430,1854,3154,1029,393
"E02000871",8591,1915,3954,1993,729
"E02000872",7480,2116,3580,1329,455
"E02000873",7467,1855,3408,1445,759
"E02000874",6879,1456,3153,1504,766
"E02000875",9379,2204,4385,1990,800
"E02000876",6900,1727,3295,1294,584
"E02000877",9748,1927,4565,2394,862
"E02000878",9451,2675,4388,1683,705
"E02000879",7417,2047,3294,1464,612
"E02000880",5634,1317,2681,1050,586
"E02000881",6909,1518,3238,1595,558
"E02000882",8563,1837,3857,2121,748
"E02000883",7853,1973,3634,1714,532
"E02000884",9021,2242,4749,1274,756
"E02000885",6873,1618,3122,1561,572
"E02000886",7326,2476,3408,991,451
"E02000887",8585,2044,4284,1641,616
"E02000888",8210,2234,3661,1667,648
"E02000889",6549,2231,3039,923,356
"E02000890",5795,2676,2628,333,158
"E02000891",12678,4241,6383,1335,719
"E02000893",6783,2366,3462,694,261
"E02000894",10137,3630,5291,875,341
"E02006853",7063,2171,3547,888,457
"E02006854",5883,2304,2855,589,135
