"GeographyCode","QS413EW0001","QS413EW0002","QS413EW0003","QS413EW0004","QS413EW0005"
"E00021141",117,15,59,18,25
"E00021143",138,27,53,22,36
"E00021145",104,13,61,17,13
"E00021146",143,30,79,25,9
"E00021147",83,14,46,10,13
"E00021148",119,17,70,9,23
"E00021149",126,25,41,19,41
"E00021150",116,17,54,13,32
"E00021151",113,15,64,13,21
"E00021152",138,18,70,15,35
"E00021153",149,14,79,14,42
"E00021154",121,17,49,26,29
"E00021155",172,19,88,13,52
"E00021156",133,13,83,7,30
"E00021157",106,9,46,14,37
"E00021158",107,10,42,23,32
"E00021159",246,31,145,27,43
"E00021160",112,22,41,18,31
"E00021161",154,25,85,17,27
"E00021162",121,22,49,15,35
"E00021163",119,25,50,18,26
"E00021164",128,28,52,16,32
"E00021165",122,15,63,16,28
"E00021166",126,28,53,17,28
"E00021167",128,16,65,12,35
"E00021168",169,21,104,18,26
"E00021169",189,35,81,25,48
"E00021170",162,22,61,28,51
"E00021171",241,34,103,31,73
"E00021172",125,26,69,14,16
"E00021173",146,28,72,17,29
"E00021174",128,12,61,8,47
"E00021175",127,27,69,12,19
"E00021176",151,41,74,9,27
"E00021177",134,21,51,15,47
"E00021179",140,16,70,10,44
"E00021180",168,17,75,24,52
"E00021181",107,13,67,10,17
"E00021182",169,21,99,7,42
"E00021183",135,10,89,9,27
"E00021184",69,6,33,10,20
"E00021185",131,22,72,11,26
"E00021186",156,19,68,13,56
"E00021187",97,14,28,14,41
"E00021188",120,15,66,18,21
"E00021189",122,11,59,22,30
"E00021190",161,20,85,25,31
"E00021191",124,15,32,22,55
"E00021192",113,13,44,17,39
"E00021193",182,39,93,17,33
"E00021194",176,10,75,27,64
"E00021195",108,15,34,16,43
"E00021196",114,16,33,15,50
"E00021197",215,41,107,19,48
"E00021198",92,15,30,21,26
"E00021199",111,12,74,6,19
"E00021200",107,10,50,15,32
"E00021201",107,4,53,21,29
"E00021202",92,12,32,11,37
"E00021203",104,13,57,5,29
"E00021204",145,11,72,23,39
"E00021205",100,12,36,19,33
"E00021206",78,6,34,11,27
"E00021207",164,10,96,3,55
"E00021208",108,13,44,16,35
"E00021209",72,6,22,16,28
"E00021210",78,8,27,14,29
"E00021211",135,14,59,15,47
"E00021212",75,5,21,18,31
"E00021213",132,14,55,14,49
"E00021214",156,26,65,17,48
"E00021215",181,38,87,15,41
"E00021216",163,10,110,15,28
"E00021217",225,25,127,17,56
"E00021218",201,50,87,27,37
"E00021219",107,28,46,21,12
"E00021220",181,43,86,14,38
"E00021223",195,47,87,19,42
"E00021224",168,39,82,18,29
"E00021225",152,18,97,19,18
"E00021227",118,17,64,15,22
"E00021228",135,33,60,21,21
"E00021229",116,19,45,16,36
"E00021230",128,35,60,11,22
"E00021231",122,29,65,14,14
"E00021235",105,9,34,18,44
"E00021236",132,14,54,8,56
"E00021238",181,43,86,24,28
"E00021239",147,32,70,20,25
"E00021240",162,36,97,14,15
"E00021241",116,32,55,19,10
"E00021243",147,16,62,19,50
"E00021244",148,7,105,3,33
"E00021245",113,27,57,15,14
"E00021246",182,42,62,23,55
"E00021247",115,23,31,20,41
"E00021248",136,25,40,27,44
"E00021249",122,27,48,33,14
"E00021251",114,15,60,16,23
"E00021252",126,22,65,10,29
"E00021253",144,13,81,9,41
"E00021254",109,26,51,16,16
"E00021255",109,25,41,23,20
"E00021256",107,21,56,24,6
"E00021257",102,28,49,14,11
"E00021258",134,17,71,25,21
"E00021259",134,25,55,21,33
"E00021260",143,19,77,15,32
"E00021261",128,15,72,23,18
"E00021262",119,26,41,13,39
"E00021263",175,41,94,25,15
"E00021266",119,18,67,9,25
"E00021267",145,24,81,20,20
"E00021268",106,22,46,16,22
"E00021271",189,47,93,20,29
"E00021272",89,15,47,8,19
"E00021273",125,22,59,20,24
"E00021274",192,25,93,28,46
"E00021275",116,19,66,9,22
"E00021277",101,27,48,14,12
"E00021278",82,18,37,6,21
"E00021279",153,9,86,25,33
"E00021280",151,20,89,10,32
"E00021281",204,35,91,30,48
"E00021282",181,28,96,21,36
"E00021285",77,13,48,2,14
"E00021286",106,21,54,10,21
"E00021287",160,13,78,6,63
"E00021288",133,28,72,19,14
"E00021289",127,13,48,20,46
"E00021290",120,12,66,12,30
"E00021291",239,29,132,0,78
"E00021292",113,31,42,18,22
"E00021294",201,32,78,25,66
"E00021295",145,22,74,17,32
"E00021296",160,24,83,14,39
"E00021297",156,32,76,22,26
"E00021298",173,36,92,25,20
"E00021299",165,24,75,28,38
"E00021300",181,40,100,28,13
"E00021301",175,26,60,28,61
"E00021302",185,28,101,18,38
"E00021303",126,17,55,13,41
"E00021304",119,17,59,21,22
"E00021305",100,32,45,14,9
"E00021306",126,27,76,11,12
"E00021307",183,29,100,24,30
"E00021308",139,19,77,17,26
"E00021309",105,18,51,8,28
"E00021310",112,27,63,11,11
"E00021311",119,22,53,13,31
"E00021312",123,25,52,27,19
"E00021313",204,24,106,20,54
"E00021314",148,24,75,31,18
"E00021315",112,3,91,0,18
"E00021316",102,29,37,24,12
"E00021317",123,23,68,13,19
"E00021318",142,21,81,14,26
"E00021319",138,23,63,15,37
"E00021320",120,23,58,23,16
"E00021321",114,18,52,15,29
"E00021322",116,25,54,10,27
"E00021323",138,18,74,21,25
"E00021324",166,25,93,16,32
"E00021325",150,18,68,23,41
"E00021326",134,23,43,20,48
"E00021327",178,31,97,30,20
