"GeographyCode","QS415EW0001","QS415EW0002","QS415EW0003","QS415EW0004","QS415EW0005","QS415EW0006","QS415EW0007","QS415EW0008"
"E00021141",117,3,71,21,1,0,18,3
"E00021143",138,4,108,11,0,0,6,9
"E00021145",104,4,91,1,1,0,1,6
"E00021146",143,14,50,68,1,0,6,4
"E00021147",83,5,65,3,0,0,2,8
"E00021148",119,4,64,9,2,0,34,6
"E00021149",126,0,94,19,0,0,4,9
"E00021150",116,2,68,9,5,0,28,4
"E00021151",113,0,94,3,0,0,4,12
"E00021152",138,0,114,8,0,0,3,13
"E00021153",149,15,113,9,0,0,2,10
"E00021154",121,4,94,8,0,0,7,8
"E00021155",172,11,120,36,0,0,2,3
"E00021156",133,2,82,12,2,0,32,3
"E00021157",106,1,88,7,0,0,5,5
"E00021158",107,0,70,8,5,0,13,11
"E00021159",246,2,212,15,1,0,4,12
"E00021160",112,4,83,13,0,0,6,6
"E00021161",154,0,140,4,0,0,3,7
"E00021162",121,2,104,2,0,0,6,7
"E00021163",119,0,99,13,0,0,0,7
"E00021164",128,4,9,112,0,0,1,2
"E00021165",122,2,95,11,0,0,6,8
"E00021166",126,0,118,5,1,0,0,2
"E00021167",128,9,74,36,0,0,2,7
"E00021168",169,9,131,20,0,0,1,8
"E00021169",189,1,159,10,0,0,7,12
"E00021170",162,2,134,7,0,0,7,12
"E00021171",241,3,151,54,0,0,18,15
"E00021172",125,3,105,10,0,0,3,4
"E00021173",146,1,126,12,0,0,2,5
"E00021174",128,0,119,5,0,0,2,2
"E00021175",127,3,94,22,0,0,1,7
"E00021176",151,11,90,32,0,0,13,5
"E00021177",134,3,107,6,0,0,7,11
"E00021179",140,13,50,74,0,0,0,3
"E00021180",168,1,116,13,0,0,24,14
"E00021181",107,9,51,40,0,0,4,3
"E00021182",169,9,118,35,0,0,3,4
"E00021183",135,11,49,70,0,0,2,3
"E00021184",69,7,32,26,0,0,2,2
"E00021185",131,3,103,14,0,0,5,6
"E00021186",156,4,93,13,4,0,34,8
"E00021187",97,1,82,1,0,0,5,8
"E00021188",120,2,85,18,0,0,10,5
"E00021189",122,1,100,8,0,0,3,10
"E00021190",161,4,104,14,3,0,30,6
"E00021191",124,13,36,35,5,0,30,5
"E00021192",113,0,79,15,0,0,7,12
"E00021193",182,23,37,114,0,0,4,4
"E00021194",176,2,134,16,0,0,10,14
"E00021195",108,0,91,2,0,0,7,8
"E00021196",114,1,92,3,1,0,4,13
"E00021197",215,4,155,23,1,0,20,12
"E00021198",92,1,70,5,0,0,6,10
"E00021199",111,0,95,5,0,0,7,4
"E00021200",107,0,57,20,1,0,20,9
"E00021201",107,1,97,2,0,0,3,4
"E00021202",92,1,74,6,0,0,2,9
"E00021203",104,4,87,6,0,0,3,4
"E00021204",145,5,93,34,0,0,6,7
"E00021205",100,1,80,5,0,0,1,13
"E00021206",78,0,66,4,0,0,1,7
"E00021207",164,12,44,101,0,0,6,1
"E00021208",108,2,85,8,0,0,4,9
"E00021209",72,0,61,4,0,0,2,5
"E00021210",78,1,62,1,0,0,6,8
"E00021211",135,1,88,31,1,0,5,9
"E00021212",75,3,56,3,0,0,6,7
"E00021213",132,0,83,29,0,0,11,9
"E00021214",156,7,104,30,0,0,1,14
"E00021215",181,18,97,53,1,0,5,7
"E00021216",163,5,90,36,0,0,14,18
"E00021217",225,4,96,47,1,2,67,8
"E00021218",201,8,137,45,0,0,1,10
"E00021219",107,3,90,6,0,0,5,3
"E00021220",181,2,155,16,0,0,0,8
"E00021223",195,7,128,53,0,0,1,6
"E00021224",168,3,143,8,1,0,4,9
"E00021225",152,0,127,8,0,0,4,13
"E00021227",118,9,83,18,0,0,4,4
"E00021228",135,2,106,5,0,1,4,17
"E00021229",116,7,86,9,0,1,2,11
"E00021230",128,0,111,5,0,0,1,11
"E00021231",122,1,113,4,0,0,2,2
"E00021235",105,3,74,9,0,0,11,8
"E00021236",132,2,107,6,0,1,4,12
"E00021238",181,15,87,69,0,0,2,8
"E00021239",147,31,4,112,0,0,0,0
"E00021240",162,7,78,73,0,0,0,4
"E00021241",116,1,105,6,0,0,1,3
"E00021243",147,4,112,22,0,0,4,5
"E00021244",148,0,132,3,0,0,5,8
"E00021245",113,1,91,8,0,0,2,11
"E00021246",182,0,132,20,0,0,21,9
"E00021247",115,1,98,4,0,0,3,9
"E00021248",136,4,42,17,7,0,56,10
"E00021249",122,1,105,5,0,0,3,8
"E00021251",114,5,100,0,0,0,5,4
"E00021252",126,1,113,9,0,0,0,3
"E00021253",144,1,123,2,0,0,4,14
"E00021254",109,5,64,38,0,0,0,2
"E00021255",109,1,97,3,1,0,1,6
"E00021256",107,0,95,7,0,0,3,2
"E00021257",102,0,91,1,0,0,2,8
"E00021258",134,5,108,10,0,0,7,4
"E00021259",134,3,114,2,0,0,7,8
"E00021260",143,2,105,26,0,0,5,5
"E00021261",128,5,49,65,1,0,7,1
"E00021262",119,3,103,6,0,0,3,4
"E00021263",175,11,102,53,0,0,6,3
"E00021266",119,2,103,5,0,0,0,9
"E00021267",145,3,124,7,0,0,3,8
"E00021268",106,4,59,33,1,0,3,6
"E00021271",189,1,67,117,0,0,3,1
"E00021272",89,2,73,4,0,0,2,8
"E00021273",125,4,86,23,0,0,6,6
"E00021274",192,0,169,9,1,0,6,7
"E00021275",116,3,96,8,0,0,3,6
"E00021277",101,0,85,4,0,0,6,6
"E00021278",82,3,69,2,0,0,3,5
"E00021279",153,0,123,9,0,0,8,13
"E00021280",151,11,98,31,0,0,3,8
"E00021281",204,2,167,21,0,0,2,12
"E00021282",181,0,151,15,0,0,6,9
"E00021285",77,6,5,65,0,0,1,0
"E00021286",106,5,63,34,0,0,2,2
"E00021287",160,24,4,130,0,0,2,0
"E00021288",133,6,2,121,0,0,2,2
"E00021289",127,2,11,110,0,0,3,1
"E00021290",120,1,104,5,0,0,4,6
"E00021291",239,35,7,195,0,0,2,0
"E00021292",113,3,101,2,1,0,2,4
"E00021294",201,6,48,65,4,0,72,6
"E00021295",145,0,124,7,0,0,4,10
"E00021296",160,13,98,40,0,0,6,3
"E00021297",156,4,140,1,0,0,4,7
"E00021298",173,4,138,23,0,0,1,7
"E00021299",165,4,122,29,1,0,1,8
"E00021300",181,4,160,7,0,0,3,7
"E00021301",175,4,104,48,0,0,5,14
"E00021302",185,2,155,9,0,0,4,15
"E00021303",126,9,86,7,0,0,9,15
"E00021304",119,5,100,7,0,0,4,3
"E00021305",100,1,86,4,0,0,2,7
"E00021306",126,1,117,1,0,0,2,5
"E00021307",183,7,137,29,0,0,3,7
"E00021308",139,3,114,14,0,0,2,6
"E00021309",105,3,53,45,0,0,2,2
"E00021310",112,1,78,4,6,0,20,3
