"GeographyCode","QS416EW0001","QS416EW0002","QS416EW0003","QS416EW0004","QS416EW0005","QS416EW0006","QS416EW0007"
"E01004197",964,633,303,24,1,3,370
"E01004198",606,422,160,22,2,0,210
"E01004199",574,393,164,15,1,1,201
"E01004200",585,434,137,11,3,0,168
"E01004201",619,382,209,26,1,1,268
"E01004202",713,487,210,15,1,0,243
"E01004203",689,480,183,24,0,2,239
"E01004204",631,430,179,17,3,2,230
"E01004205",688,463,199,20,6,0,257
"E01004206",554,420,116,17,1,0,153
"E01004207",515,347,148,16,3,1,193
"E01004208",788,549,213,23,3,0,268
"E01004209",466,313,135,17,0,1,173
"E01004211",720,539,162,16,3,0,203
"E01004212",720,538,169,9,2,2,207
"E01004214",665,394,247,22,2,0,297
"E01004215",1168,732,365,57,11,3,540
"E01004216",737,359,310,61,1,6,475
"E01004217",779,424,280,61,11,3,447
"E01004218",731,329,313,76,11,2,506
"E01004219",851,593,222,29,5,2,303
"E01004221",802,399,339,55,7,2,480
"E01004222",1048,688,324,29,5,2,411
"E01004223",938,569,313,53,3,0,428
"E01004224",806,473,277,51,5,0,394
"E01004225",1147,696,396,52,2,1,510
"E01004226",676,414,236,24,1,1,291
"E01004228",769,419,297,45,7,1,412
"E01004229",551,315,202,27,7,0,277
"E01004230",803,503,247,44,7,2,364
"E01004231",629,427,170,29,3,0,237
"E01004232",603,302,236,56,9,0,375
"E01004233",751,494,217,32,8,0,305
"E01004234",903,463,369,67,4,0,515
"E01004235",513,325,176,10,1,1,206
"E01004236",497,298,168,30,1,0,231
"E01004237",506,334,162,10,0,0,182
"E01004238",1058,713,311,28,4,2,387
"E01004239",533,292,209,28,2,2,279
"E01004240",574,329,210,29,5,1,287
"E01004241",570,336,210,23,1,0,259
"E01004242",898,605,245,41,7,0,348
"E01004243",614,375,204,31,3,1,280
"E01004244",686,467,194,23,2,0,246
"E01004245",433,223,181,27,0,2,245
"E01004246",747,424,261,56,5,1,392
"E01004247",714,491,197,21,3,2,257
"E01004248",441,279,136,25,1,0,189
"E01004249",758,475,249,28,6,0,323
"E01004250",866,516,305,39,4,2,404
"E01004251",779,474,259,42,3,1,357
"E01004252",1107,729,344,28,6,0,418
"E01004253",829,505,270,46,6,2,388
"E01004254",1046,533,449,54,7,3,594
"E01004255",647,423,203,17,3,1,250
"E01004256",611,367,215,27,2,0,275
"E01004257",618,371,228,16,3,0,269
"E01004258",713,342,301,59,6,5,462
"E01004259",812,594,193,22,1,2,248
"E01004260",636,418,202,15,1,0,235
"E01004261",550,400,133,15,2,0,169
"E01004262",495,323,147,21,1,3,204
"E01004263",529,337,162,28,2,0,224
"E01004264",457,306,126,20,5,0,181
"E01004266",583,328,212,30,6,7,336
"E01004267",707,424,257,24,2,0,311
"E01004268",688,464,211,13,0,0,237
"E01004269",726,508,194,21,3,0,245
"E01004270",745,462,235,43,2,3,340
"E01004271",548,357,174,15,2,0,210
"E01004272",639,385,228,23,3,0,283
"E01004273",594,331,235,27,1,0,292
"E01004274",654,308,294,43,8,1,408
"E01004275",768,394,308,47,14,5,467
"E01004276",996,430,472,85,8,1,670
"E01004277",898,508,324,56,6,4,472
"E01004280",769,406,321,37,3,2,420
"E01004281",831,482,299,45,5,0,404
"E01004283",756,499,207,48,2,0,309
"E01004284",884,507,327,45,4,1,433
"E01004285",658,356,254,43,5,0,355
"E01004286",817,468,297,47,3,2,408
"E01004287",854,566,262,25,1,0,315
"E01004288",525,328,169,25,3,0,228
"E01004289",670,406,219,40,5,0,314
"E01004290",575,391,152,29,2,1,220
"E01004291",1051,542,427,72,3,7,612
"E01004292",818,371,383,57,6,1,520
"E01004293",1133,596,431,88,13,5,672
"E01004294",877,552,277,40,5,3,385
"E01004295",500,328,154,16,2,0,192
"E01004296",684,401,253,24,4,2,324
"E01004297",909,404,415,82,6,2,605
"E01004298",635,459,156,18,1,1,199
"E01004300",522,335,167,16,3,1,212
"E01004301",413,248,146,16,3,0,187
"E01004302",637,445,168,20,3,1,221
"E01004303",967,571,332,60,2,2,470
"E01004304",653,457,171,19,6,0,227
"E01004305",699,442,218,37,2,0,298
"E01004306",687,492,170,18,4,3,233
"E01004307",1014,761,210,26,7,10,328
"E01004308",504,345,135,20,4,0,187
"E01004309",902,677,195,27,3,0,258
"E01004310",793,598,176,15,4,0,218
"E01004311",644,469,156,17,2,0,196
"E01004312",628,453,153,18,4,0,201
"E01004313",812,593,205,10,3,1,240
"E01004314",493,267,193,28,4,1,266
"E01004315",718,497,196,19,4,2,255
"E01004316",455,334,102,19,0,0,140
"E01004317",1193,874,283,33,2,1,360
"E01004318",630,447,171,11,1,0,196
"E01004319",595,406,163,22,4,0,219
"E01004321",711,525,157,28,1,0,216
"E01004322",502,379,112,8,2,1,138
"E01004323",480,300,143,31,6,0,223
"E01004324",485,312,147,24,1,1,202
"E01004325",1033,806,190,32,2,3,275
"E01004326",623,469,139,15,0,0,169
"E01032764",643,425,183,32,2,1,257
"E01032765",645,377,227,37,4,0,313
"E01032766",601,410,172,14,3,2,218
"E01032767",767,556,182,22,4,3,252
"E01032768",696,370,279,41,5,1,381
"E01032769",593,300,248,41,3,1,343
"E01032770",572,415,137,17,3,0,180
"E01032771",546,380,151,13,2,0,183
"E01032772",544,384,124,32,4,0,200
"E01032773",852,606,217,27,2,0,277
"E01032774",583,382,165,34,2,0,239
"E01032775",600,298,256,39,7,0,355
"E01032776",631,442,169,14,4,2,233
"E01032777",514,319,168,26,1,0,223
"E01032778",564,356,180,18,9,1,249
"E01032779",565,354,183,23,5,0,244
"E01032780",647,329,264,47,5,2,381
"E01032781",771,455,271,38,6,1,369
"E01032782",776,558,197,19,2,0,241
"E01032783",661,373,253,31,4,0,327
"E01032784",692,453,214,21,4,0,268
"E01032785",616,420,184,12,0,0,208
"E01032786",674,425,227,20,1,1,274
"E01032787",793,520,236,34,2,1,314
