"GeographyCode","QS416EW0001","QS416EW0002","QS416EW0003","QS416EW0004","QS416EW0005","QS416EW0006","QS416EW0007"
"E02000864",3468,2144,1150,157,14,3,1524
"E02000865",2763,1830,836,87,5,5,1049
"E02000866",3829,2181,1366,244,35,3,1971
"E02000867",4307,2693,1392,198,22,2,1862
"E02000868",2618,1831,709,67,7,4,880
"E02000869",2485,1680,716,75,11,3,913
"E02000870",2560,1677,769,95,10,9,1043
"E02000871",3107,1962,1026,106,8,5,1285
"E02000872",3088,2254,743,80,9,2,941
"E02000873",2792,1874,817,88,9,4,1036
"E02000874",2494,1718,688,76,7,5,887
"E02000875",3437,2158,1133,130,15,1,1442
"E02000876",2750,1971,690,76,13,0,881
"E02000877",3252,2043,1066,129,11,3,1370
"E02000878",3900,2873,886,106,22,13,1224
"E02000879",2855,1862,840,142,10,1,1158
"E02000880",2090,1460,541,78,9,2,732
"E02000881",2379,1401,827,136,12,3,1149
"E02000882",2884,1659,1047,160,15,3,1424
"E02000883",2880,1849,900,114,12,5,1187
"E02000884",3707,2703,864,118,14,8,1180
"E02000885",2509,1693,712,90,12,2,936
"E02000886",3185,1772,1212,172,19,10,1663
"E02000887",3165,1972,1057,117,17,2,1350
"E02000888",3306,1934,1173,178,16,5,1602
"E02000889",2879,1652,1067,137,17,6,1421
"E02000890",3093,1542,1273,242,22,14,1889
"E02000891",5742,3524,1890,269,47,12,2653
"E02000893",2912,1506,1150,220,25,11,1725
"E02000894",4510,2285,1882,290,46,7,2631
"E02006853",3320,2193,964,147,14,2,1316
"E02006854",2991,1901,943,126,16,5,1265
