"GeographyCode","QS417EW0001","QS417EW0002","QS417EW0003"
"E01004197",980,964,16
"E01004198",614,606,8
"E01004199",578,574,4
"E01004200",592,585,7
"E01004201",627,619,8
"E01004202",722,713,9
"E01004203",703,689,14
"E01004204",634,631,3
"E01004205",706,688,18
"E01004206",581,554,27
"E01004207",528,515,13
"E01004208",809,788,21
"E01004209",476,466,10
"E01004211",737,720,17
"E01004212",776,720,56
"E01004214",680,665,15
"E01004215",1472,1168,304
"E01004216",761,737,24
"E01004217",823,779,44
"E01004218",768,731,37
"E01004219",887,851,36
"E01004221",825,802,23
"E01004222",1067,1048,19
"E01004223",949,938,11
"E01004224",829,806,23
"E01004225",1194,1147,47
"E01004226",685,676,9
"E01004228",784,769,15
"E01004229",567,551,16
"E01004230",812,803,9
"E01004231",649,629,20
"E01004232",628,603,25
"E01004233",766,751,15
"E01004234",921,903,18
"E01004235",521,513,8
"E01004236",500,497,3
"E01004237",538,506,32
"E01004238",1079,1058,21
"E01004239",535,533,2
"E01004240",579,574,5
"E01004241",577,570,7
"E01004242",928,898,30
"E01004243",627,614,13
"E01004244",689,686,3
"E01004245",501,433,68
"E01004246",769,747,22
"E01004247",741,714,27
"E01004248",444,441,3
"E01004249",773,758,15
"E01004250",878,866,12
"E01004251",792,779,13
"E01004252",1130,1107,23
"E01004253",841,829,12
"E01004254",1184,1046,138
"E01004255",662,647,15
"E01004256",619,611,8
"E01004257",628,618,10
"E01004258",743,713,30
"E01004259",823,812,11
"E01004260",642,636,6
"E01004261",570,550,20
"E01004262",500,495,5
"E01004263",538,529,9
"E01004264",463,457,6
"E01004266",589,583,6
"E01004267",743,707,36
"E01004268",695,688,7
"E01004269",741,726,15
"E01004270",763,745,18
"E01004271",553,548,5
"E01004272",641,639,2
"E01004273",720,594,126
"E01004274",667,654,13
"E01004275",799,768,31
"E01004276",1087,996,91
"E01004277",1051,898,153
"E01004280",806,769,37
"E01004281",881,831,50
"E01004283",776,756,20
"E01004284",896,884,12
"E01004285",667,658,9
"E01004286",829,817,12
"E01004287",858,854,4
"E01004288",541,525,16
"E01004289",683,670,13
"E01004290",593,575,18
"E01004291",1134,1051,83
"E01004292",863,818,45
"E01004293",1284,1133,151
"E01004294",929,877,52
"E01004295",514,500,14
"E01004296",711,684,27
"E01004297",1002,909,93
"E01004298",650,635,15
"E01004300",533,522,11
"E01004301",426,413,13
"E01004302",654,637,17
"E01004303",1025,967,58
"E01004304",671,653,18
"E01004305",720,699,21
"E01004306",710,687,23
"E01004307",1163,1014,149
"E01004308",513,504,9
"E01004309",917,902,15
"E01004310",820,793,27
"E01004311",655,644,11
"E01004312",630,628,2
"E01004313",822,812,10
"E01004314",507,493,14
"E01004315",730,718,12
"E01004316",461,455,6
"E01004317",1239,1193,46
"E01004318",652,630,22
"E01004319",611,595,16
"E01004321",736,711,25
"E01004322",511,502,9
"E01004323",493,480,13
"E01004324",504,485,19
"E01004325",1105,1033,72
"E01004326",636,623,13
"E01032764",766,643,123
"E01032765",702,645,57
"E01032766",633,601,32
"E01032767",849,767,82
"E01032768",754,696,58
"E01032769",642,593,49
"E01032770",728,572,156
"E01032771",704,546,158
"E01032772",628,544,84
"E01032773",1047,852,195
"E01032774",652,583,69
"E01032775",641,600,41
"E01032776",703,631,72
"E01032777",530,514,16
"E01032778",603,564,39
"E01032779",631,565,66
"E01032780",706,647,59
"E01032781",825,771,54
"E01032782",841,776,65
"E01032783",678,661,17
"E01032784",709,692,17
"E01032785",626,616,10
"E01032786",680,674,6
"E01032787",804,793,11
