"GeographyCode","QS501EW0001","QS501EW0002","QS501EW0003","QS501EW0004","QS501EW0005","QS501EW0006","QS501EW0007","QS501EW0008"
"E01004197",1906,343,176,174,17,161,824,211
"E01004198",1242,376,128,131,11,84,389,123
"E01004199",1172,380,153,129,11,101,282,116
"E01004200",1399,149,63,106,10,226,713,132
"E01004201",1245,272,112,112,10,126,521,92
"E01004202",1427,211,99,132,12,103,728,142
"E01004203",1466,279,110,122,10,150,650,145
"E01004204",1287,451,122,107,7,119,368,113
"E01004205",1580,418,204,178,8,160,406,206
"E01004206",1184,341,134,119,17,121,310,142
"E01004207",1151,279,122,115,11,132,386,106
"E01004208",1746,198,113,126,13,242,890,164
"E01004209",985,294,123,123,6,92,236,111
"E01004211",1341,159,97,102,10,123,738,112
"E01004212",1483,260,163,123,14,153,568,202
"E01004214",1208,391,164,144,20,127,250,112
"E01004215",2206,403,185,163,16,167,1043,229
"E01004216",1363,205,95,96,9,119,704,135
"E01004217",1429,325,124,123,27,142,543,145
"E01004218",1461,185,94,140,14,130,749,149
"E01004219",1755,352,198,154,15,144,683,209
"E01004221",1561,205,136,118,17,146,794,145
"E01004222",1932,664,200,196,18,195,500,159
"E01004223",1675,486,198,190,22,158,506,115
"E01004224",1633,410,158,149,18,157,597,144
"E01004225",1966,116,96,119,6,191,1328,110
"E01004226",1320,314,127,143,13,172,411,140
"E01004228",1564,307,115,118,16,152,755,101
"E01004229",1191,241,122,128,12,114,472,102
"E01004230",1703,406,135,159,17,158,682,146
"E01004231",1314,333,157,138,12,127,410,137
"E01004232",1447,156,68,95,9,201,835,83
"E01004233",1387,435,164,128,19,113,401,127
"E01004234",1841,247,116,119,24,216,995,124
"E01004235",978,270,115,112,13,103,254,111
"E01004236",1202,340,158,144,19,131,262,148
"E01004237",899,165,94,99,15,102,331,93
"E01004238",2068,413,218,212,25,229,738,233
"E01004239",1210,379,160,135,13,144,245,134
"E01004240",1269,383,175,131,8,148,299,125
"E01004241",1175,364,159,134,9,130,266,113
"E01004242",1808,391,202,209,18,219,569,200
"E01004243",1272,426,175,134,11,119,286,121
"E01004244",1392,452,169,188,22,120,301,140
"E01004245",1009,308,179,141,8,103,173,97
"E01004246",1540,338,178,151,19,160,550,144
"E01004247",1457,430,202,148,22,120,338,197
"E01004248",896,342,154,88,10,72,167,63
"E01004249",1479,451,237,150,20,137,331,153
"E01004250",1688,546,242,192,29,156,366,157
"E01004251",1582,447,173,166,27,135,439,195
"E01004252",2089,432,227,202,17,198,754,259
"E01004253",1713,463,243,197,37,163,393,217
"E01004254",1892,98,75,89,10,128,1322,170
"E01004255",1250,302,141,117,14,103,424,149
"E01004256",1299,399,178,136,16,105,318,147
"E01004257",1316,403,165,138,16,128,310,156
"E01004258",1284,181,109,85,12,101,683,113
"E01004259",1471,218,111,105,12,127,741,157
"E01004260",1362,350,146,122,7,107,475,155
"E01004261",2187,267,163,200,8,835,397,317
"E01004262",1506,246,136,123,7,399,404,191
"E01004263",1098,363,153,107,19,115,241,100
"E01004264",1124,311,136,103,7,125,287,155
"E01004266",1257,294,120,100,15,116,510,102
"E01004267",1455,234,115,149,17,166,676,98
"E01004268",1344,346,183,123,14,155,342,181
"E01004269",1570,377,155,117,14,182,550,175
"E01004270",1892,277,127,149,10,299,838,192
"E01004271",1098,288,167,123,12,122,268,118
"E01004272",1443,440,217,164,18,142,264,198
"E01004273",1361,406,185,166,17,124,302,161
"E01004274",1526,335,186,121,18,145,570,151
"E01004275",1521,264,131,129,22,146,679,150
"E01004276",1851,66,50,100,15,135,1288,197
"E01004277",1480,47,41,52,6,83,1112,139
"E01004280",1473,263,150,109,15,120,670,146
"E01004281",1531,87,96,91,10,122,982,143
"E01004283",1837,521,188,222,17,233,482,174
"E01004284",1766,381,176,165,22,162,719,141
"E01004285",1605,498,225,166,12,199,313,192
"E01004286",1751,487,221,205,21,165,522,130
"E01004287",1662,467,174,164,16,154,486,201
"E01004288",1153,358,162,152,11,87,254,129
"E01004289",1477,382,144,151,15,222,441,122
"E01004290",1136,239,85,73,13,158,485,83
"E01004291",1668,157,92,99,5,111,1076,128
"E01004292",1567,80,58,111,7,106,1094,111
"E01004293",1925,172,116,95,10,145,1272,115
"E01004294",1566,199,119,113,9,138,841,147
"E01004295",1070,313,144,103,18,98,273,121
"E01004296",1293,272,123,96,11,111,550,130
"E01004297",1626,129,63,98,14,121,1090,111
"E01004298",1290,343,157,133,11,135,394,117
"E01004300",1029,300,125,131,10,100,258,105
"E01004301",975,239,107,101,3,97,320,108
"E01004302",1406,367,179,158,12,132,390,168
"E01004303",1844,330,184,182,12,218,715,203
