"GeographyCode","QS501EW0001","QS501EW0002","QS501EW0003","QS501EW0004","QS501EW0005","QS501EW0006","QS501EW0007","QS501EW0008"
"E02000864",6560,1874,683,678,71,682,2014,558
"E02000865",5565,1371,569,546,49,472,2016,542
"E02000866",7942,1551,598,619,85,840,3668,581
"E02000867",8145,1306,627,703,70,842,3997,600
"E02000868",5579,1090,394,467,39,598,2459,532
"E02000869",4732,1035,390,392,42,411,2043,419
"E02000870",5188,1225,530,434,53,465,1967,514
"E02000871",6357,1567,745,702,85,709,1830,719
"E02000872",6184,1209,498,510,41,539,2746,641
"E02000873",7132,1179,638,592,43,1546,2248,886
"E02000874",5523,1318,642,571,40,601,1692,659
"E02000875",7051,1718,834,746,66,818,2152,717
"E02000876",5851,1116,548,525,48,646,2344,624
"E02000877",7364,1788,851,719,71,869,2222,844
"E02000878",8876,1530,725,654,55,978,3937,997
"E02000879",6112,1609,591,610,61,767,1894,580
"E02000880",4607,1064,448,394,37,548,1571,545
"E02000881",4924,1439,748,530,57,472,1221,457
"E02000882",6275,1724,784,688,66,613,1808,592
"E02000883",5809,1854,788,662,84,515,1291,615
"E02000884",7822,1064,533,543,46,790,4021,825
"E02000885",5266,1434,634,574,48,541,1459,576
"E02000886",6008,1028,498,457,63,467,2868,627
"E02000887",6417,1697,813,673,86,594,1775,779
"E02000888",6461,1064,567,572,34,613,2959,652
"E02000889",5496,864,444,423,45,453,2758,509
"E02000890",5219,458,271,292,29,377,3438,354
"E02000891",10535,1223,741,700,83,841,5885,1062
"E02000893",5461,1106,477,503,70,518,2246,541
"E02000894",8643,966,585,574,86,724,4883,825
"E02006853",5790,846,442,418,41,457,3011,575
"E02006854",5059,402,292,263,27,337,3252,486
