"GeographyCode","QS502EW0001","QS502EW0002","QS502EW0003","QS502EW0004","QS502EW0005","QS502EW0006","QS502EW0007","QS502EW0008","QS502EW0009","QS502EW0010","QS502EW0011","QS502EW0012","QS502EW0013","QS502EW0014"
"E02000864",6560,1874,1766,459,1937,701,127,1498,484,1723,179,581,696,905
"E02000865",5565,1371,1502,331,1755,525,98,1326,360,1751,153,559,580,934
"E02000866",7942,1551,2317,427,3492,659,145,2965,481,3324,189,1206,969,1138
"E02000867",8145,1306,2454,515,3537,754,135,2968,560,3552,269,1246,980,1402
"E02000868",5579,1090,1560,321,2164,429,91,1774,397,2227,152,609,511,1124
"E02000869",4732,1035,1281,266,1702,367,76,1347,283,1831,161,535,474,873
"E02000870",5188,1225,1386,346,1708,440,94,1392,321,1750,120,546,523,905
"E02000871",6357,1567,1641,475,1610,694,115,1123,473,1544,176,462,585,1184
"E02000872",6184,1209,1586,378,2190,488,91,1823,328,2519,134,651,569,1311
"E02000873",7132,1179,2040,406,2639,487,86,2403,378,1991,142,632,602,1598
"E02000874",5523,1318,1487,360,1531,484,76,1176,318,1493,102,399,479,1083
"E02000875",7051,1718,2004,508,2087,744,100,1603,495,1873,153,575,664,1173
"E02000876",5851,1116,1631,356,2085,462,93,1693,329,2135,131,568,516,1213
"E02000877",7364,1788,1909,565,2017,703,117,1570,462,1925,184,554,670,1390
"E02000878",8876,1530,2378,493,3137,591,114,2693,467,3609,205,1002,853,2097
"E02000879",6112,1609,1591,370,1857,512,102,1477,335,1645,147,532,543,1012
"E02000880",4607,1064,1214,286,1409,409,66,1199,264,1394,109,368,421,934
"E02000881",4924,1439,1393,388,1053,520,91,697,350,974,112,415,458,801
"E02000882",6275,1724,1692,447,1782,593,91,1222,413,1526,174,604,579,939
"E02000883",5809,1854,1438,407,1157,626,130,716,387,1065,135,369,489,979
"E02000884",7822,1064,2031,379,3129,518,103,2776,379,3705,173,1153,804,1986
"E02000885",5266,1434,1375,365,1423,465,88,1007,319,1238,103,449,490,933
"E02000886",6008,1028,1373,327,2098,436,108,1755,314,2548,162,1007,715,1373
"E02000887",6417,1697,1607,466,1425,635,137,1011,403,1500,114,566,578,1283
"E02000888",6461,1064,1646,347,2284,491,80,1945,349,2639,167,958,673,1470
"E02000889",5496,864,1424,252,2106,373,106,1761,290,2488,131,950,628,1254
"E02000890",5219,458,1369,137,2482,245,87,2209,242,3062,176,1369,722,1306
"E02000891",10535,1223,2447,528,3381,769,160,2938,562,5308,272,1823,1178,3016
"E02000893",5461,1106,1300,300,1645,498,114,1252,338,1902,145,780,684,1240
"E02000894",8643,966,2067,359,3100,589,172,2679,433,4379,231,1560,1026,2473
"E02006853",5790,846,1302,314,1727,413,82,1548,318,2661,159,980,618,1692
"E02006854",5059,402,1097,198,1766,231,63,1652,205,3010,125,1041,577,1758
