"GeographyCode","QS601EW0001","QS601EW0002","QS601EW0003","QS601EW0004","QS601EW0005","QS601EW0006","QS601EW0007","QS601EW0008","QS601EW0009","QS601EW0010","QS601EW0011","QS601EW0012","QS601EW0013","QS601EW0014","QS601EW0015","QS601EW0016"
"E01004197",1853,1350,203,709,9,15,59,114,137,104,503,61,143,102,95,102
"E01004198",1159,757,130,379,9,10,26,48,103,52,402,92,82,86,83,59
"E01004199",1107,656,144,292,10,9,26,37,90,48,451,83,103,116,67,82
"E01004200",1380,1030,92,541,4,15,27,126,54,171,350,25,210,43,41,31
"E01004201",1184,842,133,456,3,19,46,58,86,41,342,62,101,70,71,38
"E01004202",1406,1099,119,607,5,31,43,138,78,78,307,53,85,80,47,42
"E01004203",1424,1067,138,640,7,14,31,90,70,77,357,80,106,74,56,41
"E01004204",1145,706,100,347,14,3,25,61,97,59,439,88,107,98,87,59
"E01004205",1541,930,212,344,8,8,33,47,149,129,611,78,160,181,112,80
"E01004206",1131,644,132,290,5,8,19,16,83,91,487,83,133,97,106,68
"E01004207",1100,671,122,309,4,12,18,41,62,103,429,57,187,76,72,37
"E01004208",1721,1220,129,719,3,18,42,94,94,121,501,39,284,64,63,51
"E01004209",951,585,122,268,4,4,18,29,88,52,366,48,84,111,50,73
"E01004211",1307,999,111,580,5,24,30,105,82,62,308,37,111,48,55,57
"E01004212",1451,830,120,421,4,5,31,76,70,103,621,51,366,84,73,47
"E01004214",1163,719,152,303,1,13,35,39,105,71,444,83,84,116,108,53
"E01004215",2125,1534,169,970,5,28,36,111,137,78,591,100,202,137,73,79
"E01004216",1309,1020,95,688,3,18,26,79,58,53,289,58,114,62,26,29
"E01004217",1347,980,131,618,1,16,37,54,75,48,367,96,77,79,73,42
"E01004218",1424,1075,103,684,4,30,31,100,71,52,349,83,119,71,38,38
"E01004219",1722,1182,191,671,15,10,30,47,149,69,540,75,162,161,59,83
"E01004221",1537,1204,118,788,8,22,33,94,90,51,333,58,114,70,53,38
"E01004222",1797,1121,194,556,9,17,30,76,152,87,676,173,153,147,133,70
"E01004223",1537,1058,165,567,7,23,38,89,109,60,479,127,89,100,100,63
"E01004224",1545,1104,126,636,7,16,32,67,124,96,441,104,117,92,77,51
"E01004225",1936,1696,116,1238,2,27,46,145,59,63,240,44,97,48,20,31
"E01004226",1264,891,177,453,5,16,20,40,97,83,373,64,104,92,64,49
"E01004228",1493,1120,123,677,5,25,47,111,84,48,373,120,98,54,71,30
"E01004229",1151,800,131,420,3,12,24,41,79,90,351,64,118,88,43,38
"E01004230",1600,1109,139,648,7,26,44,64,111,70,491,97,150,96,90,58
"E01004231",1249,799,167,356,5,16,22,48,92,93,450,67,137,115,69,62
"E01004232",1419,1053,99,657,4,27,29,89,63,85,366,61,179,49,35,42
"E01004233",1299,843,139,414,15,16,35,62,102,60,456,117,102,111,76,50
"E01004234",1780,1373,165,822,13,30,51,144,65,83,407,97,158,67,50,35
"E01004235",935,600,152,242,4,7,16,22,85,72,335,55,76,101,50,53
"E01004236",1147,680,144,248,4,13,20,43,111,97,467,54,131,146,72,64
"E01004237",856,603,97,328,6,4,14,38,68,48,253,43,79,65,28,38
"E01004238",2007,1388,213,741,6,22,29,65,161,151,619,66,191,178,87,97
"E01004239",1152,732,154,316,7,17,22,33,109,74,420,89,103,113,68,47
"E01004240",1226,755,156,344,14,10,19,38,97,77,471,70,131,123,85,62
"E01004241",1124,676,160,260,14,10,23,18,116,75,448,70,135,117,78,48
"E01004242",1770,1122,207,576,7,11,33,47,146,95,648,60,220,181,101,86
"E01004243",1212,737,161,290,5,15,30,45,101,90,475,65,96,138,96,80
"E01004244",1264,749,167,323,8,10,16,39,137,49,515,104,121,117,104,69
"E01004245",988,549,117,208,16,6,22,21,100,59,439,37,119,139,68,76
"E01004246",1476,1062,150,558,6,27,41,94,111,75,414,67,130,96,63,58
"E01004247",1383,871,165,383,6,12,25,45,142,93,512,70,133,147,82,80
"E01004248",839,495,104,193,5,7,16,25,92,53,344,48,75,109,69,43
"E01004249",1429,903,194,371,7,18,42,58,148,65,526,76,117,146,98,89
"E01004250",1588,1003,203,473,2,18,34,35,155,83,585,93,109,171,136,76
"E01004251",1471,953,184,450,14,15,35,47,123,85,518,87,115,145,88,83
"E01004252",2025,1449,215,838,4,21,54,72,166,79,576,73,157,166,88,92
"E01004253",1623,1024,222,449,4,19,47,63,136,84,599,97,142,162,103,95
"E01004254",1883,1642,96,1231,7,44,31,111,80,42,241,30,90,60,20,41
"E01004255",1224,812,141,428,12,7,23,45,103,53,412,40,93,116,92,71
"E01004256",1224,766,163,363,3,7,24,36,88,82,458,78,96,136,91,57
"E01004257",1258,822,183,335,7,13,17,46,138,83,436,59,123,136,61,57
"E01004258",1231,942,77,626,2,31,34,88,50,34,289,77,70,68,37,37
"E01004259",1424,1096,140,654,6,12,40,109,74,61,328,55,100,63,60,50
"E01004260",1282,860,167,434,5,10,30,44,97,73,422,67,111,109,69,66
"E01004261",2142,813,120,164,7,7,24,18,70,403,1329,57,1077,88,52,55
"E01004262",1451,732,114,262,3,4,13,34,75,227,719,68,500,63,43,45
"E01004263",1004,631,122,310,8,6,20,37,73,55,373,66,108,89,62,48
"E01004264",1069,627,139,225,9,9,19,15,100,111,442,68,138,136,49,51
"E01004266",1193,873,134,486,6,13,23,65,88,58,320,71,91,66,60,32
"E01004267",1431,1035,135,615,6,14,24,53,101,87,396,43,150,79,65,59
"E01004268",1290,809,142,387,6,10,17,44,135,68,481,46,110,140,102,83
"E01004269",1472,946,172,455,9,15,28,39,118,110,526,70,212,118,59,67
"E01004270",1856,1290,163,698,8,15,35,97,111,163,566,58,309,78,40,81
"E01004271",1056,669,150,269,7,10,26,43,109,55,387,59,109,124,45,50
"E01004272",1402,841,204,324,8,12,26,15,148,104,561,82,135,170,93,81
"E01004273",1319,773,177,304,6,8,24,31,128,95,546,75,136,137,101,97
"E01004274",1497,997,135,565,9,21,18,44,123,82,500,71,146,143,69,71
"E01004275",1474,1137,140,737,4,16,29,79,74,58,337,78,107,78,44,30
"E01004276",1841,1612,83,1211,2,34,45,123,52,62,229,53,94,38,10,34
"E01004277",1474,1222,58,950,2,44,27,85,29,27,252,55,77,69,20,31
"E01004280",1435,1049,141,657,9,19,15,68,99,41,386,72,107,111,46,50
"E01004281",1524,1268,76,905,6,22,32,79,88,60,256,28,110,68,23,27
"E01004283",1695,1026,209,440,8,15,36,57,119,142,669,87,242,136,114,90
"E01004284",1699,1186,188,695,4,15,26,52,130,76,513,76,136,135,93,73
"E01004285",1545,883,214,310,13,8,44,35,149,110,662,82,190,197,87,106
"E01004286",1670,1053,184,514,10,13,33,59,161,79,617,106,143,186,106,76
"E01004287",1544,947,194,460,6,15,36,46,97,93,597,132,154,138,105,68
"E01004288",1071,658,137,302,4,6,22,29,106,52,413,64,100,123,61,65
"E01004289",1386,844,148,387,8,12,29,61,89,110,542,103,223,91,68,57
"E01004290",1034,718,108,386,2,5,31,58,49,79,316,65,131,39,45,36
"E01004291",1601,1343,70,996,3,51,42,104,55,22,258,79,62,52,32,33
"E01004292",1546,1323,88,1008,4,28,36,82,32,45,223,53,81,37,24,28
"E01004293",1864,1539,95,1144,6,36,32,126,66,34,325,109,87,55,34,40
"E01004294",1525,1188,106,814,9,27,32,63,84,53,337,61,86,56,76,58
"E01004295",1030,628,159,259,9,7,14,29,86,65,402,57,80,139,59,67
"E01004296",1251,893,126,530,6,14,27,50,77,63,358,71,79,82,63,63
"E01004297",1577,1325,103,954,6,42,40,96,41,43,252,75,67,50,24,36
"E01004298",1245,781,145,388,7,16,19,33,108,65,464,81,119,102,78,84
"E01004300",966,584,140,258,6,12,25,30,70,43,382,82,93,80,79,48
"E01004301",932,582,93,291,8,7,25,33,67,58,350,35,108,104,45,58
"E01004302",1364,867,181,396,17,12,25,29,108,99,497,42,146,178,60,71
"E01004303",1779,1235,175,672,12,23,38,80,122,113,544,95,178,128,83,60
"E01004304",1418,812,147,378,15,16,25,40,117,74,606,91,162,166,99,88
"E01004305",1379,840,176,389,10,26,30,30,106,73,539,97,159,139,75,69
"E01004306",1486,1071,105,629,9,40,47,99,84,58,415,63,135,98,45,74
"E01004307",2031,1465,96,972,3,26,54,130,82,102,566,34,421,43,32,36
"E01004308",1161,770,132,394,1,13,22,54,65,89,391,78,110,92,59,52
"E01004309",2320,1469,250,629,8,19,33,74,251,205,851,106,315,146,145,139
"E01004310",1647,1124,167,582,11,22,30,66,158,88,523,97,142,102,92,90
"E01004311",1138,747,104,384,10,18,30,60,86,55,391,80,88,89,81,53
"E01004312",1199,796,131,392,7,12,34,46,98,76,403,78,82,112,68,63
"E01004313",1504,1049,138,622,8,19,34,62,89,77,455,57,139,120,80,59
"E01004314",883,704,66,369,2,41,52,114,31,29,179,59,42,35,22,21
"E01004315",1367,980,124,539,4,15,59,104,82,53,387,97,103,51,87,49
"E01004316",919,656,80,331,10,18,31,61,73,52,263,40,83,61,46,33
"E01004317",2338,1868,175,1165,11,39,71,179,143,85,470,59,176,97,74,64
"E01004318",1096,789,144,360,4,16,31,50,104,80,307,42,62,74,72,57
"E01004319",1411,875,165,391,10,8,27,39,116,119,536,94,139,141,72,90
"E01004321",1445,909,139,454,7,23,31,48,99,108,536,79,168,125,85,79
"E01004322",997,574,90,312,3,5,13,37,58,56,423,40,216,68,40,59
"E01004323",1143,765,118,399,2,17,26,51,66,86,378,54,100,94,59,71
"E01004324",1137,721,156,317,10,13,25,20,95,85,416,66,110,124,60,56
"E01004325",2149,1690,120,1208,7,22,20,105,101,107,459,39,217,89,44,70
"E01004326",1124,769,109,402,8,14,29,60,59,88,355,49,115,79,60,52
"E01032764",1112,897,91,605,1,13,27,65,56,39,215,49,64,45,35,22
