"GeographyCode","QS602EW0001","QS602EW0002","QS602EW0003","QS602EW0004","QS602EW0005","QS602EW0006","QS602EW0007","QS602EW0008","QS602EW0009","QS602EW0010","QS602EW0011","QS602EW0012","QS602EW0013","QS602EW0014","QS602EW0015","QS602EW0016"
"E02000864",3468,2271,348,1328,19,41,67,185,208,75,1197,613,57,148,268,111
"E02000865",2763,1945,315,1085,20,41,76,164,189,55,818,361,60,94,199,104
"E02000866",3829,2823,313,1770,24,91,90,298,140,97,1006,553,71,85,203,94
"E02000867",4307,3389,345,2332,16,64,79,266,170,117,918,372,109,145,191,101
"E02000868",2618,1989,209,1186,26,43,54,277,119,75,629,280,53,71,148,77
"E02000869",2485,1753,226,974,11,66,70,217,136,53,732,353,38,61,191,89
"E02000870",2560,1816,291,1055,16,27,56,165,138,68,744,357,44,87,171,85
"E02000871",3107,2205,427,1175,19,48,58,142,231,105,902,338,59,165,209,131
"E02000872",3088,2338,256,1441,20,60,92,238,173,58,750,294,87,108,179,82
"E02000873",2792,1948,322,1031,24,37,66,119,160,189,844,347,150,99,142,106
"E02000874",2494,1669,330,856,14,28,68,139,160,74,825,255,163,113,195,99
"E02000875",3437,2467,478,1293,37,44,77,145,288,105,970,329,102,154,256,129
"E02000876",2750,1979,289,1125,12,43,63,176,176,95,771,247,110,86,234,94
"E02000877",3252,2296,472,1159,27,50,83,161,245,99,956,368,112,142,215,119
"E02000878",3900,2994,335,1875,17,93,90,286,210,88,906,374,111,84,210,127
"E02000879",2855,1853,341,969,16,43,77,160,143,104,1002,494,98,91,227,92
"E02000880",2090,1452,255,780,15,34,53,129,112,74,638,279,63,70,151,75
"E02000881",2379,1611,307,798,26,45,71,131,184,49,768,285,30,142,201,110
"E02000882",2884,1992,369,1111,22,31,71,125,217,46,892,389,43,141,214,105
"E02000883",2880,1813,406,863,18,40,69,111,250,56,1067,449,63,177,253,125
"E02000884",3707,3014,263,2071,22,75,66,224,172,121,693,236,132,77,148,100
"E02000885",2509,1585,319,820,29,48,59,91,161,58,924,388,60,135,228,113
"E02000886",3185,2511,246,1691,24,75,67,207,150,51,674,276,58,80,167,93
"E02000887",3165,2235,448,1161,15,43,80,146,265,77,930,395,62,169,197,107
"E02000888",3306,2633,296,1743,34,66,76,175,157,86,673,246,74,119,153,81
"E02000889",2879,2324,255,1612,24,57,58,159,112,47,555,243,42,58,138,74
"E02000890",3093,2665,123,2029,11,109,63,250,59,21,428,268,30,28,63,39
"E02000891",5742,4753,383,3498,27,107,67,337,242,92,989,284,234,151,169,151
"E02000893",2912,2164,246,1399,5,62,67,187,143,55,748,374,61,89,162,62
"E02000894",4510,3858,239,2903,20,93,56,327,139,81,652,255,96,90,120,91
"E02006853",3320,2666,223,1911,17,40,50,194,168,63,654,209,152,101,113,79
"E02006854",2991,2614,138,1999,11,90,29,214,90,43,377,77,130,45,74,51
