"GeographyCode","QS603EW0001","QS603EW0002","QS603EW0003","QS603EW0004"
"E00021141",37,8,7,22
"E00021143",31,6,2,23
"E00021145",16,6,2,8
"E00021146",239,72,38,129
"E00021147",12,0,2,10
"E00021148",17,5,1,11
"E00021149",25,5,1,19
"E00021150",22,6,2,14
"E00021151",27,10,3,14
"E00021152",38,9,1,28
"E00021153",35,15,3,17
"E00021154",50,7,8,35
"E00021155",53,26,2,25
"E00021156",11,6,0,5
"E00021157",25,7,3,15
"E00021158",35,5,5,25
"E00021159",52,15,7,30
"E00021160",37,9,7,21
"E00021161",26,9,1,16
"E00021162",43,14,3,26
"E00021163",47,12,5,30
"E00021164",27,8,2,17
"E00021165",36,8,1,27
"E00021166",44,13,5,26
"E00021167",33,9,11,13
"E00021168",39,13,0,26
"E00021169",39,5,5,29
"E00021170",49,15,3,31
"E00021171",88,20,6,62
"E00021172",28,6,1,21
"E00021173",44,9,6,29
"E00021174",7,4,3,0
"E00021175",24,7,2,15
"E00021176",20,8,3,9
"E00021177",48,16,4,28
"E00021179",68,19,5,44
"E00021180",67,25,7,35
"E00021181",35,15,5,15
"E00021182",42,13,3,26
"E00021183",20,6,1,13
"E00021184",17,5,1,11
"E00021185",26,4,5,17
"E00021186",63,13,9,41
"E00021187",26,3,5,18
"E00021188",65,16,18,31
"E00021189",65,15,5,45
"E00021190",57,12,7,38
"E00021191",45,12,7,26
"E00021192",49,18,7,24
"E00021193",54,10,2,42
"E00021194",77,18,13,46
"E00021195",40,8,4,28
"E00021196",36,9,3,24
"E00021197",146,13,11,122
"E00021198",33,6,6,21
"E00021199",12,3,2,7
"E00021200",54,15,11,28
"E00021201",29,5,5,19
"E00021202",33,6,4,23
"E00021203",38,12,6,20
"E00021204",54,9,5,40
"E00021205",47,13,6,28
"E00021206",20,5,4,11
"E00021207",14,5,0,9
"E00021208",50,8,5,37
"E00021209",31,14,4,13
"E00021210",52,12,4,36
"E00021211",45,18,4,23
"E00021212",36,3,8,25
"E00021213",52,22,8,22
"E00021214",145,28,19,98
"E00021215",175,27,20,128
"E00021216",43,17,7,19
"E00021217",205,15,14,176
"E00021218",43,9,4,30
