"GeographyCode","QS604EW0001","QS604EW0002","QS604EW0003","QS604EW0004","QS604EW0005","QS604EW0006","QS604EW0007"
"E00021141",88,38,11,27,50,39,11
"E00021143",145,38,11,27,107,92,15
"E00021145",140,33,8,25,107,89,18
"E00021146",253,72,47,25,181,131,50
"E00021147",104,24,6,18,80,69,11
"E00021148",137,28,10,18,109,87,22
"E00021149",116,35,10,25,81,62,19
"E00021150",131,37,6,31,94,81,13
"E00021151",91,41,13,28,50,44,6
"E00021152",131,49,11,38,82,77,5
"E00021153",269,39,19,20,230,161,69
"E00021154",125,56,21,35,69,56,13
"E00021155",278,51,21,30,227,176,51
"E00021156",102,35,10,25,67,53,14
"E00021157",121,54,16,38,67,60,7
"E00021158",91,42,10,32,49,46,3
"E00021159",249,58,17,41,191,169,22
"E00021160",121,43,13,30,78,71,7
"E00021161",203,49,17,32,154,121,33
"E00021162",183,57,14,43,126,100,26
"E00021163",110,32,5,27,78,67,11
"E00021164",104,34,7,27,70,59,11
"E00021165",134,34,14,20,100,85,15
"E00021166",176,46,15,31,130,106,24
"E00021167",154,34,12,22,120,99,21
"E00021168",319,42,15,27,277,202,75
"E00021169",262,42,9,33,220,172,48
"E00021170",180,72,21,51,108,90,18
"E00021171",252,85,27,58,167,133,34
"E00021172",138,49,15,34,89,68,21
"E00021173",177,42,11,31,135,112,23
"E00021174",199,30,4,26,169,129,40
"E00021175",179,49,18,31,130,107,23
"E00021176",163,52,15,37,111,92,19
"E00021177",140,51,15,36,89,72,17
"E00021179",186,37,15,22,149,111,38
"E00021180",179,64,21,43,115,95,20
"E00021181",133,36,14,22,97,74,23
"E00021182",239,41,13,28,198,150,48
"E00021183",179,30,8,22,149,111,38
"E00021184",96,14,3,11,82,64,18
"E00021185",166,51,11,40,115,87,28
"E00021186",145,57,8,49,88,75,13
"E00021187",87,36,10,26,51,42,9
"E00021188",114,43,19,24,71,59,12
"E00021189",144,46,21,25,98,86,12
"E00021190",257,62,14,48,195,157,38
"E00021191",163,56,11,45,107,91,16
"E00021192",116,49,16,33,67,61,6
"E00021193",246,26,11,15,220,152,68
"E00021194",197,84,26,58,113,95,18
"E00021195",150,44,10,34,106,91,15
"E00021196",111,49,14,35,62,49,13
"E00021197",245,47,14,33,198,139,59
"E00021198",110,34,6,28,76,59,17
"E00021199",78,23,10,13,55,46,9
"E00021200",126,49,12,37,77,68,9
"E00021201",136,37,10,27,99,82,17
"E00021202",85,33,9,24,52,41,11
"E00021203",100,36,11,25,64,59,5
"E00021204",163,58,23,35,105,86,19
"E00021205",110,47,16,31,63,57,6
"E00021206",67,34,6,28,33,28,5
"E00021207",189,22,5,17,167,125,42
"E00021208",100,40,8,32,60,55,5
"E00021209",96,36,12,24,60,53,7
"E00021210",121,52,21,31,69,65,4
"E00021211",194,60,24,36,134,110,24
"E00021212",92,49,15,34,43,37,6
"E00021213",140,72,20,52,68,55,13
"E00021214",182,62,23,39,120,98,22
"E00021215",233,60,22,38,173,125,48
"E00021216",128,57,18,39,71,59,12
"E00021217",150,59,20,39,91,71,20
"E00021218",287,46,16,30,241,186,55
"E00021219",134,37,15,22,97,80,17
"E00021220",226,24,6,18,202,156,46
"E00021223",291,32,16,16,259,186,73
"E00021224",217,49,17,32,168,132,36
"E00021225",138,27,2,25,111,92,19
"E00021227",156,33,8,25,123,101,22
"E00021228",158,45,10,35,113,93,20
"E00021229",112,41,8,33,71,58,13
"E00021230",140,19,4,15,121,90,31
"E00021231",107,20,3,17,87,61,26
"E00021235",86,48,17,31,38,35,3
"E00021236",155,43,14,29,112,92,20
"E00021238",288,20,8,12,268,173,95
"E00021239",209,15,9,6,194,135,59
"E00021240",245,22,8,14,223,157,66
"E00021241",206,43,10,33,163,127,36
"E00021243",148,36,9,27,112,95,17
"E00021244",75,28,10,18,47,39,8
"E00021245",94,20,5,15,74,64,10
"E00021246",218,53,14,39,165,137,28
"E00021247",128,60,22,38,68,58,10
"E00021248",134,58,13,45,76,57,19
"E00021249",122,43,9,34,79,66,13
"E00021251",121,30,10,20,91,75,16
"E00021252",207,31,15,16,176,128,48
"E00021253",123,29,11,18,94,77,17
"E00021254",163,16,6,10,147,107,40
"E00021255",163,16,8,8,147,104,43
"E00021256",155,20,7,13,135,102,33
"E00021257",153,25,7,18,128,95,33
"E00021258",126,43,15,28,83,67,16
"E00021259",163,44,11,33,119,102,17
"E00021260",120,33,14,19,87,67,20
"E00021261",124,23,9,14,101,81,20
"E00021262",111,55,14,41,56,51,5
"E00021263",228,49,11,38,179,147,32
"E00021266",176,42,18,24,134,100,34
"E00021267",139,43,9,34,96,79,17
"E00021268",126,40,14,26,86,71,15
"E00021271",176,34,12,22,142,116,26
"E00021272",93,29,9,20,64,54,10
"E00021273",112,39,11,28,73,63,10
"E00021274",158,60,17,43,98,83,15
"E00021275",96,25,8,17,71,58,13
"E00021277",93,27,10,17,66,55,11
"E00021278",67,14,4,10,53,43,10
"E00021279",141,46,13,33,95,81,14
"E00021280",143,41,11,30,102,87,15
"E00021281",289,88,24,64,201,163,38
"E00021282",202,33,10,23,169,128,41
"E00021285",94,9,2,7,85,67,18
"E00021286",157,29,12,17,128,91,37
"E00021287",251,26,8,18,225,159,66
"E00021288",203,12,8,4,191,139,52
"E00021289",103,45,17,28,58,50,8
"E00021290",115,43,8,35,72,61,11
"E00021291",326,30,9,21,296,205,91
"E00021292",105,36,10,26,69,59,10
"E00021294",163,67,24,43,96,81,15
"E00021295",212,46,14,32,166,129,37
"E00021296",226,33,11,22,193,141,52
"E00021297",220,33,11,22,187,149,38
"E00021298",274,38,8,30,236,174,62
"E00021299",239,60,18,42,179,139,40
"E00021300",306,51,19,32,255,176,79
"E00021301",144,58,11,47,86,72,14
"E00021302",231,63,26,37,168,133,35
"E00021303",140,58,18,40,82,74,8
"E00021304",175,55,21,34,120,95,25
"E00021305",158,34,13,21,124,90,34
"E00021306",162,26,11,15,136,98,38
"E00021307",309,63,26,37,246,197,49
"E00021308",206,55,26,29,151,122,29
"E00021309",159,18,3,15,141,109,32
