"GeographyCode","QS605EW0001","QS605EW0002","QS605EW0003","QS605EW0004","QS605EW0005","QS605EW0006","QS605EW0007","QS605EW0008","QS605EW0009","QS605EW0010","QS605EW0011","QS605EW0012","QS605EW0013","QS605EW0014","QS605EW0015","QS605EW0016","QS605EW0017","QS605EW0018","QS605EW0019","QS605EW0020","QS605EW0021","QS605EW0022","QS605EW0023","QS605EW0024","QS605EW0025","QS605EW0026","QS605EW0027","QS605EW0028"
"E01004197",1196,1,0,25,4,8,0,1,0,3,9,1,1,30,150,41,118,110,62,13,182,43,31,127,138,118,3,2
"E01004198",641,0,0,17,1,3,0,4,3,2,4,0,3,25,100,39,60,50,28,10,67,35,30,71,60,43,1,2
"E01004199",553,1,0,26,2,7,0,2,1,4,10,0,3,10,81,28,77,38,25,8,46,28,20,62,64,35,0,1
"E01004200",925,0,0,22,3,5,0,1,1,2,10,1,0,34,107,14,87,100,54,7,188,39,25,89,69,87,1,1
"E01004201",743,0,2,15,1,2,0,1,1,1,9,1,1,36,76,28,33,84,42,10,99,36,34,89,91,64,2,0
"E01004202",1004,0,0,26,2,7,1,0,2,6,8,1,0,35,90,17,72,135,62,16,178,45,37,107,85,97,0,1
"E01004203",973,1,0,25,2,10,0,1,1,4,7,3,0,34,99,35,124,117,62,15,159,38,29,103,59,69,0,1
"E01004204",594,1,0,24,2,8,0,1,0,4,9,0,3,24,66,21,65,54,24,12,63,38,29,74,58,35,2,1
"E01004205",741,0,0,18,1,9,0,2,0,3,3,0,3,13,134,35,138,34,38,10,63,36,21,88,64,45,1,0
"E01004206",533,0,0,12,3,6,0,0,0,0,3,0,1,11,80,21,102,23,25,13,38,31,20,66,59,29,1,1
"E01004207",562,0,0,11,3,4,0,1,1,1,1,0,3,24,78,35,60,38,37,9,50,31,21,76,55,33,1,0
"E01004208",1085,0,1,22,0,8,0,2,1,4,7,1,1,17,113,20,117,115,125,12,193,52,44,92,89,69,1,1
"E01004209",478,0,0,13,3,6,0,1,1,0,2,0,0,11,78,35,76,23,24,11,39,25,27,49,42,25,0,0
"E01004211",903,0,1,18,3,4,0,0,2,2,7,0,2,20,101,23,67,115,58,13,197,40,29,73,73,72,0,1
"E01004212",717,0,1,9,1,4,0,0,0,1,3,2,1,23,91,33,89,52,50,6,109,45,28,70,60,46,2,0
"E01004214",582,0,0,14,1,4,0,0,2,1,6,1,1,32,83,36,74,44,38,13,31,32,17,77,56,31,2,0
"E01004215",1371,0,2,31,4,5,4,2,1,6,9,4,3,63,125,41,89,131,344,20,185,71,36,91,73,59,0,3
"E01004216",952,0,3,20,2,3,1,2,3,5,4,3,6,47,75,44,62,109,215,19,102,57,35,70,37,46,0,2
"E01004217",893,1,2,24,2,2,0,1,2,2,15,4,7,52,92,38,75,66,127,22,95,38,44,79,69,51,0,7
"E01004218",989,0,2,27,3,1,1,4,5,5,8,1,1,43,71,31,84,91,180,24,126,49,39,80,83,53,2,2
"E01004219",1009,1,0,16,4,2,0,1,1,2,6,3,4,29,108,48,122,79,163,16,135,42,41,82,69,50,0,1
"E01004221",1108,1,1,20,1,3,0,2,0,4,10,2,0,31,83,46,83,111,266,17,137,54,45,85,64,57,0,5
"E01004222",931,0,1,28,2,12,1,1,1,4,7,2,2,43,121,44,92,61,60,12,120,46,29,109,92,67,1,1
"E01004223",936,0,0,22,1,8,1,2,1,3,6,1,4,44,120,57,95,48,48,32,84,41,37,117,133,53,0,0
"E01004224",950,0,1,23,3,5,0,1,1,3,10,0,7,47,108,40,98,73,72,9,138,38,35,95,109,55,2,0
"E01004225",1622,1,1,32,3,10,0,2,5,6,6,1,2,44,130,30,76,178,220,33,316,72,69,156,154,100,1,6
"E01004226",775,0,0,15,2,3,1,0,3,0,6,2,4,30,101,40,97,44,49,11,77,42,34,73,102,53,0,1
"E01004228",1024,0,0,16,1,2,0,1,0,0,12,3,1,42,90,30,60,94,78,15,169,42,55,132,115,82,0,0
"E01004229",697,0,1,19,5,5,0,0,1,3,5,0,2,23,96,29,81,56,44,14,71,42,44,81,48,46,0,0
"E01004230",979,0,0,24,2,9,0,3,2,2,6,2,3,30,137,36,69,87,66,20,132,45,42,127,93,63,1,2
"E01004231",685,0,0,24,2,3,0,0,1,2,16,2,2,18,105,35,144,43,26,14,57,28,21,78,64,24,0,0
"E01004232",979,0,0,22,2,6,0,4,1,2,7,2,1,25,97,20,73,100,88,20,178,35,36,102,109,68,1,2
"E01004233",719,0,0,14,3,5,0,0,1,1,4,0,3,34,86,40,78,54,41,27,74,37,32,76,83,38,2,0
"E01004234",1281,1,0,32,3,7,1,6,2,2,11,1,4,40,136,42,52,146,89,15,202,34,60,194,128,102,2,1
