"GeographyCode","QS605EW0001","QS605EW0002","QS605EW0003","QS605EW0004","QS605EW0005","QS605EW0006","QS605EW0007","QS605EW0008","QS605EW0009","QS605EW0010","QS605EW0011","QS605EW0012","QS605EW0013","QS605EW0014","QS605EW0015","QS605EW0016","QS605EW0017","QS605EW0018","QS605EW0019","QS605EW0020","QS605EW0021","QS605EW0022","QS605EW0023","QS605EW0024","QS605EW0025","QS605EW0026","QS605EW0027","QS605EW0028"
"E02000864",3592,0,2,88,8,28,3,4,6,10,29,5,17,164,450,181,382,226,229,64,419,167,135,394,436,228,3,2
"E02000865",3133,2,2,83,8,20,0,8,5,10,32,2,8,101,407,136,288,282,157,41,394,142,115,349,353,260,6,5
"E02000866",4982,1,0,108,11,29,1,14,6,7,40,8,12,171,546,168,332,481,362,97,755,193,225,631,528,353,6,5
"E02000867",5514,1,5,140,14,33,0,6,13,17,57,9,16,158,595,162,490,513,562,120,827,268,234,567,511,321,5,10
"E02000868",3496,2,0,97,9,30,1,3,4,16,34,5,3,127,362,87,348,406,202,50,588,160,120,373,271,288,3,4
"E02000869",2874,0,3,72,6,20,0,5,2,7,32,8,5,90,343,92,243,280,218,39,516,116,108,263,225,246,4,3
"E02000870",3072,0,2,70,13,21,6,5,4,6,15,7,12,104,340,108,333,283,190,57,412,142,136,341,294,228,3,10
"E02000871",3328,0,1,88,8,28,1,2,4,13,32,3,16,115,518,177,461,198,224,67,249,202,151,330,331,192,2,3
"E02000872",3880,0,6,113,19,36,0,9,8,7,34,2,4,71,481,116,310,378,409,46,767,173,118,318,268,295,2,3
"E02000873",3261,1,5,75,8,23,1,5,6,9,23,3,8,82,452,129,488,242,178,56,325,184,122,409,299,196,5,2
"E02000874",2716,2,1,55,10,20,0,4,2,10,9,2,6,83,416,155,355,181,160,49,271,157,115,291,246,166,5,0
"E02000875",3673,3,1,99,13,28,1,2,8,11,36,6,13,129,457,190,486,221,266,68,335,244,150,390,372,236,2,5
"E02000876",3262,0,2,70,7,27,0,4,3,9,20,1,7,61,428,99,424,287,246,48,491,159,114,319,285,215,3,3
"E02000877",3758,0,3,85,18,27,2,3,4,6,25,3,7,105,504,173,593,249,211,72,350,216,157,417,373,232,5,3
"E02000878",5098,3,1,116,12,46,0,11,6,11,30,10,9,81,597,135,515,438,823,68,895,226,166,346,312,348,2,7
"E02000879",3059,0,1,65,9,18,0,2,3,9,24,5,1,85,390,140,418,199,225,63,308,174,132,359,292,194,4,4
"E02000880",2481,1,1,58,7,19,1,6,3,8,14,9,7,64,323,99,329,199,194,39,275,135,99,234,265,145,1,4
"E02000881",2458,1,1,82,14,20,2,6,6,7,27,7,15,127,281,143,349,106,177,60,187,172,87,281,219,157,3,3
"E02000882",3121,2,4,75,5,27,0,6,4,7,26,5,3,111,353,164,335,181,234,63,265,169,142,440,404,165,2,4
"E02000883",2724,1,0,62,8,16,0,6,8,7,17,0,20,158,358,159,422,127,216,44,180,180,106,309,226,148,1,7
"E02000884",5087,2,11,83,14,19,0,12,4,10,24,6,2,79,491,140,413,412,1120,66,914,235,150,350,406,196,3,8
"E02000885",2540,1,4,70,7,29,1,2,4,6,21,2,6,86,355,119,370,134,220,33,263,139,88,278,226,141,2,3
"E02000886",3938,1,2,61,9,11,0,5,7,9,20,9,7,126,344,138,324,309,965,60,543,172,125,274,260,185,10,23
"E02000887",3440,0,1,86,12,21,1,5,9,10,28,5,9,201,403,184,546,163,324,62,282,226,144,368,276,141,7,12
"E02000888",4061,1,5,85,9,30,1,9,5,14,17,7,3,86,383,136,344,346,919,75,553,186,169,279,282,180,2,20
"E02000889",3696,0,3,95,9,25,1,7,11,17,25,8,7,91,290,131,238,302,904,51,600,158,163,268,219,151,6,11
"E02000890",4029,2,8,78,13,9,0,5,3,19,29,11,2,96,229,87,141,359,1156,63,835,162,140,245,225,180,1,9
"E02000891",7346,2,9,125,14,18,5,10,8,29,41,15,13,200,536,193,463,710,2141,109,1055,314,260,439,432,303,2,25
"E02000893",3416,1,7,85,8,10,2,7,12,13,33,9,15,174,321,149,295,310,560,78,354,176,135,306,245,181,4,11
"E02000894",6269,2,4,117,12,11,1,19,9,31,34,9,5,218,488,199,433,644,1574,95,929,255,217,424,351,253,5,47
"E02006853",3831,1,4,72,9,12,1,6,7,14,23,3,6,102,293,117,224,307,1173,75,565,167,117,220,213,150,5,17
"E02006854",3738,2,13,53,3,8,0,14,2,10,16,19,3,85,203,62,134,311,1557,66,583,113,89,149,164,112,1,19
