"GeographyCode","QS605EW0001","QS605EW0002","QS605EW0003","QS605EW0004","QS605EW0005","QS605EW0006","QS605EW0007","QS605EW0008","QS605EW0009","QS605EW0010","QS605EW0011","QS605EW0012","QS605EW0013","QS605EW0014","QS605EW0015","QS605EW0016","QS605EW0017","QS605EW0018","QS605EW0019","QS605EW0020","QS605EW0021","QS605EW0022","QS605EW0023","QS605EW0024","QS605EW0025","QS605EW0026","QS605EW0027","QS605EW0028"
"E00021141",88,0,0,2,0,1,0,0,1,0,0,0,1,6,9,6,7,1,3,2,7,5,6,14,14,5,0,0
"E00021143",145,0,1,4,1,1,0,0,1,0,1,0,0,4,20,5,11,16,8,3,20,9,3,11,16,14,0,0
"E00021145",140,0,0,1,0,0,0,0,0,0,1,0,0,6,16,6,11,11,2,2,15,4,7,19,26,14,0,0
"E00021146",253,0,0,7,3,0,0,1,0,1,2,0,0,9,29,1,37,26,13,1,57,8,6,27,13,17,1,1
"E00021147",104,0,1,0,0,0,0,0,0,0,0,0,1,13,9,4,5,12,5,2,10,3,5,13,13,8,0,0
"E00021148",137,0,0,4,0,1,0,0,0,0,3,0,1,8,27,11,5,15,2,0,18,6,3,15,14,8,0,0
"E00021149",116,0,0,3,0,0,0,1,0,0,2,0,2,5,14,6,18,11,6,2,11,6,4,9,12,7,0,0
"E00021150",131,0,0,7,0,0,0,3,2,1,1,0,1,6,16,8,7,10,8,2,13,8,5,16,14,10,0,0
"E00021151",91,0,0,4,1,1,0,0,0,0,2,0,0,2,16,3,13,4,2,1,8,7,5,9,9,8,0,0
"E00021152",131,0,0,3,0,1,0,0,0,0,2,0,0,5,13,6,11,12,2,4,14,6,9,18,19,8,0,1
"E00021153",269,0,0,6,0,2,0,0,0,0,4,1,0,10,25,4,25,33,17,2,50,12,5,26,24,29,0,0
"E00021154",125,0,0,3,0,1,0,0,0,1,1,0,0,5,24,7,9,4,1,1,17,9,8,15,11,11,0,0
"E00021155",278,0,0,6,0,2,0,0,1,0,3,0,0,10,29,2,16,37,23,3,64,10,6,21,21,30,0,0
"E00021156",102,0,0,2,1,0,0,0,0,1,0,0,0,1,22,7,14,6,6,3,9,8,5,12,5,2,0,0
"E00021157",121,1,0,10,0,5,0,0,0,1,4,0,1,2,13,10,14,5,4,0,11,4,4,19,12,10,0,1
"E00021158",91,0,0,2,0,0,0,1,0,0,1,0,0,0,17,5,14,5,3,0,9,3,3,12,15,3,0,0
"E00021159",249,1,0,10,1,3,0,0,0,2,4,0,2,11,32,7,22,26,10,4,34,12,12,24,25,17,0,0
"E00021160",121,0,0,3,0,1,0,0,0,0,2,1,0,2,15,6,18,10,4,0,21,6,6,14,8,7,0,0
"E00021161",203,0,0,2,0,1,0,0,0,0,1,0,0,8,21,15,25,21,9,5,28,6,3,31,18,11,0,0
"E00021162",183,0,0,2,0,1,0,1,0,0,0,0,0,4,26,7,27,18,9,3,20,8,11,14,13,18,1,2
"E00021163",110,0,0,4,1,2,0,0,0,0,1,0,1,5,12,4,14,6,10,2,10,6,7,13,9,6,1,0
"E00021164",104,0,0,7,0,2,0,1,0,2,2,0,0,3,9,4,18,10,2,2,5,14,1,19,5,4,1,0
"E00021165",134,0,0,7,1,1,0,0,1,3,1,0,0,1,21,4,18,13,10,5,7,8,4,13,16,7,0,0
"E00021166",176,0,0,3,1,1,0,0,0,1,0,0,0,7,26,6,34,18,6,5,14,11,7,20,6,13,0,0
"E00021167",154,0,0,1,0,0,0,0,0,0,1,0,0,3,11,2,23,19,15,1,28,5,4,17,8,16,0,1
"E00021168",319,1,0,16,1,7,0,1,1,3,3,2,0,14,26,6,24,49,28,4,68,10,9,21,19,22,0,0
"E00021169",262,0,0,5,0,1,0,0,1,2,1,1,0,9,26,5,14,39,16,0,40,16,13,33,25,19,0,1
"E00021170",180,0,0,7,2,2,0,0,0,1,2,0,0,4,28,4,15,12,7,2,22,5,4,35,21,13,0,1
