"GeographyCode","QS606EW0001","QS606EW0002","QS606EW0003","QS606EW0004","QS606EW0005","QS606EW0006","QS606EW0007","QS606EW0008","QS606EW0009","QS606EW0010","QS606EW0011","QS606EW0012","QS606EW0013","QS606EW0014","QS606EW0015","QS606EW0016","QS606EW0017","QS606EW0018","QS606EW0019","QS606EW0020","QS606EW0021","QS606EW0022","QS606EW0023","QS606EW0024","QS606EW0025","QS606EW0026","QS606EW0027","QS606EW0028","QS606EW0029","QS606EW0030","QS606EW0031","QS606EW0032","QS606EW0033","QS606EW0034","QS606EW0035","QS606EW0036","QS606EW0037","QS606EW0038","QS606EW0039","QS606EW0040","QS606EW0041","QS606EW0042","QS606EW0043","QS606EW0044","QS606EW0045","QS606EW0046","QS606EW0047","QS606EW0048","QS606EW0049","QS606EW0050","QS606EW0051","QS606EW0052","QS606EW0053","QS606EW0054","QS606EW0055","QS606EW0056","QS606EW0057","QS606EW0058","QS606EW0059","QS606EW0060","QS606EW0061","QS606EW0062","QS606EW0063","QS606EW0064","QS606EW0065","QS606EW0066","QS606EW0067","QS606EW0068","QS606EW0069","QS606EW0070","QS606EW0071","QS606EW0072","QS606EW0073","QS606EW0074","QS606EW0075","QS606EW0076","QS606EW0077","QS606EW0078","QS606EW0079","QS606EW0080","QS606EW0081","QS606EW0082","QS606EW0083","QS606EW0084","QS606EW0085","QS606EW0086","QS606EW0087","QS606EW0088","QS606EW0089","QS606EW0090","QS606EW0091","QS606EW0092","QS606EW0093","QS606EW0094","QS606EW0095","QS606EW0096","QS606EW0097","QS606EW0098","QS606EW0099","QS606EW0100","QS606EW0101","QS606EW0102","QS606EW0103","QS606EW0104","QS606EW0105","QS606EW0106","QS606EW0107","QS606EW0108","QS606EW0109","QS606EW0110","QS606EW0111","QS606EW0112","QS606EW0113","QS606EW0114","QS606EW0115","QS606EW0116","QS606EW0117","QS606EW0118","QS606EW0119","QS606EW0120","QS606EW0121","QS606EW0122","QS606EW0123","QS606EW0124","QS606EW0125"
"E01004197",1196,114,69,4,8,21,7,7,0,4,18,45,0,19,1,25,312,38,4,8,26,0,0,40,15,9,16,61,61,173,20,44,21,4,5,1,78,250,17,5,5,7,21,5,16,6,6,112,80,27,5,94,0,4,21,50,1,18,96,74,14,23,10,23,4,22,22,65,1,1,9,0,1,2,6,0,8,6,0,2,47,5,2,38,2,90,65,32,0,33,25,6,10,5,4,113,84,74,7,3,29,24,5,45,13,4,2,4,3,32,30,0,2,111,3,0,2,1,108,5,20,23,3,2,55
"E01004198",641,53,32,3,8,7,1,3,0,0,10,21,0,4,1,16,125,25,1,4,20,0,0,13,3,2,8,37,37,50,4,23,2,2,4,0,15,128,17,8,6,3,6,1,5,5,5,47,35,8,4,53,0,1,15,30,0,7,66,47,9,14,13,10,1,19,19,39,1,1,7,0,3,2,2,0,13,7,4,2,18,1,0,17,0,41,31,17,0,14,10,5,4,1,0,68,59,45,6,8,9,9,0,40,11,0,5,3,3,29,28,0,1,81,6,0,4,2,75,8,9,17,2,4,35
"E01004199",553,30,19,0,3,5,3,3,0,1,4,11,0,3,0,8,91,19,1,7,10,0,1,16,6,4,6,19,19,37,3,10,4,7,5,0,8,108,9,0,3,6,14,5,9,1,1,50,35,12,3,34,0,1,9,17,0,7,68,53,5,14,10,14,10,15,15,41,0,0,2,0,0,0,2,0,6,5,1,0,33,1,2,25,5,42,34,23,0,11,8,3,4,1,0,55,47,44,3,0,8,7,1,32,6,0,1,4,1,26,26,0,0,86,5,0,1,4,81,2,17,15,3,3,41
"E01004200",925,79,43,2,5,24,3,0,0,2,7,36,0,16,0,20,268,52,5,17,29,0,1,31,16,5,10,45,45,140,17,33,27,4,8,4,47,247,21,5,12,4,10,4,6,2,2,129,82,47,0,85,0,5,22,53,0,5,74,53,10,14,11,16,2,21,21,49,2,2,12,0,0,2,10,0,7,5,2,0,28,7,2,18,1,47,30,12,0,18,17,3,2,10,2,78,67,53,11,3,11,11,0,17,5,0,3,1,1,12,12,0,0,66,2,0,2,0,64,9,6,7,0,0,42
"E01004201",743,69,37,3,4,7,3,1,0,2,17,32,0,9,1,22,206,35,8,2,24,0,1,27,8,6,13,44,44,100,13,39,10,7,1,1,29,153,15,4,8,3,13,4,9,5,5,66,49,15,2,54,0,1,16,23,0,14,83,62,12,11,10,22,7,21,21,40,4,4,10,0,5,0,4,1,15,12,3,0,11,1,1,7,2,50,38,21,0,17,12,1,8,2,1,50,38,31,7,0,12,12,0,33,14,6,1,1,6,19,17,0,2,59,4,1,3,0,55,6,9,15,1,2,22
"E01004202",1004,78,45,1,8,17,5,2,0,4,8,33,0,12,2,19,312,57,6,9,37,3,2,32,16,5,11,52,52,171,28,42,28,11,5,3,54,278,16,3,4,9,18,7,11,4,4,117,82,31,4,123,1,1,42,67,0,12,79,59,12,13,11,21,2,20,20,71,3,3,18,0,2,2,14,0,8,4,4,0,42,6,1,32,3,42,28,22,0,6,14,8,3,2,1,54,41,33,5,3,13,12,1,20,7,2,2,2,1,13,12,0,1,70,4,1,2,1,66,1,17,12,3,3,30
"E01004203",973,71,47,4,6,17,4,2,1,0,13,24,0,17,0,7,264,62,4,7,47,2,2,28,17,4,7,52,52,122,13,39,18,3,4,2,43,236,10,3,3,4,12,3,9,3,3,112,77,30,5,99,0,3,33,48,0,15,92,70,15,10,14,25,6,22,22,77,3,3,17,2,5,1,9,0,10,7,3,0,47,3,1,39,4,46,25,16,0,9,21,10,6,2,3,71,58,50,8,0,13,11,2,25,3,0,1,1,1,22,19,1,2,91,2,0,2,0,89,4,6,8,2,3,66
"E01004204",594,40,24,2,1,8,1,0,0,3,9,16,0,10,0,6,118,25,4,6,14,1,0,17,6,3,8,36,36,40,3,16,6,3,1,3,8,120,8,3,4,1,8,2,6,2,2,53,37,15,1,49,0,4,11,21,0,13,56,42,7,9,6,18,2,14,14,47,1,1,12,2,2,1,7,0,7,3,3,1,27,3,1,16,7,56,37,14,1,22,19,2,11,4,2,42,34,28,5,1,8,8,0,40,10,1,5,2,2,30,28,2,0,75,4,1,0,3,71,6,19,12,0,0,34
"E01004205",741,54,29,1,3,5,2,4,1,1,12,25,0,15,0,10,114,19,2,4,12,0,1,19,9,4,6,40,40,36,5,16,3,4,0,2,6,101,6,1,0,5,7,1,6,2,2,37,28,9,0,49,0,2,25,16,0,6,76,60,9,13,17,20,1,16,16,57,0,0,6,0,1,2,3,0,6,4,2,0,45,2,1,40,2,62,51,31,0,20,11,3,7,0,1,110,91,79,9,3,19,17,2,48,10,4,3,1,2,38,35,0,3,119,8,1,1,6,111,6,14,14,3,6,68
"E01004206",533,26,16,2,0,4,0,0,0,0,10,10,0,6,0,4,84,14,3,0,10,0,1,17,4,1,12,28,28,25,4,12,3,1,0,0,5,73,6,1,2,3,10,0,10,3,3,16,10,3,3,38,0,1,14,17,0,6,59,40,3,11,8,17,1,19,19,45,0,0,4,0,1,1,2,0,6,2,3,1,35,3,0,30,2,42,31,19,0,12,11,2,3,4,2,69,58,44,9,5,11,8,3,34,10,2,1,5,2,24,22,0,2,101,4,1,1,2,97,4,10,14,1,3,65
