"GeographyCode","QS606EW0001","QS606EW0002","QS606EW0003","QS606EW0004","QS606EW0005","QS606EW0006","QS606EW0007","QS606EW0008","QS606EW0009","QS606EW0010","QS606EW0011","QS606EW0012","QS606EW0013","QS606EW0014","QS606EW0015","QS606EW0016","QS606EW0017","QS606EW0018","QS606EW0019","QS606EW0020","QS606EW0021","QS606EW0022","QS606EW0023","QS606EW0024","QS606EW0025","QS606EW0026","QS606EW0027","QS606EW0028","QS606EW0029","QS606EW0030","QS606EW0031","QS606EW0032","QS606EW0033","QS606EW0034","QS606EW0035","QS606EW0036","QS606EW0037","QS606EW0038","QS606EW0039","QS606EW0040","QS606EW0041","QS606EW0042","QS606EW0043","QS606EW0044","QS606EW0045","QS606EW0046","QS606EW0047","QS606EW0048","QS606EW0049","QS606EW0050","QS606EW0051","QS606EW0052","QS606EW0053","QS606EW0054","QS606EW0055","QS606EW0056","QS606EW0057","QS606EW0058","QS606EW0059","QS606EW0060","QS606EW0061","QS606EW0062","QS606EW0063","QS606EW0064","QS606EW0065","QS606EW0066","QS606EW0067","QS606EW0068","QS606EW0069","QS606EW0070","QS606EW0071","QS606EW0072","QS606EW0073","QS606EW0074","QS606EW0075","QS606EW0076","QS606EW0077","QS606EW0078","QS606EW0079","QS606EW0080","QS606EW0081","QS606EW0082","QS606EW0083","QS606EW0084","QS606EW0085","QS606EW0086","QS606EW0087","QS606EW0088","QS606EW0089","QS606EW0090","QS606EW0091","QS606EW0092","QS606EW0093","QS606EW0094","QS606EW0095","QS606EW0096","QS606EW0097","QS606EW0098","QS606EW0099","QS606EW0100","QS606EW0101","QS606EW0102","QS606EW0103","QS606EW0104","QS606EW0105","QS606EW0106","QS606EW0107","QS606EW0108","QS606EW0109","QS606EW0110","QS606EW0111","QS606EW0112","QS606EW0113","QS606EW0114","QS606EW0115","QS606EW0116","QS606EW0117","QS606EW0118","QS606EW0119","QS606EW0120","QS606EW0121","QS606EW0122","QS606EW0123","QS606EW0124","QS606EW0125"
"E02000864",3592,288,171,10,26,60,16,12,1,9,37,117,2,47,0,68,743,136,13,20,84,7,12,141,57,15,69,176,176,290,31,106,27,25,11,12,78,653,60,25,18,17,50,8,42,14,14,210,127,63,20,319,0,9,110,142,0,58,380,273,68,67,48,73,17,107,107,285,6,6,50,1,4,12,32,1,78,52,18,8,151,17,13,111,10,311,224,116,5,103,87,29,30,21,7,321,267,222,31,14,54,51,3,172,47,5,11,17,14,125,118,4,3,439,25,2,10,13,414,47,80,61,7,26,193
"E02000865",3133,266,157,10,23,40,14,14,0,7,49,109,0,35,3,71,734,117,14,21,80,0,2,96,32,21,43,161,161,360,40,116,37,20,15,2,130,639,58,17,22,19,54,15,39,17,17,275,199,62,14,235,0,7,61,120,1,46,313,236,40,62,43,69,22,77,77,185,6,6,28,0,9,4,14,1,42,30,8,4,109,8,5,87,9,223,168,93,0,75,55,15,26,9,5,286,228,194,23,11,58,52,6,150,44,10,9,12,13,106,101,0,5,337,18,1,10,7,319,21,55,70,9,11,153
"E02000866",4982,526,345,21,39,148,33,14,2,25,63,181,0,58,5,118,1395,234,31,43,144,6,10,227,136,43,48,324,324,610,118,201,70,31,12,13,165,1067,71,24,22,25,63,15,48,25,25,438,315,111,12,470,1,14,155,229,3,68,485,346,77,90,53,103,23,139,139,265,10,10,50,5,8,6,28,3,79,51,28,0,126,16,5,98,7,285,194,105,5,84,91,49,33,8,1,338,262,205,38,19,76,67,9,183,51,3,15,21,12,132,122,5,5,438,27,3,16,8,411,45,51,81,4,20,210
"E02000867",5514,534,351,13,37,144,48,16,2,18,73,183,2,74,4,103,1596,330,27,65,226,2,10,244,150,26,68,294,294,728,134,289,72,28,10,20,175,1184,91,27,14,50,62,11,51,30,30,358,228,114,16,643,0,26,232,291,1,93,561,410,79,109,74,113,35,151,151,279,8,8,63,0,18,11,32,2,37,25,11,1,171,10,12,136,13,345,225,129,7,89,120,39,41,26,14,403,313,240,47,26,90,74,16,162,43,5,12,10,16,119,103,6,10,450,19,0,12,7,431,32,65,57,2,21,254
"E02000868",3496,268,159,9,20,66,13,4,1,9,37,109,0,55,2,52,962,196,19,39,127,6,5,108,55,17,36,185,185,473,61,130,79,21,18,12,152,881,55,14,23,18,48,16,32,11,11,411,278,123,10,356,1,13,108,189,0,45,301,224,44,46,42,80,12,77,77,244,9,9,59,4,9,6,40,0,32,19,12,1,144,19,5,105,15,191,120,64,1,55,71,23,22,18,8,245,200,164,29,7,45,42,3,102,25,3,11,6,5,77,71,3,3,302,12,2,6,4,290,20,48,39,5,6,172
"E02000869",2874,289,167,5,22,68,28,3,3,2,36,122,0,40,2,80,712,108,6,14,76,1,11,79,35,15,29,145,145,380,68,105,50,20,7,7,123,714,27,9,11,7,24,8,16,4,4,337,229,101,7,322,1,12,105,172,0,32,222,167,34,37,35,54,7,55,55,178,5,5,35,1,7,9,16,2,39,25,12,2,99,10,4,75,10,188,111,60,0,51,77,17,41,13,6,208,177,143,21,13,31,26,5,102,25,5,3,8,9,77,68,1,8,261,7,0,5,2,254,28,38,46,3,17,122
"E02000870",3072,235,138,7,7,67,14,9,0,7,27,97,0,34,4,59,709,134,17,17,93,1,6,106,47,18,41,136,136,333,38,128,29,20,11,5,102,647,41,11,16,14,39,7,32,13,13,243,168,66,9,311,0,8,84,168,0,51,337,222,43,68,39,65,7,115,115,204,5,5,35,0,10,6,19,0,55,31,19,5,109,8,6,93,2,219,152,90,4,58,67,30,20,13,4,229,171,147,16,8,58,52,6,129,45,8,14,11,12,84,79,3,2,363,13,1,10,2,350,27,59,47,2,20,195
"E02000871",3328,226,137,3,5,44,9,5,0,5,66,89,0,44,3,42,543,133,10,18,100,3,2,90,35,8,47,126,126,194,21,102,15,18,2,4,32,495,45,8,4,33,51,7,44,16,16,129,90,31,8,254,0,13,93,105,2,41,408,313,53,98,54,90,18,95,95,300,7,7,52,2,15,14,20,1,60,35,15,10,181,13,11,153,4,282,198,103,2,93,84,28,24,26,6,401,330,271,24,35,71,60,11,174,42,9,6,13,14,132,118,3,11,499,27,0,19,8,472,34,90,86,16,29,217
"E02000872",3880,391,262,10,33,118,32,4,0,5,60,129,1,48,2,78,1051,232,18,27,168,4,15,98,50,15,33,166,166,555,108,212,57,11,6,5,156,994,51,13,18,20,51,19,32,12,12,387,261,110,16,493,2,7,205,220,0,59,339,261,37,62,57,83,22,78,78,203,5,5,32,3,8,4,16,1,33,24,7,2,133,20,3,103,7,176,103,57,1,45,73,19,35,11,8,280,218,174,30,14,62,60,2,117,31,7,6,14,4,86,73,2,11,329,14,0,5,9,315,24,42,53,10,18,168
"E02000873",3261,266,164,7,16,68,13,9,1,8,42,102,0,42,3,57,758,131,20,16,86,4,5,130,44,16,70,200,200,297,43,117,27,15,8,4,83,547,56,20,9,27,43,7,36,7,7,170,96,61,13,271,2,11,97,119,0,42,268,205,40,50,39,66,10,63,63,221,8,8,20,1,5,1,11,2,39,27,10,2,154,11,2,134,7,254,168,103,3,62,86,34,20,26,6,354,291,252,20,19,63,55,8,132,40,7,8,18,7,92,86,2,4,461,13,0,5,8,448,39,49,52,5,11,292
