"GeographyCode","QS606EW0001","QS606EW0002","QS606EW0003","QS606EW0004","QS606EW0005","QS606EW0006","QS606EW0007","QS606EW0008","QS606EW0009","QS606EW0010","QS606EW0011","QS606EW0012","QS606EW0013","QS606EW0014","QS606EW0015","QS606EW0016","QS606EW0017","QS606EW0018","QS606EW0019","QS606EW0020","QS606EW0021","QS606EW0022","QS606EW0023","QS606EW0024","QS606EW0025","QS606EW0026","QS606EW0027","QS606EW0028","QS606EW0029","QS606EW0030","QS606EW0031","QS606EW0032","QS606EW0033","QS606EW0034","QS606EW0035","QS606EW0036","QS606EW0037","QS606EW0038","QS606EW0039","QS606EW0040","QS606EW0041","QS606EW0042","QS606EW0043","QS606EW0044","QS606EW0045","QS606EW0046","QS606EW0047","QS606EW0048","QS606EW0049","QS606EW0050","QS606EW0051","QS606EW0052","QS606EW0053","QS606EW0054","QS606EW0055","QS606EW0056","QS606EW0057","QS606EW0058","QS606EW0059","QS606EW0060","QS606EW0061","QS606EW0062","QS606EW0063","QS606EW0064","QS606EW0065","QS606EW0066","QS606EW0067","QS606EW0068","QS606EW0069","QS606EW0070","QS606EW0071","QS606EW0072","QS606EW0073","QS606EW0074","QS606EW0075","QS606EW0076","QS606EW0077","QS606EW0078","QS606EW0079","QS606EW0080","QS606EW0081","QS606EW0082","QS606EW0083","QS606EW0084","QS606EW0085","QS606EW0086","QS606EW0087","QS606EW0088","QS606EW0089","QS606EW0090","QS606EW0091","QS606EW0092","QS606EW0093","QS606EW0094","QS606EW0095","QS606EW0096","QS606EW0097","QS606EW0098","QS606EW0099","QS606EW0100","QS606EW0101","QS606EW0102","QS606EW0103","QS606EW0104","QS606EW0105","QS606EW0106","QS606EW0107","QS606EW0108","QS606EW0109","QS606EW0110","QS606EW0111","QS606EW0112","QS606EW0113","QS606EW0114","QS606EW0115","QS606EW0116","QS606EW0117","QS606EW0118","QS606EW0119","QS606EW0120","QS606EW0121","QS606EW0122","QS606EW0123","QS606EW0124","QS606EW0125"
"E00021141",88,7,3,0,1,0,0,2,0,0,0,4,0,0,1,3,10,0,0,0,0,0,0,1,0,1,0,6,6,3,0,1,0,2,0,0,0,13,2,1,0,1,1,0,1,1,1,2,2,0,0,7,0,1,1,3,0,2,9,6,2,3,0,1,0,3,3,3,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,10,7,5,0,2,3,2,0,1,0,13,9,9,0,0,4,4,0,10,4,0,1,1,2,6,6,0,0,13,1,0,1,0,12,1,1,7,0,0,3
"E00021143",145,13,9,1,0,0,1,0,0,0,7,4,0,3,0,1,33,5,1,1,3,0,0,7,0,3,4,4,4,17,0,10,4,0,0,1,2,28,4,1,2,1,2,2,0,0,0,12,7,4,1,10,0,0,4,5,0,1,19,16,2,5,1,6,2,3,3,8,0,0,2,0,1,0,1,0,2,1,1,0,4,0,0,4,0,11,8,4,0,4,3,0,3,0,0,14,12,10,2,0,2,2,0,8,4,3,0,1,0,4,4,0,0,11,1,0,1,0,10,0,4,2,0,1,3
"E00021145",140,19,9,1,3,0,0,1,0,1,3,10,0,3,0,7,43,2,0,0,2,0,0,9,1,4,4,15,15,17,4,4,2,1,0,0,6,33,1,1,0,0,3,1,2,1,1,15,9,5,1,13,0,0,1,6,1,5,5,2,0,0,0,2,0,3,3,6,0,0,0,0,0,0,0,0,2,1,0,1,4,0,1,3,0,9,7,2,0,5,2,0,0,1,1,8,4,3,0,1,4,3,1,4,2,0,0,1,1,2,1,0,1,13,0,0,0,0,13,0,2,3,0,0,8
"E00021146",253,23,10,1,1,6,1,0,0,0,1,13,0,6,0,7,71,13,3,3,7,0,0,4,3,1,0,16,16,38,1,7,13,0,2,0,15,69,8,0,6,2,2,0,2,2,2,33,20,13,0,24,0,1,7,15,0,1,15,10,1,5,0,4,0,5,5,6,1,1,1,0,0,0,1,0,1,1,0,0,3,0,1,2,0,18,10,3,0,7,8,1,1,5,1,27,25,22,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,24,1,0,1,0,23,0,0,0,0,0,23
"E00021147",104,10,6,1,1,0,1,0,0,0,3,4,0,1,0,3,26,7,1,0,5,0,1,2,0,0,2,2,2,15,3,5,3,1,0,0,3,19,1,1,0,0,2,0,2,1,1,10,8,2,0,5,0,0,0,3,0,2,11,7,1,2,0,2,2,4,4,9,0,0,2,0,2,0,0,0,6,5,1,0,1,1,0,0,0,10,6,5,0,1,4,1,2,1,0,5,3,3,0,0,2,2,0,7,4,0,0,0,4,3,3,0,0,7,0,0,0,0,7,2,1,1,0,0,3
"E00021148",137,11,10,1,4,3,0,1,0,0,1,1,0,1,0,0,33,6,1,0,5,0,0,4,2,0,2,9,9,14,1,7,1,0,0,0,5,26,3,1,1,1,2,0,2,0,0,9,5,3,1,12,0,0,3,7,0,2,15,11,1,2,5,3,0,4,4,10,0,0,4,0,1,1,2,0,2,1,0,1,4,1,0,3,0,6,4,2,0,2,2,1,1,0,0,13,13,10,3,0,0,0,0,12,3,0,3,0,0,9,8,0,1,11,2,0,2,0,9,1,2,1,2,2,1
"E00021149",116,8,4,0,0,1,3,0,0,0,0,4,0,1,0,3,20,4,0,1,2,0,1,4,1,1,2,1,1,11,2,2,2,1,2,0,2,23,2,0,0,2,1,1,0,0,0,11,8,3,0,9,0,0,4,3,0,2,11,10,1,1,2,5,1,1,1,11,0,0,0,0,0,0,0,0,1,1,0,0,10,0,1,9,0,9,6,3,0,3,3,3,0,0,0,8,6,6,0,0,2,1,1,9,1,0,1,0,0,8,8,0,0,17,1,0,0,1,16,1,5,4,1,0,5
"E00021150",131,8,4,0,1,2,1,0,0,0,0,4,0,2,0,2,28,5,0,1,4,0,0,2,1,0,1,7,7,14,1,8,1,0,0,0,4,27,7,3,3,1,1,1,0,1,1,8,5,1,2,10,0,0,1,8,0,1,22,15,3,6,3,3,0,7,7,7,0,0,2,0,2,0,0,0,3,1,1,1,2,0,0,2,0,12,11,5,0,6,1,0,1,0,0,11,10,9,0,1,1,1,0,5,1,0,1,0,0,4,4,0,0,11,0,0,0,0,11,1,1,4,0,0,5
"E00021151",91,4,3,0,0,2,0,0,0,0,1,1,0,1,0,0,12,4,0,2,2,0,0,0,0,0,0,4,4,4,1,0,0,2,1,0,0,21,0,0,0,0,3,1,2,1,1,9,8,1,0,8,0,0,0,5,0,3,10,9,1,4,2,2,0,1,1,6,0,0,1,0,0,0,1,0,1,1,0,0,4,0,1,3,0,7,5,2,0,3,2,0,1,1,0,9,9,9,0,0,0,0,0,5,2,0,0,1,1,3,3,0,0,17,2,0,0,2,15,1,3,2,2,0,7
"E00021152",131,5,5,2,0,2,0,0,0,1,0,0,0,0,0,0,22,5,2,0,2,1,0,2,0,1,1,6,6,9,1,5,0,1,1,0,1,27,3,1,2,0,1,0,1,1,1,14,7,6,1,8,0,2,1,2,0,3,13,8,2,1,0,4,1,5,5,11,0,0,5,2,0,1,2,0,1,1,0,0,5,1,0,4,0,17,14,5,0,9,3,0,2,1,0,15,11,11,0,0,4,4,0,8,1,0,0,0,1,7,6,1,0,13,0,0,0,0,13,1,2,2,0,0,8
"E00021153",269,29,16,1,2,8,0,0,0,2,3,13,0,7,0,6,75,18,1,6,10,0,1,12,7,4,1,11,11,34,3,8,3,0,4,2,14,75,2,0,2,0,2,1,1,0,0,43,31,12,0,28,0,0,10,16,0,2,18,12,0,3,2,6,1,6,6,16,1,1,6,0,0,1,5,0,3,2,1,0,6,2,0,3,1,10,7,5,0,2,3,1,0,1,1,16,12,8,3,1,4,4,0,10,4,0,3,0,1,6,6,0,0,20,0,0,0,0,20,6,1,2,0,0,11
"E00021154",125,5,1,0,0,0,0,0,0,0,1,4,0,1,0,3,23,2,0,2,0,0,0,5,0,0,5,5,5,11,1,3,2,1,0,0,4,20,1,0,0,1,2,0,2,0,0,15,8,7,0,2,0,0,0,1,0,1,18,13,5,3,3,2,0,5,5,8,0,0,2,0,0,1,1,0,1,1,0,0,5,2,0,3,0,13,8,2,0,6,5,0,1,4,0,18,16,14,1,1,2,2,0,6,0,0,0,0,0,6,6,0,0,14,1,0,1,0,13,1,2,5,0,0,5
"E00021155",278,22,16,0,2,10,2,0,0,0,2,6,0,2,0,4,99,19,1,6,12,0,0,10,6,0,4,13,13,57,12,15,9,3,2,2,14,83,10,5,4,1,4,3,1,0,0,38,23,15,0,31,0,4,5,21,0,1,23,18,4,3,6,4,1,5,5,19,0,0,3,0,0,0,3,0,2,1,1,0,14,3,1,10,0,6,5,2,0,3,1,1,0,0,0,17,14,9,4,1,3,3,0,1,1,0,0,1,0,0,0,0,0,8,0,0,0,0,8,2,3,0,0,0,3
"E00021156",102,10,5,0,1,1,0,0,0,0,3,5,0,1,0,4,18,4,0,1,3,0,0,3,0,0,3,8,8,3,1,2,0,0,0,0,0,18,0,0,0,0,1,0,1,2,2,6,4,1,1,9,0,0,4,5,0,0,8,6,1,0,1,3,1,2,2,5,0,0,1,0,0,1,0,0,2,1,1,0,2,0,0,2,0,3,3,1,0,2,0,0,0,0,0,12,12,7,1,4,0,0,0,6,0,0,0,0,0,6,6,0,0,22,3,0,1,2,19,1,5,3,0,0,10
