"GeographyCode","QS607EW0001","QS607EW0002","QS607EW0003","QS607EW0004","QS607EW0005","QS607EW0006","QS607EW0007","QS607EW0008","QS607EW0009","QS607EW0010","QS607EW0011","QS607EW0012","QS607EW0013","QS607EW0014","QS607EW0015","QS607EW0016","QS607EW0017","QS607EW0018","QS607EW0019","QS607EW0020","QS607EW0021","QS607EW0022","QS607EW0023","QS607EW0024","QS607EW0025","QS607EW0026","QS607EW0027","QS607EW0028","QS607EW0029","QS607EW0030","QS607EW0031","QS607EW0032","QS607EW0033","QS607EW0034","QS607EW0035","QS607EW0036","QS607EW0037","QS607EW0038","QS607EW0039","QS607EW0040","QS607EW0041","QS607EW0042","QS607EW0043","QS607EW0044","QS607EW0045","QS607EW0046","QS607EW0047","QS607EW0048","QS607EW0049","QS607EW0050","QS607EW0051","QS607EW0052","QS607EW0053","QS607EW0054","QS607EW0055"
"E00021141",241,6,2,0,2,4,2,1,1,0,27,21,18,2,1,0,5,1,21,10,11,0,0,9,2,2,0,7,7,0,15,11,4,4,0,29,11,9,3,3,0,3,0,27,7,8,5,7,0,70,59,11,37,37,0
"E00021143",261,25,3,0,3,22,12,7,2,1,46,32,17,6,8,1,13,1,26,18,6,2,0,17,3,3,0,14,14,0,12,8,4,4,0,35,9,17,2,2,0,4,1,19,3,5,2,9,0,50,38,12,31,31,0
"E00021145",217,28,4,0,4,24,16,6,2,0,64,47,30,4,12,1,10,7,24,8,9,7,0,14,1,1,0,13,13,0,14,11,3,3,0,18,6,10,0,0,0,2,0,16,8,2,1,5,0,23,18,5,16,16,0
"E00021146",448,49,8,0,8,41,21,9,7,4,87,65,36,12,15,2,16,6,17,5,5,7,0,12,2,2,0,10,10,0,8,7,1,1,0,14,3,8,0,2,0,1,0,11,7,1,1,2,0,11,7,4,239,239,0
"E00021147",164,26,3,0,3,23,9,8,4,2,36,22,13,0,9,0,10,4,25,16,7,1,1,8,2,2,0,6,6,0,8,4,4,4,0,19,4,4,0,4,0,6,1,16,5,3,7,1,0,14,11,3,12,12,0
"E00021148",222,27,4,0,4,23,11,10,1,1,46,38,27,4,6,1,7,1,29,16,7,6,0,13,2,2,0,11,11,0,20,13,7,7,0,26,7,6,1,5,0,6,1,24,5,6,5,8,0,20,13,7,17,17,0
"E00021149",229,11,1,0,1,10,5,3,2,0,46,33,21,4,7,1,8,5,22,11,5,6,0,12,5,5,0,7,7,0,18,11,7,7,0,26,12,10,2,1,0,0,1,28,5,4,7,12,0,41,39,2,25,25,0
"E00021150",223,19,0,0,0,19,8,7,4,0,48,29,20,2,7,0,9,10,34,21,7,6,0,15,7,7,0,8,8,0,19,15,4,4,0,30,12,10,3,0,0,4,1,15,3,1,6,5,0,21,16,5,22,22,0
"E00021151",194,7,1,0,1,6,4,1,0,1,29,21,14,1,6,0,3,5,15,9,5,1,0,12,3,3,0,9,9,0,12,6,6,6,0,26,9,14,1,0,0,2,0,16,4,2,4,6,0,50,44,6,27,27,0
"E00021152",276,16,4,0,4,12,7,3,2,0,41,32,19,2,11,0,5,4,24,9,8,6,1,19,4,4,0,15,15,0,16,11,5,5,0,30,9,18,0,0,0,1,2,18,6,1,8,3,0,74,62,12,38,38,0
"E00021153",322,58,9,0,9,49,28,15,3,3,118,84,44,9,25,6,23,11,23,15,7,1,0,23,2,2,0,21,21,0,12,6,6,6,0,26,7,13,2,1,0,3,0,15,6,1,6,2,0,12,10,2,35,35,0
"E00021154",283,11,1,0,1,10,9,0,1,0,43,33,22,1,10,0,5,5,30,18,8,4,0,13,1,1,0,12,12,0,11,5,6,6,0,37,15,17,0,0,0,4,1,25,5,6,5,9,0,63,54,9,50,50,0
"E00021155",327,68,9,0,9,59,31,14,14,0,97,80,54,11,12,3,10,7,40,24,7,9,0,28,5,5,0,23,23,0,11,7,4,4,0,18,7,3,1,0,0,7,0,7,1,0,1,5,0,5,3,2,53,53,0
"E00021156",177,14,2,0,2,12,4,5,0,3,35,20,15,1,3,1,10,5,11,8,2,1,0,17,2,2,0,15,15,0,7,4,3,3,0,24,6,14,1,1,0,2,0,22,6,4,6,6,0,36,25,11,11,11,0
"E00021157",221,12,1,0,1,11,5,4,1,1,39,28,22,2,4,0,5,6,20,12,6,1,1,19,6,6,0,13,13,0,14,6,8,5,3,21,7,11,1,0,0,1,1,32,14,9,5,4,0,39,34,5,25,25,0
"E00021158",217,10,3,0,3,7,4,2,1,0,24,21,19,0,1,1,2,1,21,7,11,3,0,12,4,4,0,8,8,0,14,7,7,7,0,27,11,12,1,0,0,2,1,14,7,1,1,5,0,60,47,13,35,35,0
"E00021159",435,44,4,0,4,40,22,13,5,0,80,59,39,5,14,1,16,5,45,26,14,5,0,32,3,3,0,29,29,0,25,17,8,7,1,44,13,21,4,0,1,3,2,44,15,12,7,9,1,69,55,14,52,52,0
"E00021160",233,14,0,0,0,14,7,7,0,0,38,29,24,4,1,0,8,1,29,19,8,1,1,13,3,3,0,10,10,0,15,9,6,6,0,24,11,7,1,0,0,5,0,23,10,4,1,8,0,40,35,5,37,37,0
"E00021161",310,27,3,0,3,24,15,6,3,0,70,55,43,4,8,0,9,6,49,27,17,5,0,23,4,4,0,19,19,0,17,11,6,6,0,35,15,12,2,1,0,5,0,34,12,2,9,11,0,29,21,8,26,26,0
"E00021162",296,15,3,0,3,12,7,5,0,0,73,53,38,6,8,1,11,9,24,9,11,3,1,19,7,7,0,12,12,0,11,7,4,4,0,30,9,13,2,1,0,5,0,20,8,3,4,5,0,61,53,8,43,43,0
"E00021163",242,14,2,0,2,12,6,4,2,0,36,34,26,3,4,1,2,0,19,13,6,0,0,12,2,2,0,10,10,0,13,8,5,5,0,29,8,11,2,1,1,6,0,22,7,5,3,7,0,50,42,8,47,47,0
"E00021164",192,7,1,0,1,6,5,1,0,0,36,29,23,4,2,0,5,2,14,6,5,3,0,14,5,5,0,9,9,0,11,6,5,5,0,22,4,16,1,1,0,0,0,27,5,3,5,14,0,34,30,4,27,27,0
"E00021165",246,13,4,0,4,9,4,3,2,0,47,32,25,2,5,0,12,3,26,18,5,3,0,18,4,4,0,14,14,0,13,8,5,5,0,26,10,10,1,2,0,2,1,22,10,3,3,6,0,45,36,9,36,36,0
"E00021166",286,19,3,0,3,16,9,4,2,1,60,47,32,5,10,0,7,6,26,12,12,1,1,13,3,3,0,10,10,0,26,20,6,6,0,37,14,13,2,2,1,4,1,26,12,3,3,8,0,35,31,4,44,44,0
"E00021167",236,33,6,1,5,27,18,7,1,1,61,47,22,10,11,4,14,0,17,11,4,2,0,8,3,3,0,5,5,0,11,3,8,8,0,27,11,11,2,1,0,2,0,19,9,3,3,4,0,27,20,7,33,33,0
"E00021168",359,84,5,2,3,79,42,28,6,3,137,111,74,16,15,6,19,7,36,21,7,7,1,22,3,3,0,19,19,0,14,6,8,8,0,13,4,5,1,1,0,2,0,8,4,0,1,3,0,6,4,2,39,39,0
"E00021169",380,58,7,0,7,51,36,6,8,1,108,90,58,9,18,5,9,9,39,18,18,2,1,23,4,4,0,19,19,0,13,10,3,3,0,29,11,9,2,2,0,4,1,23,9,3,6,5,0,48,42,6,39,39,0
"E00021170",327,20,2,0,2,18,12,4,2,0,55,44,31,5,7,1,10,1,35,15,14,6,0,17,3,3,0,14,14,0,21,12,9,7,2,52,18,24,1,2,0,6,1,23,3,4,9,7,0,55,44,11,49,49,0
"E00021171",489,30,2,0,2,28,14,9,5,0,103,68,46,6,16,0,21,14,39,22,9,7,1,29,3,3,0,26,26,0,26,22,4,4,0,45,13,22,3,1,0,5,1,36,16,7,7,6,0,93,77,16,88,88,0
