"GeographyCode","QS609EW0001","QS609EW0002","QS609EW0003","QS609EW0004","QS609EW0005","QS609EW0006","QS609EW0007","QS609EW0008","QS609EW0009","QS609EW0010","QS609EW0011","QS609EW0012","QS609EW0013","QS609EW0014","QS609EW0015","QS609EW0016","QS609EW0017","QS609EW0018","QS609EW0019","QS609EW0020","QS609EW0021","QS609EW0022","QS609EW0023","QS609EW0024","QS609EW0025","QS609EW0026","QS609EW0027","QS609EW0028","QS609EW0029","QS609EW0030","QS609EW0031","QS609EW0032","QS609EW0033","QS609EW0034","QS609EW0035","QS609EW0036","QS609EW0037","QS609EW0038","QS609EW0039","QS609EW0040","QS609EW0041","QS609EW0042","QS609EW0043","QS609EW0044","QS609EW0045","QS609EW0046","QS609EW0047","QS609EW0048","QS609EW0049","QS609EW0050","QS609EW0051","QS609EW0052","QS609EW0053","QS609EW0054","QS609EW0055"
"E02000864",8296,702,98,3,95,604,308,222,55,19,1595,1116,866,106,124,20,362,117,819,429,284,87,19,778,213,213,0,565,560,5,702,426,276,260,16,1183,248,662,79,55,1,108,30,1041,210,174,319,338,0,1073,727,346,403,403,0
"E02000865",6977,623,80,0,80,543,279,171,72,21,1602,1110,762,115,213,20,356,136,638,323,221,86,8,666,200,200,0,466,466,0,602,340,262,243,19,929,220,466,76,79,2,63,23,747,192,164,214,177,0,907,646,261,263,262,1
"E02000866",9610,1582,283,0,283,1299,755,323,186,35,2479,1805,1226,209,322,48,472,202,926,506,287,102,31,909,247,247,0,662,662,0,565,339,226,220,6,992,248,476,58,85,0,86,39,905,243,139,243,279,1,755,553,202,497,492,5
"E02000867",9761,1569,215,1,214,1354,787,421,110,36,2504,1781,1274,250,215,42,515,208,1033,579,350,83,21,724,202,202,0,522,522,0,730,433,297,292,5,1037,278,462,91,73,3,90,40,811,219,99,216,271,6,838,596,242,515,515,0
"E02000868",6416,797,109,0,109,688,396,167,98,27,1585,1219,787,132,261,39,223,143,586,313,185,73,15,585,164,164,0,421,421,0,434,256,178,177,1,683,217,313,50,34,4,62,3,709,199,162,178,170,0,747,530,217,290,290,0
"E02000869",5679,751,97,1,96,654,358,185,94,17,1384,1038,672,95,245,26,236,110,476,284,128,55,9,556,132,132,0,424,418,6,404,216,188,182,6,768,177,405,51,54,5,59,17,563,150,95,132,186,0,598,426,172,179,179,0
"E02000870",6430,731,118,0,118,613,310,248,35,20,1356,1008,703,103,183,19,228,120,676,364,209,79,24,530,162,161,1,368,368,0,560,287,273,258,15,867,194,438,94,40,0,94,7,799,265,103,182,244,5,643,430,213,268,268,0
"E02000871",8591,517,81,0,81,436,241,167,17,11,1483,912,662,108,119,23,387,184,791,461,256,56,18,784,244,244,0,540,540,0,910,491,419,404,15,1391,357,712,149,52,0,86,35,1022,286,158,215,363,0,1271,930,341,422,421,1
"E02000872",7480,992,178,1,177,814,470,247,62,35,1795,1322,860,152,255,55,361,112,720,399,219,86,16,689,226,226,0,463,463,0,495,317,178,173,5,854,266,370,112,19,0,74,13,752,221,150,191,190,0,907,638,269,276,276,0
"E02000873",7467,692,122,0,122,570,342,165,34,29,1427,985,751,97,123,14,280,162,656,318,248,82,8,665,241,241,0,424,420,4,591,385,206,185,21,781,185,421,54,36,2,44,39,787,188,136,238,225,0,910,681,229,958,958,0
