"GeographyCode","QS610EW0001","QS610EW0002","QS610EW0003","QS610EW0004","QS610EW0005","QS610EW0006","QS610EW0007","QS610EW0008","QS610EW0009","QS610EW0010","QS610EW0011","QS610EW0012","QS610EW0013","QS610EW0014","QS610EW0015","QS610EW0016","QS610EW0017","QS610EW0018","QS610EW0019","QS610EW0020","QS610EW0021","QS610EW0022","QS610EW0023","QS610EW0024","QS610EW0025","QS610EW0026","QS610EW0027","QS610EW0028","QS610EW0029","QS610EW0030","QS610EW0031","QS610EW0032","QS610EW0033","QS610EW0034","QS610EW0035","QS610EW0036","QS610EW0037","QS610EW0038","QS610EW0039","QS610EW0040","QS610EW0041","QS610EW0042","QS610EW0043","QS610EW0044","QS610EW0045","QS610EW0046","QS610EW0047","QS610EW0048","QS610EW0049","QS610EW0050","QS610EW0051","QS610EW0052","QS610EW0053","QS610EW0054","QS610EW0055"
"E01004197",2110,198,21,0,21,177,104,45,23,5,639,449,295,60,87,7,139,51,207,99,79,25,4,194,46,46,0,148,148,0,176,121,55,52,3,196,65,103,0,9,0,16,3,180,46,42,53,39,0,221,162,59,99,99,0
"E01004198",1300,102,13,0,13,89,33,39,15,2,271,180,128,10,33,9,66,25,133,68,47,18,0,108,31,31,0,77,77,0,137,84,53,53,0,195,54,72,27,15,0,23,4,152,50,32,44,26,0,161,81,80,41,41,0
"E01004199",1445,76,14,0,14,62,25,21,14,2,269,191,144,13,33,1,53,25,121,55,48,18,0,167,64,64,0,103,103,0,162,72,90,78,12,173,66,92,2,4,0,2,7,188,58,35,43,52,0,236,163,73,53,53,0
"E01004200",1339,218,32,0,32,186,100,46,29,11,399,296,171,43,74,8,59,44,130,57,43,30,0,106,21,21,0,85,85,0,75,33,42,42,0,94,28,56,1,2,0,7,0,88,13,20,29,26,0,109,68,41,120,120,0
"E01004201",1399,224,31,0,31,193,103,65,13,12,372,264,178,29,54,3,85,23,119,71,43,5,0,135,33,33,0,102,102,0,94,51,43,41,2,159,25,82,5,27,0,11,9,89,23,13,38,15,0,145,102,43,62,61,1
"E01004202",1589,243,29,0,29,214,117,57,34,6,477,387,245,31,92,19,40,50,138,64,58,15,1,181,42,42,0,139,139,0,89,43,46,46,0,146,57,57,11,7,0,11,3,113,28,26,30,29,0,151,85,66,51,51,0
"E01004203",1658,215,18,0,18,197,122,45,20,10,397,306,211,39,49,7,59,32,189,120,44,14,11,113,45,45,0,68,68,0,163,103,60,60,0,185,71,79,6,7,0,22,0,185,91,20,34,40,0,132,88,44,79,79,0
"E01004204",1335,112,30,0,30,82,50,19,13,0,271,211,146,15,46,4,53,7,109,56,39,13,1,162,53,53,0,109,109,0,79,57,22,22,0,161,50,88,2,0,2,19,0,170,51,40,46,33,0,235,169,66,36,36,0
"E01004205",1947,89,3,0,3,86,45,25,12,4,332,235,171,26,34,4,84,13,176,108,55,7,6,194,43,43,0,151,151,0,180,113,67,67,0,345,114,143,38,4,0,42,4,226,77,35,79,35,0,296,198,98,109,109,0
"E01004206",1323,61,10,0,10,51,26,20,5,0,173,147,124,8,15,0,20,6,92,37,44,9,2,130,51,51,0,79,79,0,167,104,63,63,0,191,63,81,22,7,0,15,3,169,57,45,38,29,0,238,180,58,102,98,4
"E01004207",1219,99,15,0,15,84,38,30,16,0,243,163,127,15,21,0,46,34,98,50,31,17,0,108,52,50,2,56,56,0,133,88,45,45,0,177,73,72,17,11,0,4,0,120,39,24,31,26,0,128,83,45,113,113,0
"E01004208",1789,350,42,0,42,308,161,115,18,14,481,348,263,39,32,14,106,27,118,70,37,7,4,177,51,51,0,126,126,0,93,51,42,42,0,130,40,70,9,0,0,8,3,113,58,24,7,24,0,169,117,52,158,158,0
"E01004209",1252,55,5,0,5,50,40,8,2,0,226,143,104,15,22,2,41,42,147,83,45,18,1,112,20,20,0,92,92,0,154,94,60,60,0,169,39,91,22,2,4,11,0,158,46,28,49,35,0,193,149,44,38,38,0
"E01004211",1390,237,27,2,25,210,106,78,15,11,432,354,238,39,67,10,58,20,116,59,26,31,0,122,29,29,0,93,93,0,52,38,14,14,0,139,54,52,13,4,2,14,0,96,28,24,18,22,4,133,104,29,63,63,0
"E01004212",1500,141,21,0,21,120,73,29,14,4,295,224,169,14,36,5,53,18,137,58,66,12,1,160,17,17,0,143,143,0,104,63,41,41,0,206,83,81,13,6,0,22,1,93,47,12,19,15,0,143,103,40,221,221,0
"E01004214",1528,84,3,0,3,81,49,25,7,0,255,176,148,22,4,2,48,31,126,65,44,11,6,221,38,38,0,183,183,0,158,75,83,81,2,240,63,150,0,0,0,18,9,172,66,24,40,42,0,241,128,113,31,31,0
"E01004215",2516,497,107,2,105,390,178,144,27,41,585,412,276,111,21,4,126,47,242,160,55,18,9,174,48,48,0,126,126,0,162,110,52,51,1,260,116,82,17,16,0,19,10,149,48,20,34,47,0,331,211,120,116,112,4
"E01004216",1509,365,47,0,47,318,147,146,17,8,419,277,173,60,33,11,122,20,122,83,35,1,3,126,25,25,0,101,101,0,133,82,51,51,0,92,36,42,0,3,0,11,0,67,15,10,21,21,0,102,55,47,83,83,0
"E01004217",1538,319,61,7,54,258,125,103,19,11,312,182,133,29,11,9,99,31,205,103,83,12,7,143,62,62,0,81,81,0,138,76,62,62,0,143,42,65,12,5,0,19,0,100,27,0,45,27,1,123,97,26,55,55,0
"E01004218",1631,451,66,0,66,385,163,151,65,6,403,246,158,46,24,18,127,30,151,82,44,18,7,158,41,41,0,117,117,0,71,49,22,22,0,160,51,59,5,14,0,21,10,90,36,10,16,28,0,73,45,28,74,74,0
"E01004219",2128,280,34,0,34,246,129,102,9,6,426,278,173,86,8,11,115,33,168,94,65,7,2,199,80,80,0,119,119,0,200,93,107,107,0,257,97,128,0,18,1,10,3,187,67,32,17,71,0,330,227,103,81,81,0
"E01004221",1761,434,65,1,64,369,144,170,41,14,417,266,180,49,25,12,124,27,170,86,68,12,4,172,36,36,0,136,136,0,123,80,43,26,17,120,21,54,10,4,0,31,0,108,22,13,34,39,0,163,93,70,54,54,0
"E01004222",2169,156,13,0,13,143,80,52,9,2,366,267,207,24,27,9,72,27,232,127,77,27,1,187,62,62,0,125,122,3,200,140,60,60,0,284,68,153,14,12,1,22,14,223,60,38,69,56,0,360,219,141,161,161,0
"E01004223",1818,188,34,3,31,154,66,58,21,9,448,300,224,25,50,1,125,23,207,106,82,19,0,214,43,43,0,171,169,2,136,92,44,38,6,240,48,154,4,11,0,14,9,163,45,14,70,34,0,172,108,64,50,50,0
"E01004224",1785,195,22,0,22,173,95,62,14,2,406,301,233,34,29,5,80,25,151,79,43,22,7,191,58,58,0,133,133,0,117,81,36,36,0,242,60,135,24,6,0,15,2,175,41,24,38,72,0,218,163,55,90,90,0
"E01004225",2102,578,68,1,67,510,295,167,38,10,718,551,381,72,79,19,128,39,257,134,73,46,4,110,23,23,0,87,87,0,94,45,49,49,0,109,32,44,2,6,0,17,8,74,23,7,22,21,1,67,49,18,95,95,0
"E01004226",1593,149,22,0,22,127,62,50,9,6,303,207,167,21,14,5,61,35,140,67,57,15,1,126,33,33,0,93,93,0,132,49,83,81,2,231,53,125,4,6,0,38,5,209,56,40,51,62,0,202,122,80,101,101,0
"E01004228",1670,377,64,0,64,313,160,105,46,2,509,384,268,52,53,11,95,30,168,95,43,23,7,145,24,24,0,121,121,0,67,46,21,21,0,128,36,56,3,5,0,17,11,112,38,12,26,36,0,103,57,46,61,61,0
"E01004229",1347,146,35,0,35,111,75,15,8,13,316,175,137,16,22,0,87,54,105,51,45,8,1,126,39,39,0,87,87,0,114,85,29,29,0,182,56,72,23,4,0,19,8,132,54,9,42,27,0,128,95,33,98,98,0
"E01004230",1844,220,42,0,42,178,107,48,18,5,427,316,234,20,50,12,62,49,212,113,69,24,6,200,62,62,0,138,138,0,136,70,66,66,0,224,79,88,10,26,0,10,11,170,57,29,46,38,0,166,134,32,89,89,0
"E01004231",1596,128,14,0,14,114,69,30,9,6,273,187,138,22,21,6,75,11,142,80,50,8,4,196,67,67,0,129,129,0,189,88,101,101,0,213,52,116,14,2,0,12,17,122,46,8,22,46,0,235,142,93,98,98,0
"E01004232",1527,396,64,0,64,332,210,70,50,2,453,333,214,54,63,2,101,19,104,39,44,16,5,88,27,27,0,61,61,0,100,40,60,60,0,102,27,53,8,3,0,11,0,97,28,30,23,16,0,48,28,20,139,139,0
"E01004233",1566,115,19,0,19,96,56,31,2,7,279,207,156,15,30,6,46,26,140,62,52,23,3,209,74,74,0,135,135,0,94,61,33,31,2,256,53,148,21,18,0,12,4,183,66,20,47,50,0,240,157,83,50,47,3
"E01004234",2044,415,85,0,85,330,201,59,51,19,711,507,320,58,112,17,147,57,178,95,59,16,8,174,29,29,0,145,145,0,75,61,14,14,0,129,35,55,2,2,0,23,12,104,23,11,45,24,1,101,82,19,157,155,2
