"GeographyCode","QS612EW0001","QS612EW0002","QS612EW0003","QS612EW0004","QS612EW0005","QS612EW0006","QS612EW0007","QS612EW0008","QS612EW0009","QS612EW0010","QS612EW0011","QS612EW0012"
"E01004197",1853,1196,657,33,98,36,34,14,7,57,102,276
"E01004198",1159,641,518,17,67,29,21,15,5,37,98,229
"E01004199",1107,553,554,9,50,28,20,13,11,46,85,292
"E01004200",1380,925,455,28,134,33,16,9,9,25,43,158
"E01004201",1184,743,441,20,56,28,15,5,7,57,62,191
"E01004202",1406,1004,402,4,57,32,15,6,10,31,39,208
"E01004203",1424,973,451,17,65,24,18,14,11,39,86,177
"E01004204",1145,594,551,17,53,38,18,12,8,57,77,271
"E01004205",1541,741,800,26,72,42,25,27,6,60,99,443
"E01004206",1131,533,598,12,62,31,30,16,15,30,93,309
"E01004207",1100,562,538,23,83,33,19,9,8,23,72,268
"E01004208",1721,1085,636,41,104,44,36,18,12,42,35,304
"E01004209",951,478,473,11,52,18,16,14,8,44,53,257
"E01004211",1307,903,404,24,84,19,27,9,7,18,48,168
"E01004212",1451,717,734,23,116,37,15,9,18,34,62,420
"E01004214",1163,582,581,13,52,36,25,17,23,52,111,252
"E01004215",2125,1371,754,27,86,57,30,22,19,73,83,357
"E01004216",1309,952,357,9,51,33,19,5,13,40,47,140
"E01004217",1347,893,454,9,67,37,22,14,9,46,88,162
"E01004218",1424,989,435,24,62,41,21,23,13,42,68,141
"E01004219",1722,1009,713,27,90,49,23,33,14,32,70,375
"E01004221",1537,1108,429,17,56,38,25,15,13,45,45,175
"E01004222",1797,931,866,24,102,53,32,21,19,92,186,337
"E01004223",1537,936,601,22,73,41,32,31,18,71,110,203
"E01004224",1545,950,595,33,82,41,14,17,17,56,97,238
"E01004225",1936,1622,314,29,82,32,17,12,8,20,29,85
"E01004226",1264,775,489,21,72,28,31,17,8,45,78,189
"E01004228",1493,1024,469,20,84,35,30,23,8,53,88,128
"E01004229",1151,697,454,18,63,31,23,6,14,48,59,192
"E01004230",1600,979,621,33,98,29,27,34,17,55,99,229
"E01004231",1249,685,564,18,65,41,19,19,7,47,72,276
"E01004232",1419,979,440,32,92,31,23,9,13,41,49,150
"E01004233",1299,719,580,12,76,27,18,13,14,68,110,242
"E01004234",1780,1281,499,27,95,38,23,17,15,39,78,167
"E01004235",935,501,434,15,46,21,24,17,8,42,52,209
"E01004236",1147,528,619,24,51,33,24,12,12,41,70,352
"E01004237",856,521,335,23,40,21,13,15,6,38,40,139
"E01004238",2007,1183,824,23,105,60,28,23,18,66,72,429
"E01004239",1152,595,557,16,69,34,20,14,8,43,86,267
"E01004240",1226,630,596,19,50,24,18,24,9,44,97,311
"E01004241",1124,533,591,26,68,40,23,25,9,42,75,283
"E01004242",1770,942,828,17,105,44,39,34,19,51,94,425
"E01004243",1212,607,605,35,62,22,16,12,14,43,89,312
"E01004244",1264,593,671,27,70,44,23,19,13,74,121,280
"E01004245",988,417,571,13,62,25,21,8,13,41,64,324
"E01004246",1476,928,548,16,99,31,21,6,12,40,73,250
"E01004247",1383,700,683,18,82,33,28,14,20,39,102,347
"E01004248",839,386,453,9,42,21,12,17,8,53,72,219
"E01004249",1429,727,702,23,76,44,25,12,9,66,116,331
"E01004250",1588,824,764,17,69,41,28,17,13,73,154,352
"E01004251",1471,808,663,23,67,40,22,16,18,71,94,312
"E01004252",2025,1256,769,33,108,65,30,15,18,56,86,358
"E01004253",1623,856,767,39,77,44,28,21,17,68,124,349
"E01004254",1883,1554,329,24,70,37,12,9,2,32,24,119
"E01004255",1224,692,532,12,62,40,26,8,9,26,61,288
"E01004256",1224,665,559,6,49,38,27,14,14,50,76,285
"E01004257",1258,663,595,19,56,24,38,14,13,54,71,306
"E01004258",1231,884,347,7,46,14,21,20,7,35,67,130
"E01004259",1424,1014,410,43,61,31,26,14,14,37,55,129
"E01004260",1282,743,539,17,77,29,18,15,10,50,80,243
"E01004261",2142,620,1522,64,420,86,39,26,10,34,59,784
"E01004262",1451,591,860,48,221,42,26,19,8,32,67,397
"E01004263",1004,543,461,11,44,24,32,12,15,34,83,206
"E01004264",1069,495,574,16,62,29,12,5,11,41,62,336
"E01004266",1193,772,421,14,58,18,25,6,6,42,82,170
"E01004267",1431,912,519,24,73,37,19,13,5,29,61,258
"E01004268",1290,656,634,21,61,37,28,18,15,56,94,304
"E01004269",1472,799,673,25,91,53,21,18,16,54,74,321
"E01004270",1856,1149,707,40,162,46,33,11,12,34,51,318
"E01004271",1056,542,514,19,60,32,25,17,13,43,76,229
"E01004272",1402,657,745,17,61,40,21,17,16,34,99,440
"E01004273",1319,611,708,20,61,34,23,25,12,45,81,407
"E01004274",1497,844,653,21,82,43,23,19,12,35,66,352
"E01004275",1474,1057,417,12,67,42,22,11,9,41,75,138
"E01004276",1841,1549,292,16,59,27,22,17,10,38,24,79
"E01004277",1474,1189,285,9,43,34,26,9,9,43,21,91
"E01004280",1435,934,501,19,58,30,25,11,11,52,60,235
"E01004281",1524,1166,358,23,69,33,26,7,13,27,17,143
"E01004283",1695,850,845,23,129,44,18,17,7,58,121,428
"E01004284",1699,1032,667,20,63,35,25,22,16,49,95,342
"E01004285",1545,696,849,28,89,40,31,25,24,62,92,458
"E01004286",1670,860,810,37,70,49,36,25,11,58,106,418
"E01004287",1544,829,715,16,91,36,22,23,20,67,132,308
"E01004288",1071,533,538,14,57,21,20,11,9,46,81,279
"E01004289",1386,718,668,29,107,47,24,25,11,45,92,288
"E01004290",1034,662,372,28,60,23,35,11,15,41,48,111
"E01004291",1601,1281,320,17,46,20,21,13,5,43,55,100
"E01004292",1546,1285,261,13,51,17,19,8,12,33,27,81
"E01004293",1864,1468,396,10,64,30,26,21,13,44,76,112
"E01004294",1525,1093,432,11,74,42,18,19,9,58,66,135
"E01004295",1030,515,515,11,50,28,19,20,13,39,69,266
"E01004296",1251,803,448,8,64,20,27,12,10,37,75,195
