"GeographyCode","QS701EW0001","QS701EW0002","QS701EW0003","QS701EW0004","QS701EW0005","QS701EW0006","QS701EW0007","QS701EW0008","QS701EW0009","QS701EW0010","QS701EW0011","QS701EW0012","QS701EW0013"
"E01004197",1853,65,422,68,192,6,10,122,5,119,177,10,657
"E01004198",1159,24,216,63,122,6,2,80,2,50,70,6,518
"E01004199",1107,20,149,47,121,0,2,78,6,45,79,6,554
"E01004200",1380,42,304,52,150,3,5,47,9,152,152,9,455
"E01004201",1184,37,235,38,115,5,9,86,9,96,108,5,441
"E01004202",1406,52,274,42,194,1,9,78,4,186,158,6,402
"E01004203",1424,53,378,44,118,5,3,79,7,121,162,3,451
"E01004204",1145,35,159,35,87,1,5,79,6,70,116,1,551
"E01004205",1541,24,216,84,111,3,4,85,6,53,149,6,800
"E01004206",1131,12,195,43,87,3,5,59,4,28,92,5,598
"E01004207",1100,19,226,38,69,8,5,76,7,28,84,2,538
"E01004208",1721,47,520,57,93,0,8,68,4,89,191,8,636
"E01004209",951,15,187,45,62,2,3,66,4,18,70,6,473
"E01004211",1307,46,375,48,88,2,4,63,2,115,155,5,404
"E01004212",1451,35,296,38,70,4,5,75,6,71,110,7,734
"E01004214",1163,23,206,42,82,6,1,127,8,21,64,2,581
"E01004215",2125,45,665,106,68,7,7,150,10,35,271,7,754
"E01004216",1309,22,457,52,93,3,15,119,5,35,142,9,357
"E01004217",1347,27,417,44,82,5,9,162,6,34,97,10,454
"E01004218",1424,34,503,48,92,8,8,145,11,56,73,11,435
"E01004219",1722,31,470,93,120,7,2,102,9,27,139,9,713
"E01004221",1537,50,534,51,64,7,4,137,6,35,212,8,429
"E01004222",1797,39,276,56,205,5,10,133,10,89,103,5,866
"E01004223",1537,39,251,47,193,4,12,149,14,102,121,4,601
"E01004224",1545,28,339,73,160,6,7,116,13,107,93,8,595
"E01004225",1936,55,998,64,98,9,18,149,8,142,71,10,314
"E01004226",1264,18,311,42,123,2,5,110,6,78,78,2,489
"E01004228",1493,45,414,35,149,2,10,129,14,133,84,9,469
"E01004229",1151,26,335,45,81,3,3,94,9,31,67,3,454
"E01004230",1600,37,405,46,148,4,10,110,13,108,92,6,621
"E01004231",1249,16,327,56,81,3,2,100,4,28,67,1,564
"E01004232",1419,56,497,34,90,7,8,109,2,94,76,6,440
"E01004233",1299,17,196,47,175,9,6,116,7,83,61,2,580
"E01004234",1780,69,435,42,193,8,8,159,16,221,125,5,499
"E01004235",935,14,166,63,93,1,5,78,7,20,51,3,434
"E01004236",1147,16,160,70,78,1,3,103,6,19,62,10,619
"E01004237",856,15,254,33,81,1,3,52,7,31,38,6,335
"E01004238",2007,30,656,102,93,2,8,148,8,48,83,5,824
"E01004239",1152,25,202,71,82,0,6,114,7,26,58,4,557
"E01004240",1226,17,244,47,67,6,6,140,8,42,49,4,596
"E01004241",1124,20,181,57,75,3,8,98,8,19,62,2,591
"E01004242",1770,22,391,89,123,2,15,147,13,58,73,9,828
"E01004243",1212,26,180,54,124,3,1,115,10,25,66,3,605
"E01004244",1264,19,183,38,134,2,1,107,9,18,75,7,671
"E01004245",988,9,104,32,82,3,1,114,8,15,48,1,571
"E01004246",1476,61,435,56,81,9,9,118,7,37,108,7,548
"E01004247",1383,18,257,57,140,3,0,96,12,7,106,4,683
"E01004248",839,12,110,54,48,3,0,95,6,12,46,0,453
"E01004249",1429,17,282,63,103,6,5,135,11,27,76,2,702
"E01004250",1588,15,279,66,140,6,12,147,13,23,119,4,764
"E01004251",1471,8,253,60,164,6,11,159,8,42,86,11,663
"E01004252",2025,31,474,90,178,10,13,158,12,57,222,11,769
"E01004253",1623,23,263,70,153,9,7,160,15,37,115,4,767
"E01004254",1883,51,765,110,109,5,18,98,5,87,284,22,329
"E01004255",1224,21,266,69,81,5,3,79,12,26,121,9,532
"E01004256",1224,8,254,61,100,1,3,105,7,16,107,3,559
"E01004257",1258,10,226,93,95,3,5,105,13,13,96,4,595
"E01004258",1231,39,348,43,63,8,4,82,7,57,216,17,347
"E01004259",1424,47,470,56,89,2,5,74,5,122,138,6,410
"E01004260",1282,21,303,38,122,3,4,91,6,56,94,5,539
"E01004261",2142,20,212,55,99,1,2,75,13,30,107,6,1522
"E01004262",1451,25,201,48,84,1,2,80,14,26,107,3,860
"E01004263",1004,14,195,37,77,4,8,86,6,38,68,10,461
"E01004264",1069,5,166,44,104,1,4,82,6,21,59,3,574
"E01004266",1193,26,306,36,101,9,5,87,12,81,103,6,421
"E01004267",1431,24,535,67,66,3,2,84,8,48,72,3,519
"E01004268",1290,9,294,51,77,2,1,100,8,41,67,6,634
"E01004269",1472,22,399,71,102,3,6,98,8,27,60,3,673
"E01004270",1856,43,595,66,114,2,5,103,6,112,101,2,707
"E01004271",1056,19,190,46,96,2,4,88,2,38,54,3,514
"E01004272",1402,4,194,55,149,1,4,138,12,19,76,5,745
"E01004273",1319,21,181,52,130,2,5,117,6,28,64,5,708
"E01004274",1497,23,322,49,149,5,9,137,10,34,86,20,653
"E01004275",1474,55,485,67,103,9,13,141,18,46,90,30,417
"E01004276",1841,85,865,51,185,5,12,139,8,58,86,55,292
"E01004277",1474,64,546,29,32,11,7,58,7,15,392,28,285
"E01004280",1435,25,368,40,128,5,5,124,6,25,198,10,501
"E01004281",1524,45,653,59,99,3,11,108,4,42,132,10,358
"E01004283",1695,26,276,67,136,4,1,120,8,68,137,7,845
"E01004284",1699,19,412,72,125,1,6,155,16,76,144,6,667
"E01004285",1545,15,186,62,117,5,3,149,12,39,101,7,849
"E01004286",1670,27,336,66,100,14,6,136,9,56,103,7,810
"E01004287",1544,17,265,67,124,5,5,112,9,58,159,8,715
"E01004288",1071,9,180,40,89,4,1,93,12,26,76,3,538
"E01004289",1386,21,214,50,126,4,4,113,12,47,122,5,668
"E01004290",1034,31,321,21,65,2,6,62,3,48,97,6,372
"E01004291",1601,78,411,45,192,32,12,102,8,88,307,6,320
"E01004292",1546,55,371,43,123,18,21,92,6,121,429,6,261
"E01004293",1864,76,409,50,123,29,15,120,8,90,541,7,396
"E01004294",1525,34,330,43,79,16,10,84,7,73,409,8,432
"E01004295",1030,11,129,44,72,3,1,80,6,32,132,5,515
"E01004296",1251,30,266,53,81,5,7,94,7,45,209,6,448
"E01004297",1577,45,458,53,193,27,19,124,10,84,258,9,297
"E01004298",1245,17,248,78,62,0,3,63,3,42,139,1,589
"E01004300",966,16,157,49,60,4,4,70,6,27,98,6,469
"E01004301",932,19,185,49,37,4,4,66,2,25,105,1,435
"E01004302",1364,19,280,81,62,2,6,98,7,32,137,6,634
"E01004303",1779,45,372,80,103,11,14,142,15,69,204,13,711
"E01004304",1418,22,212,66,87,3,3,76,3,44,148,8,746
"E01004305",1379,18,206,50,161,5,7,121,7,34,103,3,664
"E01004306",1486,50,302,57,96,6,7,60,5,93,286,5,519
"E01004307",2031,88,350,53,144,11,9,44,5,96,557,10,664
"E01004308",1161,27,204,36,69,1,3,46,7,65,215,5,483
"E01004309",2320,52,387,67,143,4,1,73,5,77,318,10,1183
"E01004310",1647,45,276,73,116,2,2,46,6,49,328,6,698
"E01004311",1138,31,162,30,121,2,5,47,5,65,174,9,487
"E01004312",1199,22,169,42,172,4,4,65,2,53,144,3,519
"E01004313",1504,43,279,52,143,10,9,62,7,100,222,6,571
"E01004314",883,50,143,23,74,12,8,59,2,149,145,5,213
"E01004315",1367,41,219,48,132,13,14,67,1,103,245,4,480
"E01004316",919,36,121,46,82,3,3,36,3,70,160,5,354
"E01004317",2338,95,502,88,171,8,21,88,4,213,495,17,636
"E01004318",1096,25,135,32,157,4,6,70,9,61,160,7,430
"E01004319",1411,20,214,61,90,0,4,86,7,44,185,9,691
"E01004321",1445,16,229,52,90,3,4,82,6,65,226,11,661
"E01004322",997,16,156,35,76,3,5,47,3,35,123,3,495
"E01004323",1143,22,243,42,85,3,3,66,7,60,144,10,458
"E01004324",1137,13,166,50,90,5,5,96,6,36,124,9,537
"E01004325",2149,51,508,77,169,4,7,67,6,101,554,20,585
"E01004326",1124,25,255,43,102,2,3,55,4,73,130,2,430
"E01032764",1112,32,421,37,82,3,12,94,2,90,52,5,282
"E01032765",1207,13,367,52,114,4,9,111,5,56,52,1,423
"E01032766",1131,32,279,37,75,3,7,40,4,51,266,5,332
"E01032767",1509,37,450,50,58,9,14,30,6,69,480,17,289
"E01032768",1172,27,553,72,40,5,9,63,4,44,155,2,198
"E01032769",1042,43,388,40,56,11,9,69,4,37,130,5,250
"E01032770",1004,14,379,35,17,0,1,44,5,17,208,3,281
"E01032771",914,27,305,28,18,6,3,38,4,3,189,3,290
"E01032772",943,29,257,26,38,1,4,65,3,14,151,3,352
"E01032773",1291,34,479,44,37,2,4,61,2,15,246,8,359
"E01032774",999,23,290,34,37,0,3,67,5,14,171,7,348
"E01032775",981,39,343,21,129,2,4,98,4,28,101,19,193
"E01032776",973,27,394,40,31,4,2,53,2,13,191,6,210
"E01032777",941,20,405,59,29,2,9,63,7,10,83,4,250
"E01032778",965,25,460,35,21,1,2,31,7,19,110,10,244
"E01032779",892,24,347,24,39,1,4,60,6,17,168,8,194
"E01032780",1209,49,476,40,26,3,11,69,4,25,277,5,224
"E01032781",1362,52,502,40,56,3,0,94,6,31,306,18,254
"E01032782",1265,27,348,47,48,6,3,75,5,14,231,13,448
"E01032783",1187,26,378,37,154,2,10,92,7,35,108,16,322
"E01032784",1241,26,556,45,64,2,4,78,10,57,51,3,345
"E01032785",1108,27,367,35,126,1,13,52,6,120,97,7,257
"E01032786",1118,24,253,36,108,2,4,93,7,67,105,5,414
"E01032787",1842,25,349,77,139,4,3,123,11,65,147,16,883
