"GeographyCode","QS801EW0001","QS801EW0002","QS801EW0003","QS801EW0004","QS801EW0005","QS801EW0006","QS801EW0007","QS801EW0008","QS801EW0009","QS801EW0010","QS801EW0011","QS801EW0012","QS801EW0013"
"E00021141",340,225,1,1,7,10,11,49,11,14,3,7,1
"E00021143",393,242,0,1,0,7,5,31,45,17,22,14,9
"E00021145",256,185,0,2,3,2,2,11,11,9,11,12,8
"E00021146",462,277,0,0,1,2,4,13,24,17,27,49,48
"E00021147",210,156,0,1,1,1,2,4,12,10,11,10,2
"E00021148",279,183,0,0,1,3,4,22,18,10,13,16,9
"E00021149",353,250,0,0,0,5,9,21,25,12,6,18,7
"E00021150",298,196,0,0,7,5,6,18,29,10,8,12,7
"E00021151",275,173,1,2,1,6,17,25,21,6,8,10,5
"E00021152",379,227,1,0,4,9,23,45,30,13,12,12,3
"E00021153",344,235,0,0,1,0,4,10,20,7,18,37,12
"E00021154",401,239,0,0,3,5,22,47,47,11,8,9,10
"E00021155",359,204,0,0,1,1,6,5,34,13,27,36,32
"E00021156",237,134,0,0,0,2,7,20,25,14,12,16,7
"E00021157",331,204,0,0,3,7,7,49,24,7,10,13,7
"E00021158",340,200,0,0,2,6,18,39,41,5,14,9,6
"E00021159",571,337,0,3,8,14,15,30,48,20,31,43,22
"E00021160",322,202,0,0,2,7,6,29,20,15,9,22,10
"E00021161",391,268,0,0,5,7,6,14,20,12,14,31,14
"E00021162",375,197,1,1,5,6,15,27,36,10,25,38,14
"E00021163",353,193,2,0,7,8,10,41,43,7,13,24,5
"E00021164",279,136,0,2,0,4,5,27,28,31,21,18,7
"E00021165",338,190,1,0,3,6,12,32,29,22,12,23,8
"E00021166",387,232,0,0,3,6,13,16,23,11,19,47,17
"E00021167",305,199,0,0,2,2,3,15,20,12,13,28,11
"E00021168",374,238,0,1,0,1,3,7,24,14,35,33,18
"E00021169",467,294,0,0,2,7,11,44,26,22,25,24,12
"E00021170",466,259,0,2,7,10,21,46,43,21,24,22,11
"E00021171",660,394,0,0,5,12,14,59,49,17,31,55,24
"E00021172",281,197,1,0,2,12,16,12,11,3,14,10,3
"E00021173",372,273,0,0,0,7,6,13,26,6,16,15,10
"E00021174",228,154,0,0,3,2,2,8,12,15,9,16,7
"E00021175",300,188,0,0,1,4,7,21,22,15,19,13,10
"E00021176",298,191,0,0,1,3,8,15,24,8,18,24,6
"E00021177",425,223,0,0,7,8,23,46,31,27,23,13,24
"E00021179",327,180,0,0,1,5,13,12,26,11,25,37,17
"E00021180",444,228,0,1,0,5,13,45,42,16,34,45,15
"E00021181",230,138,0,1,1,3,5,19,17,8,12,19,7
"E00021182",343,196,0,0,1,2,3,15,23,12,20,49,22
"E00021183",231,153,0,1,0,2,3,11,14,4,6,23,14
"E00021184",169,98,0,0,1,1,4,10,15,10,7,9,14
"E00021185",304,221,0,1,2,4,9,19,14,6,3,20,5
"E00021186",440,211,0,2,1,18,33,50,34,19,21,33,18
"E00021187",307,154,0,2,2,2,2,30,33,19,20,30,13
"E00021188",302,213,1,4,7,7,9,26,14,7,7,5,2
"E00021189",397,210,1,1,1,15,23,51,22,14,16,23,20
"E00021190",476,274,0,0,5,8,16,28,26,20,21,56,22
"E00021191",396,212,0,0,1,7,13,41,38,8,25,39,12
"E00021192",329,163,0,1,6,9,14,34,23,10,16,43,10
"E00021193",323,203,0,0,1,3,3,6,29,5,20,36,17
"E00021194",563,288,0,0,8,13,24,52,57,30,13,52,26
"E00021195",392,233,0,0,3,4,18,53,27,14,8,14,18
"E00021196",381,243,0,0,2,7,14,34,46,10,9,7,9
"E00021197",519,244,0,0,1,8,8,34,29,11,27,45,112
"E00021198",313,193,0,0,1,6,7,30,27,16,11,18,4
"E00021199",182,125,0,0,2,2,3,18,17,5,7,1,2
"E00021200",322,148,0,0,3,8,18,33,26,14,9,35,28
"E00021201",321,205,0,1,0,8,10,20,32,9,14,15,7
"E00021202",285,174,0,0,1,7,13,28,33,6,7,13,3
"E00021203",246,116,0,0,4,6,8,16,24,18,13,26,15
"E00021204",401,235,0,0,3,11,33,48,28,8,14,14,7
"E00021205",336,178,0,0,1,9,21,33,22,16,22,24,10
"E00021206",239,129,0,0,2,7,17,28,16,5,14,14,7
"E00021207",258,148,0,1,3,4,6,11,10,13,22,24,16
"E00021208",299,173,0,1,2,5,11,26,24,8,11,24,14
