"GeographyCode","QS802EW0001","QS802EW0002","QS802EW0003","QS802EW0004","QS802EW0005","QS802EW0006","QS802EW0007","QS802EW0008","QS802EW0009","QS802EW0010","QS802EW0011","QS802EW0012","QS802EW0013","QS802EW0014","QS802EW0015","QS802EW0016","QS802EW0017","QS802EW0018"
"E01004197",2329,1399,83,31,19,55,12,39,87,237,209,137,17,2,1,1,0,0
"E01004198",1529,935,66,26,13,45,7,23,49,139,120,83,15,4,3,1,0,0
"E01004199",1637,1017,70,36,20,66,7,30,50,126,110,78,20,4,3,0,0,0
"E01004200",1566,955,47,21,9,37,11,36,69,162,145,61,11,0,1,1,0,0
"E01004201",1556,1056,51,25,15,39,11,20,35,113,108,66,15,0,1,1,0,0
"E01004202",1705,990,69,22,19,45,15,36,62,142,187,101,11,0,4,2,0,0
"E01004203",1779,1139,53,16,15,37,7,23,56,174,160,90,7,0,0,2,0,0
"E01004204",1582,893,58,32,21,52,16,29,42,147,125,124,25,7,8,3,0,0
"E01004205",2106,1053,107,41,21,108,14,46,87,250,200,157,18,1,3,0,0,0
"E01004206",1492,758,74,26,25,62,15,30,72,157,117,127,25,2,2,0,0,0
"E01004207",1416,857,67,25,28,39,6,27,31,151,91,81,10,1,2,0,0,0
"E01004208",1976,1095,66,33,20,53,4,48,98,251,174,115,14,3,2,0,0,0
"E01004209",1366,758,76,23,29,54,10,36,53,121,101,81,17,3,2,2,0,0
"E01004211",1463,870,47,19,11,38,4,15,50,159,153,79,10,1,5,1,1,0
"E01004212",1780,826,66,31,21,56,8,75,107,295,165,113,11,3,2,1,0,0
"E01004214",1669,1067,63,32,18,53,16,25,54,122,101,93,23,0,2,0,0,0
"E01004215",2756,1399,110,43,28,65,16,67,105,324,326,250,20,2,0,1,0,0
"E01004216",1619,840,57,20,7,43,6,20,55,243,167,140,20,0,1,0,0,0
"E01004217",1745,1124,46,19,12,42,4,18,43,149,156,114,14,2,1,1,0,0
"E01004218",1750,1021,52,27,16,19,5,23,51,199,193,129,9,3,0,1,0,2
"E01004219",2294,1098,115,54,48,71,15,62,86,310,224,176,27,4,2,2,0,0
"E01004221",1881,1065,57,28,14,46,8,23,47,220,202,152,17,1,1,0,0,0
"E01004222",2480,1785,74,34,10,63,17,47,49,132,113,111,30,4,6,5,0,0
"E01004223",2079,1481,52,31,20,57,11,24,45,128,116,90,18,5,1,0,0,0
"E01004224",2000,1345,53,29,22,52,12,29,55,177,123,86,11,5,1,0,0,0
"E01004225",2178,1521,44,27,13,35,7,28,58,164,153,113,7,6,1,1,0,0
"E01004226",1738,1144,72,35,20,44,14,20,51,133,119,78,5,0,2,0,1,0
"E01004228",1857,1418,33,14,13,30,4,26,30,116,83,68,17,4,1,0,0,0
"E01004229",1484,918,63,26,24,42,9,27,53,126,95,86,12,1,2,0,0,0
"E01004230",2101,1388,80,37,19,46,10,46,74,161,143,86,6,3,2,0,0,0
"E01004231",1793,1048,84,44,28,53,16,28,55,172,132,101,25,3,3,1,0,0
"E01004232",1665,1160,59,19,14,32,4,19,35,132,119,57,12,1,1,1,0,0
"E01004233",1821,1188,65,40,16,42,16,41,58,132,87,106,26,3,1,0,0,0
"E01004234",2218,1680,57,22,14,22,13,25,52,107,135,83,4,1,3,0,0,0
"E01004235",1372,766,58,39,19,59,7,39,38,132,98,97,12,4,3,1,0,0
"E01004236",1679,937,73,41,27,76,12,25,81,145,110,121,26,2,2,0,1,0
"E01004237",1158,677,52,18,9,36,12,23,36,115,93,73,9,3,2,0,0,0
"E01004238",2733,1399,113,79,50,79,23,66,111,327,250,193,36,2,4,0,0,1
"E01004239",1649,994,69,31,35,68,12,32,51,133,96,89,32,2,5,0,0,0
"E01004240",1815,1129,77,41,33,66,14,30,68,145,91,99,16,4,1,1,0,0
"E01004241",1621,912,95,39,34,78,7,44,54,117,107,106,21,4,3,0,0,0
"E01004242",2453,1371,114,68,29,107,26,48,93,220,195,147,24,4,7,0,0,0
"E01004243",1789,1080,75,48,27,48,12,36,55,135,116,127,23,3,3,0,0,1
"E01004244",1885,1127,66,51,30,69,14,40,55,153,114,129,27,4,4,2,0,0
"E01004245",1539,938,60,34,26,76,8,36,55,112,93,76,20,3,2,0,0,0
"E01004246",1977,1204,57,28,27,56,11,35,63,185,149,137,18,4,3,0,0,0
"E01004247",1934,1035,91,36,29,67,10,31,82,242,132,143,28,4,3,1,0,0
"E01004248",1344,880,60,22,19,50,8,31,41,97,66,52,10,3,3,2,0,0
"E01004249",2049,1186,97,48,43,71,17,33,78,172,137,141,26,0,0,0,0,0
"E01004250",2342,1537,70,41,30,76,17,34,62,164,138,129,29,6,9,0,0,0
"E01004251",2082,1212,66,43,43,76,16,34,69,179,174,130,30,6,3,1,0,0
"E01004252",2707,1500,121,52,33,76,18,49,105,284,254,183,27,0,5,0,0,0
"E01004253",2340,1462,81,39,23,71,9,39,86,208,156,142,18,3,2,1,0,0
"E01004254",2120,1076,76,37,14,37,14,49,55,260,279,196,24,2,1,0,0,0
"E01004255",1618,806,84,33,20,64,15,44,75,158,159,130,21,4,4,0,0,1
"E01004256",1729,926,80,38,20,72,8,40,56,196,149,122,15,3,3,1,0,0
"E01004257",1884,1101,78,42,28,76,18,39,66,186,118,112,13,0,3,2,1,1
"E01004258",1506,902,49,21,9,30,8,18,34,155,136,121,18,1,4,0,0,0
"E01004259",1723,1083,57,15,8,35,5,24,55,181,143,106,7,2,0,2,0,0
"E01004260",1790,1048,68,24,28,48,22,28,85,162,145,111,16,3,2,0,0,0
"E01004261",2525,1274,111,45,22,80,19,139,255,314,137,103,14,5,7,0,0,0
"E01004262",1742,969,78,24,14,36,18,46,101,215,133,90,16,0,1,1,0,0
"E01004263",1419,967,57,21,20,41,6,22,60,81,78,56,6,3,0,1,0,0
"E01004264",1537,753,89,32,21,67,16,30,75,178,133,106,26,3,7,1,0,0
"E01004266",1545,1112,47,11,14,41,3,19,28,101,95,70,4,0,0,0,0,0
"E01004267",1767,1131,70,50,18,44,4,34,45,151,115,91,10,2,2,0,0,0
"E01004268",1784,975,74,39,33,68,13,38,63,179,157,122,17,2,2,1,0,1
"E01004269",1975,1090,59,38,31,67,18,41,78,231,191,104,18,4,4,1,0,0
"E01004270",2236,1253,85,44,31,56,7,33,93,225,212,175,17,3,2,0,0,0
"E01004271",1589,887,78,41,34,69,14,25,43,129,139,109,15,3,3,0,0,0
"E01004272",2099,1154,112,47,43,79,15,43,86,186,157,143,26,5,3,0,0,0
"E01004273",1904,1061,85,31,37,79,14,51,94,168,136,117,23,3,5,0,0,0
"E01004274",1973,1066,91,49,16,57,16,38,72,204,189,151,19,2,2,1,0,0
"E01004275",1879,1193,59,21,11,31,5,25,63,162,178,113,16,0,1,1,0,0
"E01004276",2024,1014,57,14,13,29,11,42,75,244,300,188,30,6,1,0,0,0
"E01004277",1630,631,57,13,7,31,13,42,51,230,251,242,52,9,1,0,0,0
"E01004280",1879,1036,69,38,29,52,15,30,60,184,179,164,17,4,2,0,0,0
"E01004281",1770,770,64,14,12,35,6,37,71,247,293,202,14,4,1,0,0,0
"E01004283",2317,1366,100,42,30,89,19,54,82,222,138,138,26,5,6,0,0,0
"E01004284",2302,1384,110,29,24,71,12,33,56,209,189,149,20,6,10,0,0,0
"E01004285",2318,1345,116,55,38,109,13,55,83,191,148,132,21,7,5,0,0,0
"E01004286",2364,1518,94,60,16,74,15,49,75,180,138,118,23,0,4,0,0,0
"E01004287",2171,1214,75,51,27,67,15,57,83,185,188,138,51,8,9,2,1,0
"E01004288",1620,1018,62,27,25,63,13,33,33,138,100,87,17,0,2,2,0,0
"E01004289",1844,1111,82,34,23,65,6,43,67,163,131,102,11,3,2,1,0,0
"E01004290",1302,816,33,14,14,30,2,25,56,129,100,73,7,1,2,0,0,0
"E01004291",1844,1122,54,22,5,26,3,24,52,146,217,146,24,1,0,2,0,0
"E01004292",1738,980,51,19,11,26,4,35,46,198,197,136,26,4,4,1,0,0
"E01004293",2125,1231,57,18,15,36,9,36,36,204,229,214,36,3,1,0,0,0
"E01004294",1757,1032,65,17,14,29,11,26,59,161,184,127,28,3,1,0,0,0
"E01004295",1516,814,76,30,24,62,11,32,69,156,125,102,13,0,1,1,0,0
"E01004296",1605,968,52,28,22,46,10,31,59,152,104,111,17,4,1,0,0,0
"E01004297",1826,1117,48,17,15,33,10,26,43,158,183,142,30,1,3,0,0,0
"E01004298",1637,889,70,33,24,72,13,32,54,179,123,110,28,3,4,3,0,0
"E01004300",1349,801,47,24,23,37,13,23,55,114,82,99,22,4,5,0,0,0
"E01004301",1324,713,63,23,26,51,15,31,48,125,111,81,21,7,6,2,1,0
"E01004302",1987,970,101,50,30,69,24,61,83,214,186,163,27,3,5,1,0,0
"E01004303",2362,1429,80,45,21,50,9,46,90,209,196,157,25,2,3,0,0,0
"E01004304",1957,1026,88,37,27,71,11,58,91,201,169,140,32,3,2,1,0,0
"E01004305",1952,1126,61,30,17,76,12,48,85,186,167,114,20,3,6,1,0,0
"E01004306",1799,937,87,32,14,57,12,26,83,208,199,116,19,5,1,3,0,0
"E01004307",2186,925,63,20,13,42,9,74,117,387,321,196,18,0,1,0,0,0
"E01004308",1478,764,61,16,14,68,13,37,61,169,140,117,11,4,3,0,0,0
"E01004309",2852,1483,122,54,35,77,22,57,153,328,252,215,43,3,6,1,0,1
"E01004310",1971,965,69,29,28,75,24,39,84,236,225,149,38,1,7,2,0,0
"E01004311",1518,929,61,27,12,42,7,23,47,156,125,66,14,2,5,2,0,0
"E01004312",1614,900,71,32,23,65,16,32,61,149,103,118,30,6,6,2,0,0
"E01004313",2043,1180,83,43,14,50,17,34,80,231,173,104,29,1,1,2,1,0
"E01004314",1100,758,30,17,7,17,6,21,23,78,82,55,6,0,0,0,0,0
"E01004315",1628,905,43,24,19,53,7,32,64,186,149,116,21,5,3,0,1,0
"E01004316",1138,643,50,13,11,34,5,23,28,138,96,83,13,0,0,1,0,0
"E01004317",2706,1588,83,28,22,58,17,55,84,320,264,169,14,0,1,3,0,0
"E01004318",1459,856,59,32,12,41,8,38,59,131,119,85,12,3,3,1,0,0
"E01004319",1886,902,86,40,28,65,11,46,78,215,173,190,36,4,8,4,0,0
"E01004321",1822,928,76,44,23,51,16,34,73,218,160,160,24,4,8,3,0,0
"E01004322",1292,700,56,24,10,35,7,28,66,137,110,103,15,0,1,0,0,0
"E01004323",1466,829,75,18,18,41,10,29,62,134,125,103,15,4,1,2,0,0
"E01004324",1574,842,93,34,17,56,13,36,74,149,128,111,15,2,4,0,0,0
"E01004325",2487,1259,79,43,23,63,18,67,94,327,286,186,24,5,11,2,0,0
"E01004326",1444,737,55,26,15,55,11,24,47,188,152,104,23,5,2,0,0,0
"E01032764",1302,853,36,14,9,23,3,23,43,132,97,60,6,1,0,2,0,0
"E01032765",1488,1087,43,11,13,28,5,23,29,96,77,65,4,3,4,0,0,0
"E01032766",1307,671,47,27,10,52,10,20,54,174,149,82,9,0,2,0,0,0
"E01032767",1584,739,46,23,13,24,4,41,56,241,242,129,24,1,0,1,0,0
"E01032768",1307,684,34,6,6,30,6,26,41,167,188,98,14,5,2,0,0,0
"E01032769",1235,654,52,13,8,31,7,24,30,143,151,109,12,1,0,0,0,0
"E01032770",1191,484,42,19,9,29,11,25,59,204,189,102,11,2,4,1,0,0
"E01032771",1104,448,49,20,17,38,6,36,38,133,179,108,27,2,3,0,0,0
"E01032772",1135,516,37,27,20,27,7,27,54,134,129,122,25,1,8,1,0,0
"E01032773",1561,639,67,22,19,47,17,67,78,232,201,150,18,2,2,0,0,0
"E01032774",1298,701,50,21,9,25,9,38,55,124,138,110,17,0,1,0,0,0
"E01032775",1108,484,39,17,8,21,7,21,39,137,176,139,19,1,0,0,0,0
"E01032776",1076,372,27,9,11,25,14,55,61,190,206,91,9,3,1,2,0,0
"E01032777",1141,546,39,15,9,23,15,28,48,149,144,110,11,2,1,1,0,0
"E01032778",1108,452,32,11,9,22,12,30,59,194,188,86,10,2,1,0,0,0
"E01032779",1089,497,34,9,5,25,15,33,41,161,158,99,11,0,1,0,0,0
"E01032780",1333,526,50,11,2,35,5,48,62,194,211,164,19,3,2,1,0,0
"E01032781",1535,677,52,11,10,32,7,41,51,196,251,174,24,3,6,0,0,0
"E01032782",1614,741,62,22,16,43,28,68,85,165,170,188,23,1,1,0,0,1
"E01032783",1383,646,32,21,6,37,16,38,45,207,163,128,20,8,10,4,1,1
"E01032784",1516,993,42,18,8,25,10,25,45,148,130,63,6,1,2,0,0,0
"E01032785",1348,827,46,16,19,21,8,18,42,128,131,79,10,2,1,0,0,0
"E01032786",1561,985,56,17,20,53,9,26,48,138,118,77,8,2,4,0,0,0
"E01032787",2567,1505,95,49,38,102,26,50,92,211,204,159,21,4,9,2,0,0
