"GeographyCode","QS802EW0001","QS802EW0002","QS802EW0003","QS802EW0004","QS802EW0005","QS802EW0006","QS802EW0007","QS802EW0008","QS802EW0009","QS802EW0010","QS802EW0011","QS802EW0012","QS802EW0013","QS802EW0014","QS802EW0015","QS802EW0016","QS802EW0017","QS802EW0018"
"E02000864",8297,5755,251,129,72,216,54,120,200,570,471,365,64,14,10,5,1,0
"E02000865",7051,4407,270,118,67,205,37,112,221,615,547,364,67,10,8,3,0,0
"E02000866",9662,6834,294,132,76,172,47,157,249,648,567,400,65,12,8,1,0,0
"E02000867",9761,6420,312,140,95,206,50,154,283,838,684,488,60,15,12,4,0,0
"E02000868",6632,3977,227,91,64,171,49,124,229,625,617,376,54,7,13,8,0,0
"E02000869",5705,3448,193,100,50,153,28,114,193,551,475,322,53,10,11,3,1,0
"E02000870",6477,4210,229,71,70,165,36,93,228,525,461,343,33,8,2,3,0,0
"E02000871",8591,4773,365,208,140,318,66,185,317,852,647,573,115,13,16,1,1,1
"E02000872",7501,4311,287,116,70,207,55,144,253,838,636,474,86,7,8,8,1,0
"E02000873",8713,4808,380,134,96,257,70,259,521,973,652,455,74,12,20,2,0,0
"E02000874",7129,3946,304,128,116,251,50,188,283,778,561,434,59,11,15,5,0,0
"E02000875",9440,5518,430,237,147,363,64,194,323,812,665,565,88,16,15,2,0,1
"E02000876",7037,3776,294,119,77,261,37,139,307,817,644,478,67,7,12,1,1,0
"E02000877",9803,5445,419,201,176,350,68,193,394,939,835,648,99,18,17,1,0,0
"E02000878",10286,5074,402,151,104,319,80,233,498,1328,1137,793,129,13,18,6,0,1
"E02000879",7634,4507,290,141,94,251,42,179,288,699,557,451,95,17,19,3,1,0
"E02000880",5776,3108,279,102,60,187,41,117,249,608,515,421,68,11,8,2,0,0
"E02000881",6909,4208,274,132,115,253,44,135,237,566,445,406,74,10,8,2,0,0
"E02000882",8604,5265,382,171,103,317,53,170,247,718,575,486,81,13,21,2,0,0
"E02000883",7950,4779,302,176,116,260,53,141,254,694,500,528,107,17,19,3,0,1
"E02000884",9086,4499,334,177,97,255,59,208,355,1175,1010,747,117,14,29,10,0,0
"E02000885",6895,3842,266,124,91,256,49,161,285,680,541,463,102,13,17,5,0,0
"E02000886",7326,3996,275,134,86,207,53,145,233,752,748,577,93,13,12,1,0,1
"E02000887",8660,4989,360,171,104,295,53,167,313,874,677,559,73,6,13,4,1,1
"E02000888",8215,4450,330,137,91,231,61,188,292,858,832,608,99,18,16,3,1,0
"E02000889",6616,3794,244,94,71,163,36,124,233,667,610,476,84,11,7,2,0,0
"E02000890",5795,3470,159,57,35,95,22,86,131,508,629,502,90,5,4,2,0,0
"E02000891",12678,5955,464,180,126,312,100,346,509,1742,1659,1128,124,17,9,7,0,0
"E02000893",6783,4052,218,98,53,157,31,86,203,713,617,476,66,5,4,2,0,2
"E02000894",10137,5173,342,136,66,210,61,201,365,1201,1299,921,118,21,15,6,1,1
"E02006853",7064,3376,265,127,86,180,59,187,306,878,836,648,88,9,17,2,0,0
"E02006854",5883,2497,220,66,50,144,54,187,225,724,851,712,126,15,11,0,0,1
