"GeographyCode","QS802EW0001","QS802EW0002","QS802EW0003","QS802EW0004","QS802EW0005","QS802EW0006","QS802EW0007","QS802EW0008","QS802EW0009","QS802EW0010","QS802EW0011","QS802EW0012","QS802EW0013","QS802EW0014","QS802EW0015","QS802EW0016","QS802EW0017","QS802EW0018"
"E00021141",340,225,21,8,6,8,2,2,10,15,18,20,4,0,0,1,0,0
"E00021143",393,242,22,6,3,11,0,9,9,31,29,24,7,0,0,0,0,0
"E00021145",256,185,7,3,1,6,1,1,4,15,10,21,2,0,0,0,0,0
"E00021146",462,277,14,8,2,9,0,10,21,56,45,17,2,0,0,1,0,0
"E00021147",210,156,2,4,4,6,2,1,5,7,6,14,3,0,0,0,0,0
"E00021148",279,183,10,2,0,5,0,7,6,31,18,14,3,0,0,0,0,0
"E00021149",353,250,8,6,4,8,1,5,11,26,15,16,3,0,0,0,0,0
"E00021150",298,196,10,4,2,12,0,6,11,20,20,12,4,1,0,0,0,0
"E00021151",275,173,12,6,3,14,2,6,7,19,20,10,3,0,0,0,0,0
"E00021152",379,227,17,12,4,10,9,8,9,25,25,29,4,0,0,0,0,0
"E00021153",344,235,7,3,0,5,2,5,7,30,38,9,3,0,0,0,0,0
"E00021154",401,239,15,8,6,18,4,10,20,31,27,19,3,0,1,0,0,0
"E00021155",359,204,11,2,1,5,5,11,21,45,35,16,3,0,0,0,0,0
"E00021156",237,134,6,4,1,10,4,3,8,27,24,14,0,1,1,0,0,0
"E00021157",331,204,20,4,5,15,1,6,11,21,24,16,2,1,1,0,0,0
"E00021158",340,200,13,11,5,19,3,9,10,20,19,22,4,3,2,0,0,0
"E00021159",571,337,18,8,6,16,0,10,12,66,48,38,8,2,0,2,0,0
"E00021160",322,202,13,3,6,9,1,6,15,25,20,19,2,0,0,1,0,0
"E00021161",391,268,8,3,3,9,0,3,4,41,35,15,2,0,0,0,0,0
"E00021162",375,197,19,8,4,10,1,5,14,46,40,23,4,2,2,0,0,0
"E00021163",353,193,15,4,4,9,3,7,9,32,33,23,7,5,8,1,0,0
"E00021164",279,136,8,8,7,17,4,4,12,24,19,34,6,0,0,0,0,0
"E00021165",338,190,17,9,3,10,0,4,11,40,32,14,8,0,0,0,0,0
"E00021166",387,232,13,6,2,6,1,5,19,39,33,29,1,0,0,1,0,0
"E00021167",305,199,9,2,3,10,3,4,7,21,29,17,1,0,0,0,0,0
"E00021168",374,238,10,2,1,3,2,5,11,48,43,10,1,0,0,0,0,0
"E00021169",467,294,20,5,6,10,3,6,12,31,46,28,4,0,2,0,0,0
"E00021170",466,259,27,13,5,13,0,12,22,43,35,32,4,0,1,0,0,0
"E00021171",660,394,22,4,5,22,4,9,22,80,57,35,3,2,0,1,0,0
"E00021172",281,197,9,5,0,5,5,5,9,17,22,6,1,0,0,0,0,0
"E00021173",372,273,10,6,0,6,2,2,6,34,28,4,0,0,1,0,0,0
"E00021174",228,154,4,3,1,2,1,2,2,20,31,8,0,0,0,0,0,0
"E00021175",300,188,8,4,8,11,2,3,6,24,23,18,4,0,0,1,0,0
